	Genesymbol	miRNA	Cancertype	Targetsiteclass
68	AIM2	hsa-miR-219-2-3p	Prostate	Disrupted
69	AIM2	hsa-miR-2964a-3p	Prostate	Disrupted
70	AIM2	hsa-miR-4452	Prostate	Disrupted
71	AIM2	hsa-miR-183-3p	Prostate	Disrupted
869	DMTF1	hsa-miR-4432	Lung	Disrupted
870	DMTF1	hsa-miR-4432	Lung	Disrupted
871	DMTF1	hsa-miR-4432	Lung	Disrupted
872	DMTF1	hsa-miR-452-3p	Lung	Disrupted
873	DMTF1	hsa-miR-452-3p	Lung	Disrupted
874	DMTF1	hsa-miR-452-3p	Lung	Disrupted
875	DMTF1	hsa-miR-642a-3p	Lung	Created
876	DMTF1	hsa-miR-642b-3p	Lung	Created
877	DMTF1	hsa-miR-642a-3p	Lung	Created
878	DMTF1	hsa-miR-642b-3p	Lung	Created
879	DMTF1	hsa-miR-642a-3p	Lung	Created
880	DMTF1	hsa-miR-642b-3p	Lung	Created
1929	MN1	hsa-miR-942	Prostate	Created
1930	MN1	hsa-miR-4768-5p	Prostate	Disrupted
1931	MN1	hsa-miR-130b-5p	Prostate	Disrupted
1932	MN1	hsa-miR-1237	Prostate	Created
1933	MN1	hsa-miR-4753-3p	Prostate	Disrupted
1934	MN1	hsa-miR-1248	Prostate	Created
1935	MN1	hsa-miR-4279	Prostate	Created
1972	MTUS1	hsa-miR-4711-5p	Melanoma	Disrupted
1973	MTUS1	hsa-miR-4711-5p	Melanoma	Disrupted
1974	MTUS1	hsa-miR-4711-5p	Melanoma	Disrupted
1975	MTUS1	hsa-miR-4711-5p	Melanoma	Disrupted
1976	MTUS1	hsa-miR-4711-5p	Melanoma	Disrupted
1977	MTUS1	hsa-miR-136-3p	Melanoma	Disrupted
1978	MTUS1	hsa-miR-136-3p	Melanoma	Disrupted
1979	MTUS1	hsa-miR-136-3p	Melanoma	Disrupted
1980	MTUS1	hsa-miR-136-3p	Melanoma	Disrupted
1981	MTUS1	hsa-miR-136-3p	Melanoma	Disrupted
4627	CADM1	hsa-miR-4795-3p	Colorectal adenocarcinoma	Disrupted
4628	CADM1	hsa-miR-126-5p	Colorectal adenocarcinoma	Disrupted
4629	CADM1	hsa-miR-4795-3p	Colorectal adenocarcinoma	Disrupted
4630	CADM1	hsa-miR-126-5p	Colorectal adenocarcinoma	Disrupted
5172	CTCF	hsa-miR-1298	Breast Cancer	Created
5173	CTCF	hsa-miR-335-3p	Breast Cancer	Created
5174	CTCF	hsa-miR-1298	Breast Cancer	Created
5175	CTCF	hsa-miR-335-3p	Breast Cancer	Created
5189	CYLD	hsa-miR-5683	Breast Cancer	Created
5190	CYLD	hsa-miR-3942-3p	Breast Cancer	Disrupted
5191	CYLD	hsa-miR-1245b-3p	Breast Cancer	Disrupted
5192	CYLD	hsa-miR-5100	Breast Cancer	Disrupted
5193	CYLD	hsa-miR-5683	Breast Cancer	Created
5194	CYLD	hsa-miR-3942-3p	Breast Cancer	Disrupted
5195	CYLD	hsa-miR-1245b-3p	Breast Cancer	Disrupted
5196	CYLD	hsa-miR-5100	Breast Cancer	Disrupted
5197	CYLD	hsa-miR-5683	Breast Cancer	Created
5198	CYLD	hsa-miR-3942-3p	Breast Cancer	Disrupted
5199	CYLD	hsa-miR-1245b-3p	Breast Cancer	Disrupted
5200	CYLD	hsa-miR-5100	Breast Cancer	Disrupted
5357	EGFR	hsa-miR-4668-3p	Myeloid leukemia	Created
5358	EGFR	hsa-miR-4722-3p	Colorectal adenocarcinoma	Disrupted
7222	MTUS1	hsa-miR-3686	Breast Cancer	Created
7223	MTUS1	hsa-miR-3607-3p	Breast Cancer	Created
7224	MTUS1	hsa-miR-302b-5p	Breast Cancer	Disrupted
7225	MTUS1	hsa-miR-302d-5p	Breast Cancer	Disrupted
7226	MTUS1	hsa-miR-3686	Breast Cancer	Created
7227	MTUS1	hsa-miR-3607-3p	Breast Cancer	Created
7228	MTUS1	hsa-miR-302b-5p	Breast Cancer	Disrupted
7229	MTUS1	hsa-miR-302d-5p	Breast Cancer	Disrupted
7230	MTUS1	hsa-miR-3686	Breast Cancer	Created
7231	MTUS1	hsa-miR-3607-3p	Breast Cancer	Created
7232	MTUS1	hsa-miR-302b-5p	Breast Cancer	Disrupted
7233	MTUS1	hsa-miR-302d-5p	Breast Cancer	Disrupted
7234	MTUS1	hsa-miR-3686	Breast Cancer	Created
