	Genesymbol	miRNA	Targetsiteclass	Cancertype	Genetype
0	AKT1	hsa-miR-548ac	Disrupted	Prostate	Oncogene
1	AKT1	hsa-miR-548ac	Disrupted	Prostate	Oncogene
2	AKT1	hsa-miR-548ac	Disrupted	Prostate	Oncogene
3	AKT1	hsa-miR-548h-3p	Disrupted	Prostate	Oncogene
4	AKT1	hsa-miR-548z	Disrupted	Prostate	Oncogene
5	AKT1	hsa-miR-548h-3p	Disrupted	Prostate	Oncogene
6	AKT1	hsa-miR-548z	Disrupted	Prostate	Oncogene
7	AKT1	hsa-miR-548h-3p	Disrupted	Prostate	Oncogene
8	AKT1	hsa-miR-548z	Disrupted	Prostate	Oncogene
9	AKT1	hsa-miR-548d-3p	Disrupted	Prostate	Oncogene
10	AKT1	hsa-miR-548d-3p	Disrupted	Prostate	Oncogene
11	AKT1	hsa-miR-548d-3p	Disrupted	Prostate	Oncogene
12	AKT1	hsa-miR-548aa	Disrupted	Prostate	Oncogene
13	AKT1	hsa-miR-548ap-3p	Disrupted	Prostate	Oncogene
14	AKT1	hsa-miR-548t-3p	Disrupted	Prostate	Oncogene
15	AKT1	hsa-miR-548aa	Disrupted	Prostate	Oncogene
16	AKT1	hsa-miR-548ap-3p	Disrupted	Prostate	Oncogene
17	AKT1	hsa-miR-548t-3p	Disrupted	Prostate	Oncogene
18	AKT1	hsa-miR-548aa	Disrupted	Prostate	Oncogene
19	AKT1	hsa-miR-548ap-3p	Disrupted	Prostate	Oncogene
20	AKT1	hsa-miR-548t-3p	Disrupted	Prostate	Oncogene
21	AKT1	hsa-miR-4422	Created	Prostate	Oncogene
22	AKT1	hsa-miR-4422	Created	Prostate	Oncogene
23	AKT1	hsa-miR-4422	Created	Prostate	Oncogene
24	ARHGAP26	hsa-miR-193b-5p	Disrupted	Prostate	Tumor Suppressor Gene
25	ARHGAP26	hsa-miR-193b-5p	Disrupted	Prostate	Tumor Suppressor Gene
26	ARHGAP26	hsa-miR-5096	Disrupted	Prostate	Tumor Suppressor Gene
27	ARHGAP26	hsa-miR-5096	Disrupted	Prostate	Tumor Suppressor Gene
28	ARHGAP26	hsa-miR-4787-5p	Created	Prostate	Tumor Suppressor Gene
29	ARHGAP26	hsa-miR-4787-5p	Created	Prostate	Tumor Suppressor Gene
30	BRWD1	hsa-miR-3913-3p	Disrupted	Lung	Oncogene
