	miRNA	Genesymbol
0	hsa-miR-548ac	AKT1
3	hsa-miR-548h-3p	AKT1
4	hsa-miR-548z	AKT1
9	hsa-miR-548d-3p	AKT1
12	hsa-miR-548aa	AKT1
13	hsa-miR-548ap-3p	AKT1
14	hsa-miR-548t-3p	AKT1
24	hsa-miR-193b-5p	ARHGAP26
26	hsa-miR-5096	ARHGAP26
30	hsa-miR-4279	CDK6
32	hsa-miR-4723-3p	CDK6
34	hsa-miR-3183	CDK6
38	hsa-miR-922	CRTC1
42	hsa-miR-20a-3p	FLI1
48	hsa-miR-18a-5p	KDM5A
49	hsa-miR-18b-5p	KDM5A
50	hsa-miR-4735-3p	KDM5A
52	hsa-miR-3617	KIAA1549
54	hsa-miR-641	KIAA1549
58	hsa-miR-4426	MITF
65	hsa-miR-4662b	MITF
72	hsa-miR-4647	MITF
100	hsa-miR-4649-3p	MYH11
124	hsa-miR-1265	NRG1
128	hsa-miR-30a-3p	NRG1
129	hsa-miR-30d-3p	NRG1
130	hsa-miR-30e-3p	NRG1
144	hsa-miR-4286	PAX7
145	hsa-miR-4722-3p	PLCG1
147	hsa-miR-1224-3p	PLCG1
151	hsa-miR-3692-5p	PRDM16
153	hsa-miR-5589-5p	PRDM16
155	hsa-miR-612	PRDM16
157	hsa-miR-3187-5p	PRDM16
159	hsa-miR-1285-3p	PRDM16
161	hsa-miR-5189	PRDM16
163	hsa-miR-4731-5p	PRDM16
165	hsa-miR-4733-5p	PTPRB
169	hsa-miR-5697	PTPRB
173	hsa-miR-26a-5p	PTPRB
174	hsa-miR-26b-5p	PTPRB
181	hsa-miR-1297	PTPRB
185	hsa-miR-4465	PTPRB
202	hsa-miR-129-5p	ACSL3
210	hsa-miR-4257	AFF4
212	hsa-miR-361-5p	AFF4
213	hsa-miR-2115-3p	AFF4
215	hsa-miR-548c-3p	BCL11A
218	hsa-miR-539-3p	BRD3
219	hsa-miR-485-3p	BRD3
220	hsa-miR-3613-3p	BRD3
224	hsa-miR-4722-3p	EGFR
229	hsa-miR-4481	EP300
230	hsa-miR-4745-5p	EP300
231	hsa-miR-4447	EP300
232	hsa-miR-4472	EP300
233	hsa-miR-4758-5p	EP300
