	miRNA	Genesymbol
21	hsa-miR-4422	AKT1
28	hsa-miR-4787-5p	ARHGAP26
32	hsa-miR-4530	BCAS3
38	hsa-miR-361-3p	BCAS3
42	hsa-miR-558	BCR
44	hsa-miR-3150a-3p	BCR
46	hsa-miR-939	BCR
48	hsa-miR-3175	BCR
58	hsa-miR-920	BCR
60	hsa-miR-4300	BCR
62	hsa-miR-5591-5p	BCR
64	hsa-miR-4667-5p	BCR
65	hsa-miR-4700-5p	BCR
70	hsa-miR-4520a-5p	FLI1
71	hsa-miR-4520b-5p	FLI1
78	hsa-miR-573	MYH11
80	hsa-miR-3616-5p	MYH11
82	hsa-miR-4795-5p	MYH11
83	hsa-miR-595	MYH11
97	hsa-miR-137	ZNF320
98	hsa-miR-656	ZNF320
101	hsa-miR-126-5p	ZNF320
102	hsa-miR-4795-3p	ZNF320
103	hsa-let-7f-2-3p	ZNF320
104	hsa-miR-1185-1-3p	ZNF320
105	hsa-miR-1185-2-3p	ZNF320
107	hsa-miR-548an	AFF4
110	hsa-miR-9-5p	AXL
114	hsa-miR-5680	BCL11A
118	hsa-miR-644b-5p	CRKL
120	hsa-miR-548av-5p	CRKL
121	hsa-miR-548k	CRKL
122	hsa-miR-548l	CRKL
123	hsa-miR-548ab	CRKL
124	hsa-miR-548i	CRKL
125	hsa-miR-548aq-5p	CRKL
126	hsa-miR-548a-5p	CRKL
127	hsa-miR-548as-5p	CRKL
128	hsa-miR-548y	CRKL
129	hsa-miR-548ak	CRKL
130	hsa-miR-548ar-5p	CRKL
131	hsa-miR-548am-5p	CRKL
132	hsa-miR-548au-5p	CRKL
133	hsa-miR-548b-5p	CRKL
134	hsa-miR-548c-5p	CRKL
135	hsa-miR-548d-5p	CRKL
136	hsa-miR-548h-5p	CRKL
137	hsa-miR-548o-5p	CRKL
138	hsa-miR-548w	CRKL
139	hsa-miR-559	CRKL
140	hsa-miR-548ap-5p	CRKL
141	hsa-miR-548j	CRKL
146	hsa-miR-558	CRKL
