miRNA	Genesymbol
hsa-miR-548ac	AKT1
hsa-miR-548h-3p	AKT1
hsa-miR-548z	AKT1
hsa-miR-548d-3p	AKT1
hsa-miR-548aa	AKT1
hsa-miR-548ap-3p	AKT1
hsa-miR-548t-3p	AKT1
hsa-miR-193b-5p	ARHGAP26
hsa-miR-5096	ARHGAP26
hsa-miR-338-3p	BCAS3
hsa-miR-5193	BCAS3
hsa-miR-4691-5p	BCAS3
hsa-miR-766-3p	BCAS3
hsa-miR-612	BCR
hsa-miR-1285-3p	BCR
hsa-miR-3187-5p	BCR
hsa-miR-5189	BCR
hsa-miR-20a-3p	FLI1
hsa-miR-4649-3p	MYH11
hsa-miR-4286	PAX7
hsa-miR-4701-3p	RAB8A
hsa-miR-1262	RAB8A
hsa-miR-5692b	ZNF320
hsa-miR-5692c	ZNF320
hsa-miR-4257	AFF4
hsa-miR-361-5p	AFF4
hsa-miR-2115-3p	AFF4
hsa-miR-3065-3p	AXL
hsa-miR-548c-3p	BCL11A
hsa-miR-4656	CRKL
hsa-miR-5585-5p	CRKL
hsa-miR-548ao-5p	CRKL
hsa-miR-548ax	CRKL
hsa-miR-4519	CRKL
hsa-miR-512-3p	CRKL
hsa-miR-4722-3p	EGFR
hsa-miR-557	ERBB4
hsa-miR-507	ERBB4
hsa-miR-4719	ERBB4
hsa-miR-432-3p	ERBB4
hsa-miR-3134	ERBB4
hsa-miR-1246	ERBB4
hsa-miR-3664-5p	FGFR2
hsa-miR-3960	JUNB
hsa-miR-1908	JUNB
hsa-miR-663a	JUNB
hsa-miR-744-5p	JUNB
hsa-miR-4467	JUNB
hsa-miR-1305	KAT6A
hsa-miR-603	MLLT6
hsa-miR-329	MLLT6
hsa-miR-362-3p	MLLT6
hsa-miR-607	RNF213
hsa-miR-3613-3p	RNF213
hsa-miR-5189	SMAP2
hsa-miR-3187-5p	SMAP2
hsa-miR-1285-3p	SMAP2
hsa-miR-612	SMAP2
hsa-miR-4665-5p	SPECC1
hsa-miR-1275	SPECC1
hsa-miR-5572	SPECC1
hsa-miR-4260	SPECC1
hsa-miR-450a-3p	SPECC1
hsa-miR-129-5p	SPECC1
hsa-miR-4302	SUZ12
hsa-miR-4640-3p	TCTA
hsa-miR-5006-5p	ZFYVE19
hsa-miR-4755-3p	ZFYVE19
hsa-miR-519a-3p	ZFYVE19
hsa-miR-519b-3p	ZFYVE19
hsa-miR-519c-3p	ZFYVE19
hsa-miR-373-3p	ZFYVE19
hsa-miR-520a-3p	ZFYVE19
hsa-miR-520b	ZFYVE19
hsa-miR-520c-3p	ZFYVE19
hsa-miR-520d-3p	ZFYVE19
hsa-miR-520e	ZFYVE19
hsa-miR-302a-3p	ZFYVE19
hsa-miR-302c-3p	ZFYVE19
hsa-miR-302d-3p	ZFYVE19
hsa-miR-302e	ZFYVE19
hsa-miR-372	ZFYVE19
hsa-miR-302b-3p	ZFYVE19
hsa-miR-4436b-3p	AKT2
hsa-miR-4509	AKT2
hsa-miR-330-3p	FGFR1
hsa-miR-513a-5p	MAL
hsa-miR-27a-3p	MAL
hsa-miR-27b-3p	MAL
hsa-miR-4317	PAX3
hsa-miR-3945	PAX3
hsa-miR-4253	PAX3
hsa-miR-1256	PAX3
hsa-miR-29b-2-5p	RASA1
hsa-miR-1207-3p	SPI1
hsa-miR-449a	SRC
hsa-miR-449b-5p	SRC
hsa-miR-34c-5p	SRC
hsa-miR-34a-5p	SRC
hsa-miR-4317	TPR
hsa-miR-5006-5p	ABL2
hsa-miR-5582-5p	ARAF
hsa-miR-548n	BTG1
hsa-miR-4745-3p	ELL
hsa-miR-3145-3p	ERBB4
hsa-miR-555	KAT5
hsa-miR-4659a-5p	MCF2
hsa-miR-665	AKAP13
hsa-miR-3154	GAS7
hsa-miR-1277-5p	ETV6
hsa-miR-603	SMAP2
hsa-miR-424-3p	AKT1
hsa-miR-548at-5p	BTG1
hsa-miR-129-5p	USP4
hsa-miR-329	BCL9
hsa-miR-362-3p	BCL9
hsa-miR-4776-3p	MCF2
hsa-miR-3158-5p	LITAF
hsa-miR-1277-5p	FURIN
hsa-miR-124-5p	THRB
hsa-miR-1913	BTG1
hsa-miR-4283	ARAF
hsa-miR-4757-5p	ERG
hsa-miR-3612	STIL
hsa-miR-4532	BTG1
hsa-miR-4652-5p	CCND2
hsa-miR-644b-3p	NET1
hsa-miR-376a-3p	ERG
hsa-miR-376b	ERG
hsa-miR-452-3p	GNAS
hsa-miR-4798-3p	SMAP2
hsa-miR-193b-3p	KDSR
hsa-miR-633	CBL
hsa-miR-3941	NET1
hsa-miR-1538	ELL
hsa-miR-676-3p	ZNF320
hsa-miR-1305	MXI1
hsa-miR-5196-3p	GNAS
hsa-miR-4425	MLLT6
hsa-miR-513c-5p	NRAS
hsa-miR-4676-3p	MAF
hsa-miR-4661-3p	GNAS
hsa-miR-596	GNAS
hsa-miR-3937	GNAS
hsa-miR-338-5p	WHSC1
hsa-miR-3175	WHSC1
hsa-miR-4661-3p	WHSC1
hsa-miR-4999-3p	WHSC1
hsa-miR-4695-5p	PML
hsa-miR-650	STIL
hsa-miR-3122	TCTA
hsa-miR-3147	TCTA
hsa-miR-5583-3p	WHSC1
hsa-miR-548ao-5p	FGF5
hsa-miR-4635	FGF5
hsa-miR-619	ARHGAP26
hsa-miR-130a-3p	FGFR1
hsa-miR-130b-3p	FGFR1
hsa-miR-301a-3p	FGFR1
hsa-miR-301b	FGFR1
hsa-miR-4789-3p	NET1
hsa-miR-374b-3p	CBL
hsa-miR-4663	ERBB3
hsa-miR-5186	ERBB3
hsa-miR-548a-5p	MDM2
hsa-miR-548ak	MDM2
hsa-miR-548am-5p	MDM2
hsa-miR-548ap-5p	MDM2
hsa-miR-548ar-5p	MDM2
hsa-miR-548as-5p	MDM2
hsa-miR-548au-5p	MDM2
hsa-miR-548c-5p	MDM2
hsa-miR-548d-5p	MDM2
hsa-miR-548h-5p	MDM2
hsa-miR-548i	MDM2
hsa-miR-548j	MDM2
hsa-miR-548k	MDM2
hsa-miR-548l	MDM2
hsa-miR-548o-5p	MDM2
