Genesymbol	miRNA
AKT1	hsa-miR-548ac
AKT1	hsa-miR-548h-3p
AKT1	hsa-miR-548z
AKT1	hsa-miR-548d-3p
AKT1	hsa-miR-548aa
AKT1	hsa-miR-548ap-3p
AKT1	hsa-miR-548t-3p
ARHGAP26	hsa-miR-193b-5p
ARHGAP26	hsa-miR-5096
BCAS3	hsa-miR-338-3p
BCAS3	hsa-miR-5193
BCAS3	hsa-miR-4691-5p
BCAS3	hsa-miR-766-3p
BCR	hsa-miR-612
BCR	hsa-miR-1285-3p
BCR	hsa-miR-3187-5p
BCR	hsa-miR-5189
FLI1	hsa-miR-20a-3p
MYH11	hsa-miR-4649-3p
PAX7	hsa-miR-4286
RAB8A	hsa-miR-4701-3p
RAB8A	hsa-miR-1262
ZNF320	hsa-miR-5692b
ZNF320	hsa-miR-5692c
AFF4	hsa-miR-4257
AFF4	hsa-miR-361-5p
AFF4	hsa-miR-2115-3p
AXL	hsa-miR-3065-3p
BCL11A	hsa-miR-548c-3p
CRKL	hsa-miR-4656
CRKL	hsa-miR-5585-5p
CRKL	hsa-miR-548ao-5p
CRKL	hsa-miR-548ax
CRKL	hsa-miR-4519
CRKL	hsa-miR-512-3p
EGFR	hsa-miR-4722-3p
ERBB4	hsa-miR-557
ERBB4	hsa-miR-507
ERBB4	hsa-miR-4719
ERBB4	hsa-miR-432-3p
ERBB4	hsa-miR-3134
ERBB4	hsa-miR-1246
FGFR2	hsa-miR-3664-5p
JUNB	hsa-miR-3960
JUNB	hsa-miR-1908
JUNB	hsa-miR-663a
JUNB	hsa-miR-744-5p
JUNB	hsa-miR-4467
KAT6A	hsa-miR-1305
MLLT6	hsa-miR-603
MLLT6	hsa-miR-329
MLLT6	hsa-miR-362-3p
RNF213	hsa-miR-607
RNF213	hsa-miR-3613-3p
SMAP2	hsa-miR-5189
SMAP2	hsa-miR-3187-5p
SMAP2	hsa-miR-1285-3p
SMAP2	hsa-miR-612
SPECC1	hsa-miR-4665-5p
SPECC1	hsa-miR-1275
SPECC1	hsa-miR-5572
SPECC1	hsa-miR-4260
SPECC1	hsa-miR-450a-3p
SPECC1	hsa-miR-129-5p
SUZ12	hsa-miR-4302
TCTA	hsa-miR-4640-3p
ZFYVE19	hsa-miR-5006-5p
ZFYVE19	hsa-miR-4755-3p
ZFYVE19	hsa-miR-519a-3p
ZFYVE19	hsa-miR-519b-3p
ZFYVE19	hsa-miR-519c-3p
ZFYVE19	hsa-miR-373-3p
ZFYVE19	hsa-miR-520a-3p
ZFYVE19	hsa-miR-520b
ZFYVE19	hsa-miR-520c-3p
ZFYVE19	hsa-miR-520d-3p
ZFYVE19	hsa-miR-520e
ZFYVE19	hsa-miR-302a-3p
ZFYVE19	hsa-miR-302c-3p
ZFYVE19	hsa-miR-302d-3p
ZFYVE19	hsa-miR-302e
ZFYVE19	hsa-miR-372
ZFYVE19	hsa-miR-302b-3p
AKT2	hsa-miR-4436b-3p
AKT2	hsa-miR-4509
FGFR1	hsa-miR-330-3p
MAL	hsa-miR-513a-5p
MAL	hsa-miR-27a-3p
MAL	hsa-miR-27b-3p
PAX3	hsa-miR-4317
PAX3	hsa-miR-3945
PAX3	hsa-miR-4253
PAX3	hsa-miR-1256
RASA1	hsa-miR-29b-2-5p
SPI1	hsa-miR-1207-3p
SRC	hsa-miR-449a
SRC	hsa-miR-449b-5p
SRC	hsa-miR-34c-5p
SRC	hsa-miR-34a-5p
TPR	hsa-miR-4317
ABL2	hsa-miR-5006-5p
ARAF	hsa-miR-5582-5p
BTG1	hsa-miR-548n
ELL	hsa-miR-4745-3p
ERBB4	hsa-miR-3145-3p
KAT5	hsa-miR-555
MCF2	hsa-miR-4659a-5p
AKAP13	hsa-miR-665
GAS7	hsa-miR-3154
ETV6	hsa-miR-1277-5p
SMAP2	hsa-miR-603
AKT1	hsa-miR-424-3p
BTG1	hsa-miR-548at-5p
USP4	hsa-miR-129-5p
BCL9	hsa-miR-329
BCL9	hsa-miR-362-3p
MCF2	hsa-miR-4776-3p
LITAF	hsa-miR-3158-5p
FURIN	hsa-miR-1277-5p
THRB	hsa-miR-124-5p
BTG1	hsa-miR-1913
ARAF	hsa-miR-4283
ERG	hsa-miR-4757-5p
STIL	hsa-miR-3612
BTG1	hsa-miR-4532
CCND2	hsa-miR-4652-5p
NET1	hsa-miR-644b-3p
ERG	hsa-miR-376a-3p
ERG	hsa-miR-376b
GNAS	hsa-miR-452-3p
SMAP2	hsa-miR-4798-3p
KDSR	hsa-miR-193b-3p
CBL	hsa-miR-633
NET1	hsa-miR-3941
ELL	hsa-miR-1538
ZNF320	hsa-miR-676-3p
MXI1	hsa-miR-1305
GNAS	hsa-miR-5196-3p
MLLT6	hsa-miR-4425
NRAS	hsa-miR-513c-5p
MAF	hsa-miR-4676-3p
GNAS	hsa-miR-4661-3p
GNAS	hsa-miR-596
GNAS	hsa-miR-3937
WHSC1	hsa-miR-338-5p
WHSC1	hsa-miR-3175
WHSC1	hsa-miR-4661-3p
WHSC1	hsa-miR-4999-3p
PML	hsa-miR-4695-5p
STIL	hsa-miR-650
TCTA	hsa-miR-3122
TCTA	hsa-miR-3147
WHSC1	hsa-miR-5583-3p
FGF5	hsa-miR-548ao-5p
FGF5	hsa-miR-4635
ARHGAP26	hsa-miR-619
FGFR1	hsa-miR-130a-3p
FGFR1	hsa-miR-130b-3p
FGFR1	hsa-miR-301a-3p
FGFR1	hsa-miR-301b
NET1	hsa-miR-4789-3p
CBL	hsa-miR-374b-3p
ERBB3	hsa-miR-4663
ERBB3	hsa-miR-5186
MDM2	hsa-miR-548a-5p
MDM2	hsa-miR-548ak
MDM2	hsa-miR-548am-5p
MDM2	hsa-miR-548ap-5p
MDM2	hsa-miR-548ar-5p
MDM2	hsa-miR-548as-5p
MDM2	hsa-miR-548au-5p
MDM2	hsa-miR-548c-5p
MDM2	hsa-miR-548d-5p
MDM2	hsa-miR-548h-5p
MDM2	hsa-miR-548i
MDM2	hsa-miR-548j
MDM2	hsa-miR-548k
MDM2	hsa-miR-548l
MDM2	hsa-miR-548o-5p
MDM2	hsa-miR-548t-5p
MDM2	hsa-miR-548w
MDM2	hsa-miR-548y
MDM2	hsa-miR-338-3p
MDM2	hsa-miR-4310
MDM2	hsa-miR-4665-5p
MDM2	hsa-miR-34b-3p
GAS7	hsa-miR-2467-3p
GAS7	hsa-miR-1276
GAS7	hsa-miR-4487
MLLT6	hsa-miR-3147
RNF213	hsa-miR-425-3p
SS18	hsa-miR-4493
BCL2	hsa-miR-1231
KDSR	hsa-miR-892b
AKT2	hsa-miR-302f
MET	hsa-miR-520d-5p
MET	hsa-miR-524-5p
RNF213	hsa-miR-1236
KDSR	hsa-miR-199a-3p
KDSR	hsa-miR-199b-3p
KDSR	hsa-miR-30a-3p
KDSR	hsa-miR-30d-3p
KDSR	hsa-miR-3129-5p
ARHGAP26	hsa-miR-4726-5p
GAS7	hsa-miR-320e
NRAS	hsa-miR-26b-5p
NRAS	hsa-miR-5697
ARHGAP26	hsa-miR-1295b-3p
KAT6A	hsa-miR-29b-2-5p
KAT6A	hsa-miR-518c-5p
MDM2	hsa-miR-508-5p
ABL2	hsa-miR-1202
ABL2	hsa-miR-1227
ABL2	hsa-miR-147a
KIT	hsa-miR-3162-5p
BTG1	hsa-miR-410
BTG1	hsa-miR-5011-5p
MAF	hsa-miR-193b-3p
MAF	hsa-miR-4435
MAF	hsa-miR-548av-3p
MAF	hsa-miR-548g-3p
PRKCA	hsa-miR-579
PRKCA	hsa-miR-644b-3p
MLL	hsa-miR-2114-3p
MLL	hsa-miR-4293
PBX1	hsa-miR-1913
PBX1	hsa-miR-331-3p
PBX1	hsa-miR-4749-3p
THRB	hsa-miR-4436b-3p
RARB	hsa-miR-562
NET1	hsa-miR-579
TTC23	hsa-miR-200c-3p
FGF5	hsa-miR-205-5p
ERBB4	hsa-miR-452-3p
ERBB4	hsa-miR-4695-3p
ETV6	hsa-miR-3613-3p
PBX1	hsa-miR-3124-3p
PBX1	hsa-miR-548d-3p
PATZ1	hsa-miR-3143
MDM2	hsa-miR-513a-3p
MDM2	hsa-miR-513c-3p
CREB3L2	hsa-miR-4435
HMGA2	hsa-miR-548at-5p
PLAG1	hsa-miR-369-3p
PLAG1	hsa-miR-374b-5p
PLAG1	hsa-miR-5692b
PLAG1	hsa-miR-5692c
PLAG1	hsa-miR-183-5p
CCND2	hsa-miR-3936
ZNF320	hsa-miR-10b-5p
AFF4	hsa-miR-5680
ERBB4	hsa-miR-4668-3p
RUNX1	hsa-miR-4511
GAS7	hsa-miR-4284
GAS7	hsa-miR-4437
GAS7	hsa-miR-4721
GAS7	hsa-miR-5088
PAX7	hsa-miR-4422
AKAP13	hsa-miR-4796-3p
AKAP13	hsa-miR-4263
AKAP13	hsa-miR-576-5p
TAL1	hsa-miR-335-3p
SYK	hsa-miR-3619-3p
MDM2	hsa-miR-4432
BTG1	hsa-miR-5587-3p
TOP1	hsa-miR-548aj-5p
TOP1	hsa-miR-548g-5p
TOP1	hsa-miR-548x-5p
AKT2	hsa-miR-3616-3p
MAF	hsa-miR-19a-5p
MAF	hsa-miR-19b-1-5p
MAF	hsa-miR-19b-2-5p
MAF	hsa-miR-452-5p
AFF4	hsa-miR-3609
SMAP2	hsa-miR-5196-5p
ERBB4	hsa-miR-3152-5p
ERBB4	hsa-miR-4774-3p
ERBB4	hsa-miR-568
FGFR2	hsa-miR-4712-5p
HLF	hsa-miR-4502
HLF	hsa-miR-592
PDGFRA	hsa-miR-3185
CRK	hsa-miR-539-5p
