	Driver Oncogenes with Disrupted Binding Site	Driver Tumor Suppressor Gene with Created Binding Site	Unclassified Driver Gene with Mutated Binding Site	Total # Mutated Driver Gene Binding Sites
hsa-let-7a-2-3p		FAS		1
hsa-let-7a-3p		NR4A2,TET2		2
hsa-let-7a-5p		TBL1XR1,EEF1A1		2
hsa-let-7b-3p		NR4A2,TET2		2
hsa-let-7b-5p		EEF1A1,TBL1XR1		2
hsa-let-7c		EEF1A1,TBL1XR1		2
hsa-let-7d-5p		EEF1A1,TBL1XR1		2
hsa-let-7e-5p		TBL1XR1,EEF1A1		2
hsa-let-7f-1-3p		NR4A2,TET2		2
hsa-let-7f-2-3p	NRAS			1
hsa-let-7f-5p		EEF1A1,TBL1XR1		2
hsa-let-7g-3p		FAS		1
hsa-let-7g-5p		TBL1XR1,EEF1A1		2
hsa-let-7i-3p	RAF1	CDKN2A		2
hsa-let-7i-5p		EEF1A1,TBL1XR1		2
hsa-miR-1		SMAD2		1
hsa-miR-100-3p	MCM3		CUX1	2
hsa-miR-101-3p	PLCG1			1
hsa-miR-103a-2-5p	POM121	FAS		2
hsa-miR-103a-3p	BRWD1	CLOCK		2
hsa-miR-105-5p	ARFGEF2	LDHA		2
hsa-miR-106a-3p	PRRX1,EIF4G3		FGFR1	3
hsa-miR-106a-5p	AHR	MLL	PCSK5,AFF4	4
hsa-miR-106b-5p	AHR	MLL	PCSK5,SYK,AFF4	5
hsa-miR-107	BRWD1	CLOCK		2
hsa-miR-10a-5p		SMAD2		1
hsa-miR-10b-3p		RTN4,NF1		2
hsa-miR-10b-5p		SMAD2		1
hsa-miR-1178	POM121	TP53		2
hsa-miR-1181		SOX9		1
hsa-miR-1183		ACO1,ATRX		2
hsa-miR-1184			WHSC1,FGFR1	2
hsa-miR-1185-1-3p	NRAS			1
hsa-miR-1185-2-3p	NRAS			1
hsa-miR-1197	CLCC1,ERBB3			2
hsa-miR-1200		COPS2,INPPL1	CNOT4	3
hsa-miR-1202	ABL2,TJP2			2
hsa-miR-1204			FANCI	1
hsa-miR-1206			WHSC1	1
hsa-miR-1207-3p		ACSL6,PIK3R1		2
hsa-miR-1207-5p		MAP2K4		1
hsa-miR-1208		ATRX		1
hsa-miR-122-5p			SMURF2	1
hsa-miR-1224-3p	PLCG1	MSR1,ATM,VHL		4
hsa-miR-1225-3p		PSIP1	AFF4	2
hsa-miR-1225-5p		MUC20		1
hsa-miR-1226-3p	SMC1A		WHSC1	2
hsa-miR-1227	ABL2			1
hsa-miR-1228-3p	SRGAP1			1
hsa-miR-1228-5p	NDRG1			1
hsa-miR-1233		PSIP1		1
hsa-miR-1237		MUC20		1
hsa-miR-124-3p		CEBPA		1
hsa-miR-1244	DIS3		EFTUD2	2
hsa-miR-1245a	FLT3			1
hsa-miR-1245b-3p	CLCC1,BPTF	CYLD		3
hsa-miR-1246	BRWD1			1
hsa-miR-1247-5p	EPHB2			1
hsa-miR-1249	AHR			1
hsa-miR-1251		PTGS1		1
hsa-miR-1252	NTRK2	TOM1		2
hsa-miR-1254	MYH14			1
hsa-miR-1255b-2-3p		PIK3R1	SYK	2
hsa-miR-1256		CDKN2A,VHL		2
hsa-miR-125a-3p		CDKN2A	AFF4	2
hsa-miR-125b-1-3p		KEAP1		1
hsa-miR-126-5p	CRNKL1			1
hsa-miR-1260a		MSR1,VHL		2
hsa-miR-1260b		MSR1,VHL		2
hsa-miR-1261	CLCC1			1
hsa-miR-1262		KEAP1	WNK1	2
hsa-miR-1263	POM121			1
hsa-miR-1264			CRTC3	1
hsa-miR-1267		TET2	VIM	2
hsa-miR-1269a	ABL2,NKX3-1			2
hsa-miR-1269b	ABL2,NKX3-1			2
hsa-miR-1271-3p		HLA-A		1
hsa-miR-1271-5p		FOXP1		1
hsa-miR-1272		CSNK1G3		1
hsa-miR-1273c		CDKN2A		1
hsa-miR-1273d		NF2		1
hsa-miR-1273e			SH2B3	1
hsa-miR-1273f	NTRK2,STARD13,ERBB3		FGFR1	4
hsa-miR-1273g-3p		TET2	WHSC1	2
hsa-miR-1273g-5p	GNAS			1
hsa-miR-1275		CLOCK		1
hsa-miR-1278		RUNX1		1
hsa-miR-128	GNAS,NRAS	PIK3R1	CAPN7	4
hsa-miR-1280		MSR1	FGFR1	2
hsa-miR-1281	HRAS			1
hsa-miR-1283	MET			1
hsa-miR-1285-3p		ARHGAP26	JMY	2
hsa-miR-129-1-3p		CYLD		1
hsa-miR-129-2-3p		CYLD		1
hsa-miR-129-5p	KIT		ACSL3	2
hsa-miR-1290			ACSL3,PIP5K1A	2
hsa-miR-1291	RAF1			1
hsa-miR-1293		EP300		1
hsa-miR-1295b-3p		ARHGAP26,RAD23B,CDC27		3
hsa-miR-1295b-5p		RB1	FGFR1	2
hsa-miR-1297	NRAS			1
hsa-miR-1298		CTCF		1
hsa-miR-1301	BRWD1,SIN3A		FGFR1	3
hsa-miR-1302		SMAD2,ARID5B		2
hsa-miR-1305	BRWD1	PIK3R1,TP53		3
hsa-miR-1306-5p	HRAS			1
hsa-miR-130a-3p	LRP6	CDKN2A	FGFR1	3
hsa-miR-130a-5p	ADCY1,EGFR	HLA-A		3
hsa-miR-130b-3p	LRP6	CDKN2A	FGFR1	3
hsa-miR-132-5p	EGFR		PRKCZ	2
hsa-miR-1321	KIT	ACSL6		2
hsa-miR-1322	DLG1			1
hsa-miR-1324	NTRK2		MYD88	2
hsa-miR-133a	ACACA			1
hsa-miR-133b	ACACA			1
hsa-miR-138-2-3p	BCLAF1			1
hsa-miR-138-5p		FAF1		1
hsa-miR-139-3p	ERBB3			1
hsa-miR-139-5p	BRWD1			1
hsa-miR-140-3p	PLCG1		CAPN7	2
hsa-miR-141-3p	LPHN2		FGFR1	2
hsa-miR-141-5p		GNAI1		1
hsa-miR-142-5p		NF2	AFF4,EFTUD2	3
hsa-miR-143-3p	ERBB3			1
hsa-miR-143-5p	NTRK2	MUC20,ZFP36L1	FGFR1	4
hsa-miR-146a-3p	NTRK2		FAM46C	2
hsa-miR-146b-3p	NCOR2,RAF1			2
hsa-miR-1470	NTRK2			1
hsa-miR-1471		NF2		1
hsa-miR-147a	ABL2,DLG1,SIN3A	NR4A2		4
hsa-miR-147b	SIN3A			1
hsa-miR-148a-3p	GNAS	NAP1L1		2
hsa-miR-148b-3p	GNAS	NAP1L1		2
