	miRNA	Genesymbol
0	hsa-miR-548ac	AKT1
3	hsa-miR-548h-3p	AKT1
4	hsa-miR-548z	AKT1
9	hsa-miR-548d-3p	AKT1
12	hsa-miR-548aa	AKT1
13	hsa-miR-548ap-3p	AKT1
14	hsa-miR-548t-3p	AKT1
24	hsa-miR-193b-5p	ARHGAP26
26	hsa-miR-5096	ARHGAP26
30	hsa-miR-338-3p	BCAS3
34	hsa-miR-5193	BCAS3
36	hsa-miR-4691-5p	BCAS3
40	hsa-miR-766-3p	BCAS3
50	hsa-miR-612	BCR
52	hsa-miR-1285-3p	BCR
53	hsa-miR-3187-5p	BCR
54	hsa-miR-5189	BCR
68	hsa-miR-20a-3p	FLI1
74	hsa-miR-4649-3p	MYH11
94	hsa-miR-4286	PAX7
95	hsa-miR-4701-3p	RAB8A
96	hsa-miR-1262	RAB8A
99	hsa-miR-5692b	ZNF320
100	hsa-miR-5692c	ZNF320
106	hsa-miR-4257	AFF4
108	hsa-miR-361-5p	AFF4
109	hsa-miR-2115-3p	AFF4
111	hsa-miR-3065-3p	AXL
115	hsa-miR-548c-3p	BCL11A
119	hsa-miR-4656	CRKL
142	hsa-miR-5585-5p	CRKL
143	hsa-miR-548ao-5p	CRKL
144	hsa-miR-548ax	CRKL
145	hsa-miR-4519	CRKL
147	hsa-miR-512-3p	CRKL
149	hsa-miR-4722-3p	EGFR
152	hsa-miR-557	ERBB4
153	hsa-miR-507	ERBB4
155	hsa-miR-4719	ERBB4
162	hsa-miR-432-3p	ERBB4
165	hsa-miR-3134	ERBB4
166	hsa-miR-1246	ERBB4
175	hsa-miR-3664-5p	FGFR2
190	hsa-miR-3960	JUNB
192	hsa-miR-1908	JUNB
193	hsa-miR-663a	JUNB
197	hsa-miR-744-5p	JUNB
198	hsa-miR-4467	JUNB
199	hsa-miR-1305	KAT6A
208	hsa-miR-603	MLLT6
209	hsa-miR-329	MLLT6
210	hsa-miR-362-3p	MLLT6
221	hsa-miR-607	RNF213
222	hsa-miR-3613-3p	RNF213
229	hsa-miR-5189	SMAP2
230	hsa-miR-3187-5p	SMAP2
231	hsa-miR-1285-3p	SMAP2
232	hsa-miR-612	SMAP2
