	disrupted2onc
hsa-miR-4665-5p	6
hsa-miR-1275	5
hsa-miR-548z	5
hsa-miR-548ac	5
hsa-miR-3613-3p	5
hsa-miR-548d-3p	5
hsa-miR-548h-3p	5
hsa-miR-4426	4
hsa-miR-4647	4
hsa-miR-4279	4
hsa-miR-4260	4
hsa-miR-4735-3p	4
hsa-miR-30e-3p	4
hsa-miR-30d-3p	4
hsa-miR-30a-3p	4
hsa-miR-329	3
hsa-miR-17-5p	3
hsa-miR-20b-5p	3
hsa-miR-4695-5p	3
hsa-miR-770-5p	3
hsa-miR-4708-5p	3
hsa-miR-519d	3
hsa-miR-635	3
hsa-miR-520g	3
hsa-miR-520h	3
hsa-miR-526b-3p	3
hsa-miR-3147	3
hsa-miR-3148	3
hsa-miR-362-3p	3
hsa-miR-4317	3
hsa-miR-4712-5p	3
hsa-miR-338-5p	3
hsa-miR-548aw	3
hsa-miR-3609	3
hsa-miR-3126-5p	3
hsa-miR-5680	3
hsa-miR-4435	3
hsa-miR-149-3p	3
hsa-miR-450a-3p	3
hsa-miR-590-3p	3
hsa-miR-5572	3
hsa-miR-3919	3
hsa-miR-425-3p	3
hsa-miR-93-5p	3
hsa-miR-106a-5p	3
hsa-miR-188-3p	3
hsa-miR-548t-5p	3
hsa-miR-4662b	3
hsa-miR-3122	3
hsa-miR-18a-5p	3
hsa-miR-4520b-3p	3
hsa-miR-18b-5p	3
hsa-miR-548n	3
hsa-miR-5587-3p	3
hsa-miR-3692-3p	3
hsa-miR-374b-3p	3
hsa-miR-885-3p	3
hsa-miR-4432	3
hsa-miR-1909-3p	3
hsa-miR-4425	2
hsa-miR-3167	2
hsa-miR-3185	2
hsa-miR-3183	2
hsa-miR-548ap-5p	2
hsa-miR-548ar-5p	2
hsa-miR-4422	2
hsa-miR-3162-5p	2
hsa-miR-548au-5p	2
hsa-miR-548at-5p	2
hsa-miR-548as-5p	2
hsa-miR-548ap-3p	2
hsa-miR-548aq-3p	2
hsa-miR-323a-5p	2
hsa-miR-3153	2
hsa-miR-548b-5p	2
hsa-miR-29a-3p	2
hsa-miR-29b-1-5p	2
hsa-miR-29b-3p	2
hsa-miR-29c-3p	2
hsa-miR-548w	2
hsa-miR-548t-3p	2
hsa-miR-302c-5p	2
hsa-miR-302f	2
