	Genesymbol	miRNA	Cancertype	Targetsiteclass
82	AKT1	hsa-miR-548ac	Prostate	Disrupted
83	AKT1	hsa-miR-548ac	Prostate	Disrupted
84	AKT1	hsa-miR-548ac	Prostate	Disrupted
85	AKT1	hsa-miR-548h-3p	Prostate	Disrupted
86	AKT1	hsa-miR-548z	Prostate	Disrupted
87	AKT1	hsa-miR-548h-3p	Prostate	Disrupted
88	AKT1	hsa-miR-548z	Prostate	Disrupted
89	AKT1	hsa-miR-548h-3p	Prostate	Disrupted
90	AKT1	hsa-miR-548z	Prostate	Disrupted
91	AKT1	hsa-miR-548d-3p	Prostate	Disrupted
92	AKT1	hsa-miR-548d-3p	Prostate	Disrupted
93	AKT1	hsa-miR-548d-3p	Prostate	Disrupted
94	AKT1	hsa-miR-548aa	Prostate	Disrupted
95	AKT1	hsa-miR-548ap-3p	Prostate	Disrupted
96	AKT1	hsa-miR-548t-3p	Prostate	Disrupted
97	AKT1	hsa-miR-548aa	Prostate	Disrupted
98	AKT1	hsa-miR-548ap-3p	Prostate	Disrupted
99	AKT1	hsa-miR-548t-3p	Prostate	Disrupted
100	AKT1	hsa-miR-548aa	Prostate	Disrupted
101	AKT1	hsa-miR-548ap-3p	Prostate	Disrupted
102	AKT1	hsa-miR-548t-3p	Prostate	Disrupted
103	AKT1	hsa-miR-4422	Prostate	Created
104	AKT1	hsa-miR-4422	Prostate	Created
105	AKT1	hsa-miR-4422	Prostate	Created
211	ARHGAP26	hsa-miR-193b-5p	Prostate	Disrupted
212	ARHGAP26	hsa-miR-193b-5p	Prostate	Disrupted
213	ARHGAP26	hsa-miR-5096	Prostate	Disrupted
214	ARHGAP26	hsa-miR-5096	Prostate	Disrupted
215	ARHGAP26	hsa-miR-4787-5p	Prostate	Created
216	ARHGAP26	hsa-miR-4787-5p	Prostate	Created
674	CDK6	hsa-miR-4279	Small cell lung cancer	Disrupted
675	CDK6	hsa-miR-4279	Small cell lung cancer	Disrupted
676	CDK6	hsa-miR-4723-3p	Small cell lung cancer	Disrupted
677	CDK6	hsa-miR-4723-3p	Small cell lung cancer	Disrupted
678	CDK6	hsa-miR-3183	Small cell lung cancer	Disrupted
679	CDK6	hsa-miR-3183	Small cell lung cancer	Disrupted
758	CRTC1	hsa-miR-2115-3p	Small cell lung cancer	Created
759	CRTC1	hsa-miR-2115-3p	Small cell lung cancer	Created
760	CRTC1	hsa-miR-922	Small cell lung cancer	Disrupted
761	CRTC1	hsa-miR-922	Small cell lung cancer	Disrupted
1100	FCRL4	hsa-miR-2054	Lung	Created
1101	FCRL4	hsa-miR-380-3p	Lung	Created
1111	FLI1	hsa-miR-20a-3p	Lung	Disrupted
1112	FLI1	hsa-miR-20a-3p	Lung	Disrupted
1113	FLI1	hsa-miR-4520a-5p	Lung	Created
1114	FLI1	hsa-miR-4520b-5p	Lung	Created
1115	FLI1	hsa-miR-4520a-5p	Lung	Created
1116	FLI1	hsa-miR-4520b-5p	Lung	Created
1558	KDM5A	hsa-miR-18a-5p	Melanoma	Disrupted
1559	KDM5A	hsa-miR-18b-5p	Melanoma	Disrupted
1560	KDM5A	hsa-miR-4735-3p	Melanoma	Disrupted
1561	KDM5A	hsa-miR-505-5p	Melanoma	Created
1586	KIAA1549	hsa-miR-3617	Lung	Disrupted
1587	KIAA1549	hsa-miR-3617	Lung	Disrupted
1588	KIAA1549	hsa-miR-641	Lung	Disrupted
1589	KIAA1549	hsa-miR-641	Lung	Disrupted
1590	KIAA1549	hsa-miR-4305	Lung	Created
1591	KIAA1549	hsa-miR-4305	Lung	Created
1848	MITF	hsa-miR-4426	Prostate	Disrupted
1849	MITF	hsa-miR-4426	Prostate	Disrupted
1850	MITF	hsa-miR-4426	Prostate	Disrupted
1851	MITF	hsa-miR-4426	Prostate	Disrupted
1852	MITF	hsa-miR-4426	Prostate	Disrupted
1853	MITF	hsa-miR-4426	Prostate	Disrupted
1854	MITF	hsa-miR-4426	Prostate	Disrupted
1855	MITF	hsa-miR-4662b	Prostate	Disrupted
1856	MITF	hsa-miR-4662b	Prostate	Disrupted
1857	MITF	hsa-miR-4662b	Prostate	Disrupted
1858	MITF	hsa-miR-4662b	Prostate	Disrupted
1859	MITF	hsa-miR-4662b	Prostate	Disrupted
1860	MITF	hsa-miR-4662b	Prostate	Disrupted
1861	MITF	hsa-miR-4662b	Prostate	Disrupted
1862	MITF	hsa-miR-4647	Prostate	Disrupted
1863	MITF	hsa-miR-4647	Prostate	Disrupted
1864	MITF	hsa-miR-4647	Prostate	Disrupted
1865	MITF	hsa-miR-4647	Prostate	Disrupted
1866	MITF	hsa-miR-4647	Prostate	Disrupted
1867	MITF	hsa-miR-4647	Prostate	Disrupted
1868	MITF	hsa-miR-4647	Prostate	Disrupted
1869	MITF	hsa-miR-18a-5p	Prostate	Created
1870	MITF	hsa-miR-18b-5p	Prostate	Created
1871	MITF	hsa-miR-4735-3p	Prostate	Created
1872	MITF	hsa-miR-18a-5p	Prostate	Created
1873	MITF	hsa-miR-18b-5p	Prostate	Created
1874	MITF	hsa-miR-4735-3p	Prostate	Created
1875	MITF	hsa-miR-18a-5p	Prostate	Created
1876	MITF	hsa-miR-18b-5p	Prostate	Created
1877	MITF	hsa-miR-4735-3p	Prostate	Created
1878	MITF	hsa-miR-18a-5p	Prostate	Created
1879	MITF	hsa-miR-18b-5p	Prostate	Created
1880	MITF	hsa-miR-4735-3p	Prostate	Created
1881	MITF	hsa-miR-18a-5p	Prostate	Created
1882	MITF	hsa-miR-18b-5p	Prostate	Created
1883	MITF	hsa-miR-4735-3p	Prostate	Created
1884	MITF	hsa-miR-18a-5p	Prostate	Created
1885	MITF	hsa-miR-18b-5p	Prostate	Created
1886	MITF	hsa-miR-4735-3p	Prostate	Created
1887	MITF	hsa-miR-18a-5p	Prostate	Created
1888	MITF	hsa-miR-18b-5p	Prostate	Created
1889	MITF	hsa-miR-4735-3p	Prostate	Created
1991	MYH11	hsa-miR-4649-3p	Prostate	Disrupted
1992	MYH11	hsa-miR-4649-3p	Prostate	Disrupted
1993	MYH11	hsa-miR-4649-3p	Prostate	Disrupted
1994	MYH11	hsa-miR-4649-3p	Prostate	Disrupted
1995	MYH11	hsa-miR-573	Prostate	Created
1996	MYH11	hsa-miR-573	Prostate	Created
1997	MYH11	hsa-miR-3616-5p	Prostate	Created
1998	MYH11	hsa-miR-3616-5p	Prostate	Created
1999	MYH11	hsa-miR-4795-5p	Prostate	Created
2000	MYH11	hsa-miR-595	Prostate	Created
2001	MYH11	hsa-miR-4795-5p	Prostate	Created
2002	MYH11	hsa-miR-595	Prostate	Created
2003	MYH11	hsa-miR-3616-5p	Prostate	Created
2004	MYH11	hsa-miR-4795-5p	Prostate	Created
2005	MYH11	hsa-miR-573	Prostate	Created
2006	MYH11	hsa-miR-595	Prostate	Created
2007	MYH11	hsa-miR-3616-5p	Prostate	Created
2008	MYH11	hsa-miR-4795-5p	Prostate	Created
2009	MYH11	hsa-miR-573	Prostate	Created
2010	MYH11	hsa-miR-595	Prostate	Created
2153	NRG1	hsa-miR-2392	Small cell lung cancer	Created
2154	NRG1	hsa-miR-2392	Small cell lung cancer	Created
2155	NRG1	hsa-miR-2392	Small cell lung cancer	Created
2156	NRG1	hsa-miR-2392	Small cell lung cancer	Created
2157	NRG1	hsa-miR-1265	Small cell lung cancer	Disrupted
2158	NRG1	hsa-miR-1265	Small cell lung cancer	Disrupted
2159	NRG1	hsa-miR-1265	Small cell lung cancer	Disrupted
2160	NRG1	hsa-miR-1265	Small cell lung cancer	Disrupted
2161	NRG1	hsa-miR-30a-3p	Small cell lung cancer	Disrupted
2162	NRG1	hsa-miR-30d-3p	Small cell lung cancer	Disrupted
2163	NRG1	hsa-miR-30e-3p	Small cell lung cancer	Disrupted
2164	NRG1	hsa-miR-30a-3p	Small cell lung cancer	Disrupted
2165	NRG1	hsa-miR-30d-3p	Small cell lung cancer	Disrupted
2166	NRG1	hsa-miR-30e-3p	Small cell lung cancer	Disrupted
2167	NRG1	hsa-miR-30a-3p	Small cell lung cancer	Disrupted
2168	NRG1	hsa-miR-30d-3p	Small cell lung cancer	Disrupted
2169	NRG1	hsa-miR-30e-3p	Small cell lung cancer	Disrupted
2170	NRG1	hsa-miR-30a-3p	Small cell lung cancer	Disrupted
2171	NRG1	hsa-miR-30d-3p	Small cell lung cancer	Disrupted
2172	NRG1	hsa-miR-30e-3p	Small cell lung cancer	Disrupted
2173	NRG1	hsa-miR-651	Small cell lung cancer	Created
2174	NRG1	hsa-miR-651	Small cell lung cancer	Created
2175	NRG1	hsa-miR-651	Small cell lung cancer	Created
2176	NRG1	hsa-miR-651	Small cell lung cancer	Created
2301	PAX7	hsa-miR-4286	Melanoma	Disrupted
2407	PLCG1	hsa-miR-4722-3p	Prostate	Disrupted
2408	PLCG1	hsa-miR-4722-3p	Prostate	Disrupted
2409	PLCG1	hsa-miR-1224-3p	Prostate	Disrupted
2410	PLCG1	hsa-miR-1224-3p	Prostate	Disrupted
2411	PLCG1	hsa-miR-3943	Prostate	Created
2412	PLCG1	hsa-miR-3943	Prostate	Created
2485	PRDM16	hsa-miR-3692-5p	Melanoma	Disrupted
2486	PRDM16	hsa-miR-3692-5p	Melanoma	Disrupted
2487	PRDM16	hsa-miR-5589-5p	Melanoma	Disrupted
2488	PRDM16	hsa-miR-5589-5p	Melanoma	Disrupted
2489	PRDM16	hsa-miR-612	Melanoma	Disrupted
2490	PRDM16	hsa-miR-612	Melanoma	Disrupted
2491	PRDM16	hsa-miR-3187-5p	Melanoma	Disrupted
2492	PRDM16	hsa-miR-3187-5p	Melanoma	Disrupted
2493	PRDM16	hsa-miR-1285-3p	Melanoma	Disrupted
2494	PRDM16	hsa-miR-1285-3p	Melanoma	Disrupted
2495	PRDM16	hsa-miR-5189	Melanoma	Disrupted
2496	PRDM16	hsa-miR-5189	Melanoma	Disrupted
2497	PRDM16	hsa-miR-4731-5p	Melanoma	Disrupted
2498	PRDM16	hsa-miR-4731-5p	Melanoma	Disrupted
2530	PTPRB	hsa-miR-4733-5p	Melanoma	Disrupted
2531	PTPRB	hsa-miR-4733-5p	Melanoma	Disrupted
2532	PTPRB	hsa-miR-4733-5p	Melanoma	Disrupted
2533	PTPRB	hsa-miR-4733-5p	Melanoma	Disrupted
2534	PTPRB	hsa-miR-5697	Small cell lung cancer	Disrupted
2535	PTPRB	hsa-miR-5697	Small cell lung cancer	Disrupted
2536	PTPRB	hsa-miR-5697	Small cell lung cancer	Disrupted
2537	PTPRB	hsa-miR-5697	Small cell lung cancer	Disrupted
2538	PTPRB	hsa-miR-26a-5p	Small cell lung cancer	Disrupted
2539	PTPRB	hsa-miR-26b-5p	Small cell lung cancer	Disrupted
2540	PTPRB	hsa-miR-26a-5p	Small cell lung cancer	Disrupted
2541	PTPRB	hsa-miR-26b-5p	Small cell lung cancer	Disrupted
2542	PTPRB	hsa-miR-26a-5p	Small cell lung cancer	Disrupted
2543	PTPRB	hsa-miR-26b-5p	Small cell lung cancer	Disrupted
2544	PTPRB	hsa-miR-26a-5p	Small cell lung cancer	Disrupted
2545	PTPRB	hsa-miR-26b-5p	Small cell lung cancer	Disrupted
2546	PTPRB	hsa-miR-1297	Small cell lung cancer	Disrupted
2547	PTPRB	hsa-miR-1297	Small cell lung cancer	Disrupted
2548	PTPRB	hsa-miR-1297	Small cell lung cancer	Disrupted
2549	PTPRB	hsa-miR-1297	Small cell lung cancer	Disrupted
2550	PTPRB	hsa-miR-4465	Small cell lung cancer	Disrupted
2551	PTPRB	hsa-miR-4465	Small cell lung cancer	Disrupted
2552	PTPRB	hsa-miR-4465	Small cell lung cancer	Disrupted
2553	PTPRB	hsa-miR-4465	Small cell lung cancer	Disrupted
2554	PTPRB	hsa-miR-4275	Small cell lung cancer	Created
2555	PTPRB	hsa-miR-4275	Small cell lung cancer	Created
2556	PTPRB	hsa-miR-4275	Small cell lung cancer	Created
2557	PTPRB	hsa-miR-4275	Small cell lung cancer	Created
3179	TCF12	hsa-miR-1909-3p	Lung	Created
