Genesymbol	miRNA
AKT1	hsa-miR-548ac
AKT1	hsa-miR-548h-3p
AKT1	hsa-miR-548z
AKT1	hsa-miR-548d-3p
AKT1	hsa-miR-548aa
AKT1	hsa-miR-548ap-3p
AKT1	hsa-miR-548t-3p
AKT1	hsa-miR-4422
ARHGAP26	hsa-miR-193b-5p
ARHGAP26	hsa-miR-5096
ARHGAP26	hsa-miR-4787-5p
BCAS3	hsa-miR-338-3p
BCAS3	hsa-miR-4530
BCAS3	hsa-miR-5193
BCAS3	hsa-miR-4691-5p
BCAS3	hsa-miR-361-3p
BCAS3	hsa-miR-766-3p
BCR	hsa-miR-558
BCR	hsa-miR-3150a-3p
BCR	hsa-miR-939
BCR	hsa-miR-3175
BCR	hsa-miR-612
BCR	hsa-miR-1285-3p
BCR	hsa-miR-3187-5p
BCR	hsa-miR-5189
BCR	hsa-miR-920
BCR	hsa-miR-4300
BCR	hsa-miR-5591-5p
BCR	hsa-miR-4667-5p
BCR	hsa-miR-4700-5p
FLI1	hsa-miR-20a-3p
FLI1	hsa-miR-4520a-5p
FLI1	hsa-miR-4520b-5p
MYH11	hsa-miR-4649-3p
MYH11	hsa-miR-573
MYH11	hsa-miR-3616-5p
MYH11	hsa-miR-4795-5p
MYH11	hsa-miR-595
PAX7	hsa-miR-4286
RAB8A	hsa-miR-4701-3p
RAB8A	hsa-miR-1262
ZNF320	hsa-miR-137
ZNF320	hsa-miR-656
ZNF320	hsa-miR-5692b
ZNF320	hsa-miR-5692c
ZNF320	hsa-miR-126-5p
ZNF320	hsa-miR-4795-3p
ZNF320	hsa-let-7f-2-3p
ZNF320	hsa-miR-1185-1-3p
ZNF320	hsa-miR-1185-2-3p
AFF4	hsa-miR-4257
AFF4	hsa-miR-548an
AFF4	hsa-miR-361-5p
AFF4	hsa-miR-2115-3p
AXL	hsa-miR-9-5p
AXL	hsa-miR-3065-3p
BCL11A	hsa-miR-5680
BCL11A	hsa-miR-548c-3p
CRKL	hsa-miR-644b-5p
CRKL	hsa-miR-4656
CRKL	hsa-miR-548av-5p
CRKL	hsa-miR-548k
CRKL	hsa-miR-548l
CRKL	hsa-miR-548ab
CRKL	hsa-miR-548i
CRKL	hsa-miR-548aq-5p
CRKL	hsa-miR-548a-5p
CRKL	hsa-miR-548as-5p
CRKL	hsa-miR-548y
CRKL	hsa-miR-548ak
CRKL	hsa-miR-548ar-5p
CRKL	hsa-miR-548am-5p
CRKL	hsa-miR-548au-5p
CRKL	hsa-miR-548b-5p
CRKL	hsa-miR-548c-5p
CRKL	hsa-miR-548d-5p
CRKL	hsa-miR-548h-5p
CRKL	hsa-miR-548o-5p
CRKL	hsa-miR-548w
CRKL	hsa-miR-559
CRKL	hsa-miR-548ap-5p
CRKL	hsa-miR-548j
CRKL	hsa-miR-5585-5p
CRKL	hsa-miR-548ao-5p
CRKL	hsa-miR-548ax
CRKL	hsa-miR-4519
CRKL	hsa-miR-558
CRKL	hsa-miR-512-3p
EGFR	hsa-miR-4668-3p
EGFR	hsa-miR-4722-3p
ERBB4	hsa-let-7a-2-3p
ERBB4	hsa-let-7g-3p
ERBB4	hsa-miR-557
ERBB4	hsa-miR-507
ERBB4	hsa-miR-493-5p
ERBB4	hsa-miR-4719
ERBB4	hsa-miR-432-3p
ERBB4	hsa-miR-1193
ERBB4	hsa-miR-92a-1-5p
ERBB4	hsa-miR-3134
ERBB4	hsa-miR-1246
ERBB4	hsa-miR-5004-3p
FGFR2	hsa-miR-4302
FGFR2	hsa-miR-3664-5p
HMGA2	hsa-miR-4436a
HMGA2	hsa-miR-5000-3p
JUNB	hsa-miR-3960
JUNB	hsa-miR-25-5p
JUNB	hsa-miR-1908
JUNB	hsa-miR-663a
JUNB	hsa-miR-658
JUNB	hsa-miR-3184-5p
JUNB	hsa-miR-423-5p
JUNB	hsa-miR-744-5p
JUNB	hsa-miR-4467
KAT6A	hsa-miR-1305
KAT6A	hsa-miR-208a
KAT6A	hsa-miR-208b
MLLT6	hsa-miR-603
MLLT6	hsa-miR-329
MLLT6	hsa-miR-362-3p
MLLT6	hsa-miR-3941
MLLT6	hsa-miR-4789-3p
PICALM	hsa-miR-4760-3p
PICALM	hsa-miR-664-3p
RNF213	hsa-miR-607
RNF213	hsa-miR-3613-3p
SMAP2	hsa-miR-3175
SMAP2	hsa-miR-3150a-3p
SMAP2	hsa-miR-939
SMAP2	hsa-miR-4700-5p
SMAP2	hsa-miR-4667-5p
SMAP2	hsa-miR-3605-5p
SMAP2	hsa-miR-5189
SMAP2	hsa-miR-3187-5p
SMAP2	hsa-miR-1285-3p
SMAP2	hsa-miR-612
SPECC1	hsa-miR-4665-5p
SPECC1	hsa-miR-1275
SPECC1	hsa-miR-5572
SPECC1	hsa-miR-4260
SPECC1	hsa-miR-450a-3p
SPECC1	hsa-miR-129-5p
SUZ12	hsa-miR-16-1-3p
SUZ12	hsa-miR-4302
TCTA	hsa-miR-5695
TCTA	hsa-miR-4777-3p
TCTA	hsa-miR-4640-3p
ZFYVE19	hsa-miR-1911-3p
ZFYVE19	hsa-miR-624-5p
ZFYVE19	hsa-miR-5006-5p
ZFYVE19	hsa-miR-4755-3p
ZFYVE19	hsa-miR-519a-3p
ZFYVE19	hsa-miR-519b-3p
ZFYVE19	hsa-miR-519c-3p
ZFYVE19	hsa-miR-373-3p
ZFYVE19	hsa-miR-520a-3p
ZFYVE19	hsa-miR-520b
ZFYVE19	hsa-miR-520c-3p
ZFYVE19	hsa-miR-520d-3p
ZFYVE19	hsa-miR-520e
ZFYVE19	hsa-miR-302a-3p
ZFYVE19	hsa-miR-302c-3p
ZFYVE19	hsa-miR-302d-3p
ZFYVE19	hsa-miR-302e
ZFYVE19	hsa-miR-372
ZFYVE19	hsa-miR-302b-3p
ABL2	hsa-miR-31-5p
ABL2	hsa-miR-3128
AKT2	hsa-miR-4436b-3p
AKT2	hsa-miR-4509
FGFR1	hsa-miR-330-3p
FGFR1	hsa-miR-4708-3p
FGFR1	hsa-miR-4470
MAL	hsa-miR-4257
MAL	hsa-miR-3942-3p
MAL	hsa-miR-513a-5p
MAL	hsa-miR-27a-3p
MAL	hsa-miR-27b-3p
PAX3	hsa-miR-4317
PAX3	hsa-miR-1225-5p
PAX3	hsa-miR-5681b
PAX3	hsa-miR-3945
PAX3	hsa-miR-4253
PAX3	hsa-miR-1256
PAX7	hsa-miR-224-5p
RASA1	hsa-miR-29b-2-5p
SPI1	hsa-miR-1207-3p
SRC	hsa-miR-449a
SRC	hsa-miR-449b-5p
SRC	hsa-miR-34c-5p
SRC	hsa-miR-34a-5p
SRC	hsa-miR-16-5p
SRC	hsa-miR-195-5p
SRC	hsa-miR-497-5p
SRC	hsa-miR-4519
SRC	hsa-miR-15a-5p
SRC	hsa-miR-15b-5p
SRC	hsa-miR-424-5p
TPR	hsa-miR-515-3p
TPR	hsa-miR-519e-3p
TPR	hsa-miR-33b-3p
TPR	hsa-miR-4317
ENTPD5	hsa-miR-550b-2-5p
ERBB3	hsa-miR-139-3p
REL	hsa-miR-5589-5p
ABL2	hsa-miR-5006-5p
AURKA	hsa-miR-21-3p
PAX3	hsa-miR-1224-5p
BCAS3	hsa-miR-4485
STIL	hsa-miR-30c-1-3p
PML	hsa-miR-4792
USP4	hsa-miR-659-3p
MECOM	hsa-miR-4708-3p
ARAF	hsa-miR-4704-3p
TOP1	hsa-miR-183-5p
KAT6A	hsa-miR-4687-3p
USP4	hsa-miR-532-5p
VHL	hsa-miR-3660
ARAF	hsa-miR-5582-5p
GNAS	hsa-miR-4714-3p
RUNX1T1	hsa-miR-5689
EPS15	hsa-miR-4642
GAS7	hsa-miR-202-3p
PCM1	hsa-miR-302a-3p
PCM1	hsa-miR-302d-3p
STIL	hsa-miR-149-3p
VHL	hsa-miR-4526
MET	hsa-miR-4530
MAFB	hsa-miR-4678
PCM1	hsa-miR-302e
RNF213	hsa-miR-4684-5p
STIL	hsa-miR-4728-5p
PBX1	hsa-miR-3166
BCAS4	hsa-miR-4659b-3p
GNAS	hsa-miR-4793-5p
BTG1	hsa-miR-4449
MAF	hsa-miR-3613-3p
ERBB3	hsa-miR-3922-5p
ERBB3	hsa-miR-4717-5p
BTG1	hsa-miR-548n
ELL	hsa-miR-4745-3p
ARAF	hsa-miR-4719
AKT2	hsa-miR-93-5p
BTG1	hsa-miR-34b-3p
ERBB4	hsa-miR-1277-5p
PSMD10	hsa-miR-181c-5p
TTC23	hsa-miR-141-3p
WISP1	hsa-miR-3678-3p
ZNF320	hsa-miR-4530
AFF4	hsa-miR-1914-5p
AKT2	hsa-miR-520h
USP4	hsa-miR-4530
AKT2	hsa-miR-520g
GNAS	hsa-miR-330-3p
USP28	hsa-miR-4684-5p
PAX3	hsa-miR-876-5p
GNAS	hsa-miR-4722-3p
ARHGAP26	hsa-miR-1285-3p
HOXA9	hsa-miR-556-5p
STIL	hsa-miR-30c-2-3p
KAT6A	hsa-miR-4666b
ERBB4	hsa-miR-3145-3p
ARHGAP26	hsa-miR-5095
CRK	hsa-miR-4485
ZNF320	hsa-miR-4733-5p
PCM1	hsa-miR-520a-3p
USP4	hsa-miR-4733-5p
BCAS3	hsa-miR-548o-3p
AKT2	hsa-miR-20a-5p
TTC23	hsa-miR-200a-3p
PCM1	hsa-miR-520g
STIL	hsa-miR-3122
PCM1	hsa-miR-302b-3p
BCAS4	hsa-miR-4659a-3p
GNAS	hsa-miR-3660
CRKL	hsa-miR-4677-5p
PCM1	hsa-miR-373-3p
SPECC1	hsa-miR-766-3p
SPECC1	hsa-miR-4265
