	Genesymbol	miRNA	Cancertype	Targetsiteclass
63	ADPRH	hsa-miR-3148	Melanoma	Disrupted
68	AIM2	hsa-miR-219-2-3p	Prostate	Disrupted
69	AIM2	hsa-miR-2964a-3p	Prostate	Disrupted
70	AIM2	hsa-miR-4452	Prostate	Disrupted
71	AIM2	hsa-miR-183-3p	Prostate	Disrupted
275	BCR	hsa-miR-558	Melanoma	Created
276	BCR	hsa-miR-558	Melanoma	Created
277	BCR	hsa-miR-3150a-3p	Melanoma	Created
278	BCR	hsa-miR-3150a-3p	Melanoma	Created
279	BCR	hsa-miR-939	Melanoma	Created
280	BCR	hsa-miR-939	Melanoma	Created
281	BCR	hsa-miR-3175	Melanoma	Created
282	BCR	hsa-miR-3175	Melanoma	Created
283	BCR	hsa-miR-612	Melanoma	Disrupted
284	BCR	hsa-miR-612	Melanoma	Disrupted
285	BCR	hsa-miR-1285-3p	Melanoma	Disrupted
286	BCR	hsa-miR-3187-5p	Melanoma	Disrupted
287	BCR	hsa-miR-5189	Melanoma	Disrupted
288	BCR	hsa-miR-1285-3p	Melanoma	Disrupted
289	BCR	hsa-miR-3187-5p	Melanoma	Disrupted
290	BCR	hsa-miR-5189	Melanoma	Disrupted
291	BCR	hsa-miR-920	Melanoma	Created
292	BCR	hsa-miR-920	Melanoma	Created
293	BCR	hsa-miR-4300	Melanoma	Created
294	BCR	hsa-miR-4300	Melanoma	Created
295	BCR	hsa-miR-5591-5p	Melanoma	Created
296	BCR	hsa-miR-5591-5p	Melanoma	Created
297	BCR	hsa-miR-4667-5p	Melanoma	Created
298	BCR	hsa-miR-4700-5p	Melanoma	Created
299	BCR	hsa-miR-4667-5p	Melanoma	Created
300	BCR	hsa-miR-4700-5p	Melanoma	Created
352	BHLHE41	hsa-miR-4747-5p	Small cell lung cancer	Created
353	BHLHE41	hsa-miR-5196-5p	Small cell lung cancer	Created
354	BHLHE41	hsa-miR-4476	Small cell lung cancer	Disrupted
355	BHLHE41	hsa-miR-1273f	Small cell lung cancer	Created
584	CAV1	hsa-miR-149-5p	Small cell lung cancer	Created
585	CAV1	hsa-miR-3064-5p	Small cell lung cancer	Created
586	CAV1	hsa-miR-4794	Small cell lung cancer	Created
587	CAV1	hsa-miR-149-5p	Small cell lung cancer	Created
588	CAV1	hsa-miR-3064-5p	Small cell lung cancer	Created
589	CAV1	hsa-miR-4794	Small cell lung cancer	Created
590	CAV1	hsa-miR-149-5p	Small cell lung cancer	Created
591	CAV1	hsa-miR-3064-5p	Small cell lung cancer	Created
592	CAV1	hsa-miR-4794	Small cell lung cancer	Created
593	CAV1	hsa-miR-149-5p	Small cell lung cancer	Created
594	CAV1	hsa-miR-3064-5p	Small cell lung cancer	Created
595	CAV1	hsa-miR-4794	Small cell lung cancer	Created
596	CAV1	hsa-miR-5580-5p	Small cell lung cancer	Disrupted
597	CAV1	hsa-miR-5580-5p	Small cell lung cancer	Disrupted
598	CAV1	hsa-miR-5580-5p	Small cell lung cancer	Disrupted
599	CAV1	hsa-miR-5580-5p	Small cell lung cancer	Disrupted
600	CAV1	hsa-miR-320e	Small cell lung cancer	Disrupted
601	CAV1	hsa-miR-320e	Small cell lung cancer	Disrupted
602	CAV1	hsa-miR-320e	Small cell lung cancer	Disrupted
603	CAV1	hsa-miR-320e	Small cell lung cancer	Disrupted
604	CAV1	hsa-miR-320d	Small cell lung cancer	Disrupted
605	CAV1	hsa-miR-320d	Small cell lung cancer	Disrupted
606	CAV1	hsa-miR-320d	Small cell lung cancer	Disrupted
607	CAV1	hsa-miR-320d	Small cell lung cancer	Disrupted
608	CAV1	hsa-miR-320a	Small cell lung cancer	Disrupted
609	CAV1	hsa-miR-320b	Small cell lung cancer	Disrupted
610	CAV1	hsa-miR-320c	Small cell lung cancer	Disrupted
611	CAV1	hsa-miR-4429	Small cell lung cancer	Disrupted
612	CAV1	hsa-miR-320a	Small cell lung cancer	Disrupted
613	CAV1	hsa-miR-320b	Small cell lung cancer	Disrupted
614	CAV1	hsa-miR-320c	Small cell lung cancer	Disrupted
615	CAV1	hsa-miR-4429	Small cell lung cancer	Disrupted
616	CAV1	hsa-miR-320a	Small cell lung cancer	Disrupted
617	CAV1	hsa-miR-320b	Small cell lung cancer	Disrupted
618	CAV1	hsa-miR-320c	Small cell lung cancer	Disrupted
619	CAV1	hsa-miR-4429	Small cell lung cancer	Disrupted
620	CAV1	hsa-miR-320a	Small cell lung cancer	Disrupted
621	CAV1	hsa-miR-320b	Small cell lung cancer	Disrupted
622	CAV1	hsa-miR-320c	Small cell lung cancer	Disrupted
623	CAV1	hsa-miR-4429	Small cell lung cancer	Disrupted
624	CAV1	hsa-miR-3126-3p	Small cell lung cancer	Created
625	CAV1	hsa-miR-3126-3p	Small cell lung cancer	Created
626	CAV1	hsa-miR-3126-3p	Small cell lung cancer	Created
627	CAV1	hsa-miR-3126-3p	Small cell lung cancer	Created
864	DIRAS1	hsa-miR-494	Lung	Created
869	DMTF1	hsa-miR-4432	Lung	Disrupted
870	DMTF1	hsa-miR-4432	Lung	Disrupted
871	DMTF1	hsa-miR-4432	Lung	Disrupted
872	DMTF1	hsa-miR-452-3p	Lung	Disrupted
