"Acute.myeloid.leukemia"	"BladderUrothelialCarcinoma.TCGA.US."	"Breast.Cancer"	"BreastCarcinoma.WTSI.UK."	"BreastInvasiveCarcinoma.TCGA.US."	"CervicalSquamousCellCarcinoma.TCGA.US."	"Chronic.lymphocytic.leukaemia"	"ColonAdenocarcinoma.TCGA.US."	"Colorectal.adenocarcinoma"	"GastricCancer.CCGC.CN."	"Hepatocellular.carcinoma"	"Hypodiploid_ALL"	"Leukemia.T.ALL"	"LiverCancer.NCC.JP."	"LiverCancer.RIKEN.JP."	"Lung"	"MalignantMelanoma.WTSI.UK."	"Medulloblastoma"	"Melanoma"	"Myeloid.leukemia"	"Myeloma"	"Pancreatic"	"PediatricBrainTumors.DKFZ.DE."	"Prostate"	"ProstateCancer.OICR.CA."	"RectumAdenocarcinoma.TCGA.US."	"Small.cell.lung.cancer"	"T.cell.ALL"	"UterineCorpusEndometrioidCarcinoma.TCGA.US."
"hsa-miR-3613-3p"	2	3	11	0	0	0	0	19	68	5	4	7	0	356	126	29	2	9	8	2	0	1	0	17	76	2	0	2	26
"hsa-miR-548aj-3p"	1	1	13	3	0	0	2	16	51	3	2	4	0	206	127	17	2	8	5	1	0	1	0	9	84	1	0	1	19
"hsa-miR-548x-3p"	1	1	13	3	0	0	2	16	51	3	2	4	0	206	127	17	2	8	5	1	0	1	0	9	84	1	0	1	19
"hsa-miR-4505"	0	1	10	3	0	0	0	7	11	2	0	1	2	68	39	3	0	2	8	0	1	1	1	8	384	1	1	0	16
"hsa-miR-5589-5p"	0	0	7	4	0	0	0	6	13	2	0	1	3	72	44	5	0	3	9	0	1	1	1	10	355	1	1	0	17
"hsa-miR-548c-3p"	1	1	9	1	0	0	1	16	51	3	3	5	0	158	128	15	1	10	6	2	0	0	0	13	98	4	1	2	22
"hsa-miR-30b-3p"	1	0	9	2	0	1	0	7	6	0	2	2	0	76	40	7	0	4	8	1	0	1	0	2	361	0	0	0	13
"hsa-miR-3689a-3p"	1	0	9	2	0	1	0	7	6	0	2	2	0	76	40	7	0	4	8	1	0	1	0	2	361	0	0	0	13
"hsa-miR-3689b-3p"	1	0	9	2	0	1	0	7	6	0	2	2	0	76	40	7	0	4	8	1	0	1	0	2	361	0	0	0	13
"hsa-miR-3689c"	1	0	9	2	0	1	0	7	6	0	2	2	0	76	40	7	0	4	8	1	0	1	0	2	361	0	0	0	13
"hsa-miR-204-3p"	1	0	10	1	0	0	0	4	11	2	1	5	1	92	38	6	0	6	10	1	1	1	1	6	301	1	1	1	11
"hsa-miR-3192"	1	1	6	2	0	1	0	5	7	0	2	2	1	63	42	3	0	3	6	1	0	0	0	2	344	0	0	0	19
"hsa-miR-548ae"	1	2	10	2	0	0	1	13	40	4	5	4	0	169	113	20	1	7	5	1	0	0	0	12	76	2	0	1	14
"hsa-miR-548ah-3p"	1	2	10	2	0	0	1	13	40	4	5	4	0	169	113	20	1	7	5	1	0	0	0	12	76	2	0	1	14
"hsa-miR-548am-3p"	1	2	10	2	0	0	1	13	40	4	5	4	0	169	113	20	1	7	5	1	0	0	0	12	76	2	0	1	14
"hsa-miR-548aq-3p"	1	2	10	2	0	0	1	13	40	4	5	4	0	169	113	20	1	7	5	1	0	0	0	12	76	2	0	1	14
"hsa-miR-30c-1-3p"	1	0	7	1	0	1	0	6	8	1	3	3	0	64	32	3	0	4	8	1	0	0	0	4	339	0	1	0	15
"hsa-miR-30c-2-3p"	1	0	7	1	0	1	0	6	8	1	3	3	0	64	32	3	0	4	8	1	0	0	0	4	339	0	1	0	15
"hsa-miR-612"	1	2	6	1	0	0	0	8	14	1	1	2	1	85	31	6	0	6	8	0	1	1	0	8	282	1	0	0	21
"hsa-miR-548ac"	1	2	6	0	0	0	2	12	39	4	3	5	0	164	107	17	1	6	7	1	0	0	0	12	82	2	0	1	12
"hsa-miR-548d-3p"	1	2	6	0	0	0	2	12	39	4	3	5	0	164	107	17	1	6	7	1	0	0	0	12	82	2	0	1	12
"hsa-miR-548h-3p"	1	2	6	0	0	0	2	12	39	4	3	5	0	164	107	17	1	6	7	1	0	0	0	12	82	2	0	1	12
"hsa-miR-548z"	1	2	6	0	0	0	2	12	39	4	3	5	0	164	107	17	1	6	7	1	0	0	0	12	82	2	0	1	12
"hsa-miR-4731-5p"	1	1	7	1	0	0	0	6	11	2	1	4	3	67	35	8	0	3	8	1	1	1	0	8	277	1	2	0	22
"hsa-miR-4486"	1	2	5	1	0	0	0	6	13	1	1	1	1	77	24	4	0	4	7	0	1	1	0	7	278	1	0	0	21
"hsa-miR-4646-5p"	2	0	7	2	0	0	0	3	5	2	1	4	2	90	33	5	0	5	7	1	0	0	1	1	269	0	1	1	13
"hsa-miR-4314"	2	3	8	3	0	0	0	6	4	0	1	1	1	77	45	4	0	2	6	1	0	0	0	2	261	0	1	0	22
"hsa-miR-4530"	0	3	7	2	0	0	0	4	11	4	2	3	0	88	36	5	0	2	2	1	0	0	2	2	248	0	2	0	16
"hsa-miR-450b-3p"	0	1	2	0	0	1	0	3	9	3	0	2	0	36	23	4	0	3	2	1	0	0	1	1	333	0	1	3	9
"hsa-miR-1287"	0	1	4	1	0	0	0	5	5	1	0	4	0	52	17	7	0	3	6	0	0	1	0	4	297	1	2	0	24
"hsa-miR-4733-5p"	0	1	4	1	1	0	0	3	3	3	0	4	0	30	32	2	1	1	4	0	0	0	0	2	314	0	0	0	9
"hsa-miR-4298"	1	0	8	3	0	0	0	6	6	1	1	3	0	69	29	3	0	3	5	1	1	1	1	1	253	0	0	0	15
"hsa-miR-338-3p"	0	1	4	0	0	1	0	2	10	2	0	2	1	51	31	6	0	3	3	0	0	1	1	2	268	1	2	0	18
"hsa-miR-4282"	0	0	10	3	0	0	2	18	47	6	1	6	1	98	110	3	1	8	8	3	0	0	1	5	23	5	1	2	34
"hsa-miR-769-3p"	1	1	4	1	0	0	0	3	8	2	1	1	0	49	26	0	0	2	4	2	0	0	1	2	271	0	1	2	12
"hsa-miR-17-5p"	1	3	4	2	0	0	2	9	7	3	0	3	1	50	46	1	2	2	4	0	0	0	1	0	223	1	2	0	23
"hsa-miR-20b-5p"	1	3	4	2	0	0	2	9	7	3	0	3	1	50	46	1	2	2	4	0	0	0	1	0	223	1	2	0	23
"hsa-miR-519a-3p"	1	2	2	1	0	0	2	8	6	3	0	1	1	48	33	1	1	3	1	0	0	0	1	0	255	1	2	0	17
"hsa-miR-519b-3p"	1	2	2	1	0	0	2	8	6	3	0	1	1	48	33	1	1	3	1	0	0	0	1	0	255	1	2	0	17
"hsa-miR-519c-3p"	1	2	2	1	0	0	2	8	6	3	0	1	1	48	33	1	1	3	1	0	0	0	1	0	255	1	2	0	17
"hsa-miR-519d"	1	3	4	2	0	0	2	9	7	3	0	3	1	50	46	1	2	2	4	0	0	0	1	0	223	1	2	0	23
