	Acute myeloid leukemia	"BladderUrothelialCarcinoma(TCGA,US)"	Breast Cancer	"BreastCarcinoma(WTSI,UK)"	"BreastInvasiveCarcinoma(TCGA,US)"	"CervicalSquamousCellCarcinoma(TCGA,US)"	Chronic lymphocytic leukaemia	"ColonAdenocarcinoma(TCGA,US)"	Colorectal adenocarcinoma	"GastricCancer(CCGC,CN)"	Hepatocellular carcinoma	Hypodiploid_ALL	Leukemia/T-ALL	"LiverCancer(NCC,JP)"	"LiverCancer(RIKEN,JP)"	Lung	"MalignantMelanoma(WTSI,UK)"	Medulloblastoma	Melanoma	Myeloid leukemia	Myeloma	Pancreatic	"PediatricBrainTumors(DKFZ,DE)"	Prostate	"ProstateCancer(OICR,CA)"	"RectumAdenocarcinoma(TCGA,US)"	Small cell lung cancer	T-cell ALL	"UterineCorpusEndometrioidCarcinoma(TCGA,US)"
hsa-miR-3613-3p	0.003430532	0.001036986	0.001439225	0	0	0	0	0.002353233	0.005588429	0.001403312	0.003868472	0.002381763	0	0.004286523	0.001956886	0.004878869	0.00619195	0.001987194	0.001893939	0.00297619	0	0.001831502	0	0.005427842	0.000958313	0.001892148	0	0.003656307	0.001006114
hsa-miR-335-3p	0.003430532	0.000691324	0.000915871	0	0	0	0.002020202	0.001610107	0.002136752	0.000561325	0.00483559	0.001020755	0.000816993	0.001035508	0.001180344	0.001682369	0.00619195	0.001103996	0.002604167	0.001488095	0.001763668	0	0.003500583	0.000957854	0.000353063	0.006622517	0.002108222	0.001828154	0.000890024
hsa-miR-129-5p	0	0.001036986	0.001046709	0.000402901	0.003496503	0	0.002020202	0.000495417	0.002054569	0.000561325	0.003868472	0.001361007	0.00245098	0.001083671	0.00110269	0.001850606	0.003095975	0.001545595	0.001183712	0	0.001763668	0.005494505	0	0.002234994	0.000882657	0.006622517	0.002108222	0	0.000967417
hsa-miR-548c-3p	0.001715266	0.000345662	0.001177548	0.000402901	0	0	0.002020202	0.00198167	0.004191321	0.000841987	0.002901354	0.001701259	0	0.001902445	0.001987948	0.002523553	0.003095975	0.002207993	0.001420455	0.00297619	0	0	0	0.004150702	0.00123572	0.003784295	0.000702741	0.003656307	0.000851327
hsa-miR-548aj-3p	0.001715266	0.000345662	0.001700903	0.001208703	0	0	0.004040404	0.00198167	0.004191321	0.000841987	0.001934236	0.001361007	0	0.002480404	0.001972417	0.002860027	0.00619195	0.001766394	0.001183712	0.001488095	0	0.001831502	0	0.002873563	0.001059188	0.000946074	0	0.001828154	0.000735237
hsa-miR-548x-3p	0.001715266	0.000345662	0.001700903	0.001208703	0	0	0.004040404	0.00198167	0.004191321	0.000841987	0.001934236	0.001361007	0	0.002480404	0.001972417	0.002860027	0.00619195	0.001766394	0.001183712	0.001488095	0	0.001831502	0	0.002873563	0.001059188	0.000946074	0	0.001828154	0.000735237
hsa-miR-4282	0	0	0.001308387	0.001208703	0	0	0.004040404	0.002229378	0.00386259	0.001683974	0.000967118	0.002041511	0.000816993	0.001179998	0.001708393	0.000504711	0.003095975	0.001766394	0.001893939	0.004464286	0	0	0.001166861	0.001596424	0.000290016	0.004730369	0.000702741	0.003656307	0.001315688
hsa-miR-548ae	0.001715266	0.000691324	0.001308387	0.000805802	0	0	0.002020202	0.001610107	0.003287311	0.001122649	0.00483559	0.001361007	0	0.002034894	0.001754985	0.003364738	0.003095975	0.001545595	0.001183712	0.001488095	0	0	0	0.003831418	0.000958313	0.001892148	0	0.001828154	0.000541754
hsa-miR-548ah-3p	0.001715266	0.000691324	0.001308387	0.000805802	0	0	0.002020202	0.001610107	0.003287311	0.001122649	0.00483559	0.001361007	0	0.002034894	0.001754985	0.003364738	0.003095975	0.001545595	0.001183712	0.001488095	0	0	0	0.003831418	0.000958313	0.001892148	0	0.001828154	0.000541754
hsa-miR-548am-3p	0.001715266	0.000691324	0.001308387	0.000805802	0	0	0.002020202	0.001610107	0.003287311	0.001122649	0.00483559	0.001361007	0	0.002034894	0.001754985	0.003364738	0.003095975	0.001545595	0.001183712	0.001488095	0	0	0	0.003831418	0.000958313	0.001892148	0	0.001828154	0.000541754
hsa-miR-548aq-3p	0.001715266	0.000691324	0.001308387	0.000805802	0	0	0.002020202	0.001610107	0.003287311	0.001122649	0.00483559	0.001361007	0	0.002034894	0.001754985	0.003364738	0.003095975	0.001545595	0.001183712	0.001488095	0	0	0	0.003831418	0.000958313	0.001892148	0	0.001828154	0.000541754
hsa-miR-548ac	0.001715266	0.000691324	0.000785032	0	0	0	0.004040404	0.001486252	0.003205128	0.001122649	0.002901354	0.001701259	0	0.00197469	0.0016618	0.002860027	0.003095975	0.001324796	0.001657197	0.001488095	0	0	0	0.003831418	0.00103397	0.001892148	0	0.001828154	0.00046436
hsa-miR-548d-3p	0.001715266	0.000691324	0.000785032	0	0	0	0.004040404	0.001486252	0.003205128	0.001122649	0.002901354	0.001701259	0	0.00197469	0.0016618	0.002860027	0.003095975	0.001324796	0.001657197	0.001488095	0	0	0	0.003831418	0.00103397	0.001892148	0	0.001828154	0.00046436
hsa-miR-548h-3p	0.001715266	0.000691324	0.000785032	0	0	0	0.004040404	0.001486252	0.003205128	0.001122649	0.002901354	0.001701259	0	0.00197469	0.0016618	0.002860027	0.003095975	0.001324796	0.001657197	0.001488095	0	0	0	0.003831418	0.00103397	0.001892148	0	0.001828154	0.00046436
hsa-miR-548z	0.001715266	0.000691324	0.000785032	0	0	0	0.004040404	0.001486252	0.003205128	0.001122649	0.002901354	0.001701259	0	0.00197469	0.0016618	0.002860027	0.003095975	0.001324796	0.001657197	0.001488095	0	0	0	0.003831418	0.00103397	0.001892148	0	0.001828154	0.00046436
hsa-miR-513a-3p	0	0.000345662	0.000654193	0.000402901	0	0	0.002020202	0.001733961	0.002712032	0.000561325	0.002901354	0.001020755	0	0.000854896	0.001304591	0.000672948	0.00619195	0.001324796	0.00094697	0.00297619	0	0	0.001166861	0.001596424	0.000151313	0.005676443	0.001405481	0.001828154	0.001354384
hsa-miR-513c-3p	0	0.000345662	0.000654193	0.000402901	0	0	0.002020202	0.001733961	0.002712032	0.000561325	0.002901354	0.001020755	0	0.000854896	0.001304591	0.000672948	0.00619195	0.001324796	0.00094697	0.00297619	0	0	0.001166861	0.001596424	0.000151313	0.005676443	0.001405481	0.001828154	0.001354384
hsa-miR-1305	0.006861063	0.001382648	0.001046709	0.000402901	0.003496503	0	0	0.00198167	0.001068376	0.000280662	0.000967118	0.000340252	0.001633987	0.000734488	0.001009505	0.000672948	0.003095975	0.000883197	0.00094697	0.00297619	0.001763668	0	0.002333722	0.000957854	0.000290016	0.001892148	0.001405481	0	0.000657844
hsa-miR-590-3p	0.003430532	0	0.000654193	0	0.003496503	0	0.002020202	0.002477087	0.002794214	0.000841987	0.002901354	0.000680504	0.000816993	0.001011427	0.001723924	0.000672948	0	0.002428792	0.000710227	0.004464286	0	0	0	0.001277139	0.000327844	0.002838221	0	0	0.001315688
hsa-miR-3154	0	0.001036986	0.001046709	0.000805802	0.006993007	0.002857143	0	0.000495417	0.000328731	0.000561325	0.003868472	0.000340252	0.000816993	0.000794692	0.000761011	0.000336474	0.00619195	0.000220799	0.001893939	0	0.001763668	0.001831502	0	0.000319285	0.000252188	0.000946074	0.000702741	0	0.000696541
hsa-miR-186-5p	0.001715266	0.000345662	0.001046709	0.001208703	0	0	0.004040404	0.001362398	0.001232742	0.000841987	0.000967118	0.001020755	0.000816993	0.000999386	0.001071628	0.001345895	0.003095975	0.001103996	0.001893939	0.00297619	0.001763668	0.001831502	0.001166861	0.001915709	0.000340453	0	0	0	0.001315688
hsa-miR-513a-5p	0	0.00172831	0.001831741	0.000805802	0.003496503	0.002857143	0	0.001114689	0.000739645	0.001122649	0	0.000680504	0.001633987	0.000686325	0.000621234	0	0	0.000883197	0.000236742	0	0.003527337	0.001831502	0.003500583	0.001277139	0.000378282	0.001892148	0.002108222	0.001828154	0.00046436
hsa-miR-4665-5p	0.001715266	0	0.001046709	0.000402901	0	0	0	0.000743126	0.001068376	0.000561325	0.001934236	0.001361007	0.00245098	0.001047549	0.000496987	0.002018843	0.00619195	0.000662398	0.002130682	0.001488095	0.003527337	0.001831502	0.001166861	0.002554278	0.000353063	0	0	0	0.00046436
hsa-miR-583	0.003430532	0.00172831	0.000523355	0.000402901	0.003496503	0	0.004040404	0.00086698	0.000246548	0.000280662	0.001934236	0.001701259	0.000816993	0.000589999	0.000792073	0.000504711	0.003095975	0.001103996	0.002130682	0.00297619	0.001763668	0	0	0.000957854	0.00021436	0	0	0	0.000928721
hsa-miR-4775	0.001715266	0.000345662	0.000654193	0	0.003496503	0	0.002020202	0.002105524	0.002218935	0.000841987	0.001934236	0.001020755	0	0.000842856	0.001490961	0.000672948	0	0.001766394	0.00094697	0.004464286	0	0	0	0.001596424	0.000315235	0.004730369	0	0	0.001160901
hsa-miR-4731-3p	0.003430532	0.001036986	0.001046709	0.000805802	0.003496503	0	0.002020202	0.000619272	0.000986193	0.001122649	0.000967118	0.001020755	0	0.000975304	0.001025036	0.001345895	0	0.001103996	0.000236742	0	0.001763668	0.001831502	0.002333722	0.001277139	0.001097017	0.001892148	0.002108222	0	0.000657844
hsa-miR-944	0	0.000345662	0.000130839	0.001208703	0	0	0.002020202	0.001733961	0.001890204	0.001122649	0.003868472	0.000680504	0	0.000806733	0.001211406	0.000504711	0.003095975	0.001766394	0.000710227	0.005952381	0	0	0	0.00063857	0.00021436	0.001892148	0.000702741	0.001828154	0.001315688
hsa-miR-298	0	0.002073972	0.001177548	0.001208703	0.003496503	0	0	0.000247709	0.000657462	0.000561325	0.001934236	0.000680504	0.001633987	0.000854896	0.000683357	0.000672948	0.003095975	0.000883197	0.000473485	0.00297619	0.005291005	0	0	0.00063857	0.000353063	0.000946074	0.002108222	0	0.000541754
hsa-miR-498	0.003430532	0.000691324	0.000392516	0.001611604	0.003496503	0	0.002020202	0.001857815	0.000739645	0.000561325	0	0.000340252	0.001633987	0.000529795	0.000745481	0.000336474	0	0.000883197	0.000473485	0.00297619	0.003527337	0	0.003500583	0.00063857	0.000378282	0.001892148	0	0	0.000386967
hsa-miR-4659a-3p	0	0.001036986	0.001308387	0.001611604	0	0	0	0.001362398	0.001150559	0.000561325	0.002901354	0.001020755	0.000816993	0.001095712	0.001087159	0.001682369	0.003095975	0.000441599	0.001893939	0	0.001763668	0	0	0.001277139	0.00021436	0.004730369	0.002108222	0	0.001431778
hsa-miR-4659b-3p	0	0.001036986	0.001308387	0.001611604	0	0	0	0.001362398	0.001150559	0.000561325	0.002901354	0.001020755	0.000816993	0.001095712	0.001087159	0.001682369	0.003095975	0.000441599	0.001893939	0	0.001763668	0	0	0.001277139	0.00021436	0.004730369	0.002108222	0	0.001431778
hsa-miR-4436b-3p	0.001715266	0.000691324	0.000523355	0.001611604	0.003496503	0.002857143	0	0.000371563	0.000657462	0.000561325	0.001934236	0.001020755	0	0.001071631	0.00037274	0.000168237	0	0.000662398	0.00094697	0.001488095	0.007054674	0	0	0.001277139	0.000151313	0	0.000702741	0.001828154	0.000812631
hsa-miR-3150a-3p	0.001715266	0.001036986	0.001439225	0	0	0.002857143	0	0.001238543	0.000904011	0.000841987	0.000967118	0.001020755	0.00245098	0.0009151	0.000574641	0.002187079	0	0.000441599	0.001420455	0.001488095	0.003527337	0.001831502	0	0.002234994	0.000365672	0	0	0.001828154	0.000386967
hsa-miR-27a-3p	0	0.00172831	0.001308387	0.000402901	0	0.002857143	0.002020202	0.00086698	0.000904011	0.001403312	0	0.001020755	0.003267974	0.000734488	0.000776542	0.000168237	0	0.000883197	0.000236742	0	0.001763668	0.001831502	0.002333722	0.001277139	0.0004035	0.000946074	0.002108222	0.001828154	0.00058045
hsa-miR-27b-3p	0	0.00172831	0.001308387	0.000402901	0	0.002857143	0.002020202	0.00086698	0.000904011	0.001403312	0	0.001020755	0.003267974	0.000734488	0.000776542	0.000168237	0	0.000883197	0.000236742	0	0.001763668	0.001831502	0.002333722	0.001277139	0.0004035	0.000946074	0.002108222	0.001828154	0.00058045
hsa-miR-4763-3p	0.001715266	0.001036986	0.000915871	0.000402901	0.003496503	0	0	0.001114689	0.001314924	0.000280662	0	0.001020755	0.000816993	0.000878978	0.000683357	0.000336474	0.003095975	0.001103996	0.001183712	0	0.005291005	0	0.001166861	0.002234994	0.001147454	0.001892148	0	0	0.000503057
hsa-miR-1275	0.001715266	0.000345662	0.000654193	0.000402901	0	0	0	0.000990835	0.000821828	0	0.000967118	0.001701259	0.000816993	0.001023468	0.00037274	0.002018843	0.00619195	0.000441599	0.001657197	0.00297619	0.003527337	0	0.002333722	0.001915709	0.000176531	0	0	0	0.00058045
hsa-miR-637	0.003430532	0	0.001177548	0.000805802	0	0	0	0.000247709	0.000821828	0.000561325	0.001934236	0.001361007	0.00245098	0.001011427	0.000605703	0.002018843	0.003095975	0.000220799	0.001893939	0.001488095	0.001763668	0.001831502	0.001166861	0.002554278	0.00061786	0	0	0	0.000541754
hsa-miR-3163	0.001715266	0	0.000915871	0	0	0	0.004040404	0.001362398	0.002876397	0.001122649	0.000967118	0.001361007	0	0.001192039	0.001879232	0.001177658	0	0.001324796	0.001420455	0.004464286	0	0	0	0.000957854	0.000327844	0.001892148	0	0.001828154	0.000735237
hsa-miR-5003-3p	0	0.000691324	0.000392516	0	0	0	0.002020202	0.00086698	0.001232742	0	0.000967118	0.000680504	0.000816993	0.000638162	0.001242468	0.001009421	0.00619195	0.001545595	0.001420455	0.00297619	0	0	0.001166861	0.000957854	0.000466547	0.001892148	0.001405481	0.001828154	0.001006114
hsa-miR-4723-5p	0.001715266	0.000345662	0.001177548	0.000402901	0	0.002857143	0	0.001114689	0.001068376	0.000280662	0.000967118	0.001361007	0	0.001083671	0.000403802	0.002355316	0.00619195	0.000441599	0.002130682	0.001488095	0.001763668	0	0.001166861	0.002234994	0.000163922	0	0	0	0.000503057
hsa-miR-5698	0.001715266	0.000345662	0.001177548	0.000402901	0	0.002857143	0	0.001114689	0.001068376	0.000280662	0.000967118	0.001361007	0	0.001083671	0.000403802	0.002355316	0.00619195	0.000441599	0.002130682	0.001488095	0.001763668	0	0.001166861	0.002234994	0.000163922	0	0	0	0.000503057
hsa-miR-128	0	0.000691324	0.000785032	0.000805802	0	0.002857143	0.002020202	0.00086698	0.000739645	0.001964637	0.001934236	0.001020755	0.00245098	0.000710407	0.000792073	0.000336474	0	0.000662398	0.000236742	0	0.001763668	0.001831502	0.001166861	0.001277139	0.000630469	0.000946074	0.002108222	0.001828154	0.000735237
hsa-miR-204-3p	0.001715266	0	0.001308387	0.000402901	0	0	0	0.000495417	0.000904011	0.000561325	0.000967118	0.001701259	0.000816993	0.001107753	0.000590172	0.001009421	0	0.001324796	0.002367424	0.001488095	0.001763668	0.001831502	0.001166861	0.001915709	0.003795425	0.000946074	0.000702741	0.001828154	0.000425664
hsa-miR-520g	0	0.00172831	0.000915871	0.000805802	0	0	0.006060606	0.001238543	0.000410914	0.001122649	0	0.001020755	0	0.000782652	0.000947381	0.000504711	0.00619195	0.000662398	0.001420455	0.001488095	0	0	0.001166861	0	0.002168814	0	0.001405481	0	0.001044811
hsa-miR-520h	0	0.00172831	0.000915871	0.000805802	0	0	0.006060606	0.001238543	0.000410914	0.001122649	0	0.001020755	0	0.000782652	0.000947381	0.000504711	0.00619195	0.000662398	0.001420455	0.001488095	0	0	0.001166861	0	0.002168814	0	0.001405481	0	0.001044811
hsa-miR-130b-5p	0	0.001382648	0.001439225	0.001208703	0	0.002857143	0.002020202	0.000990835	0.000575279	0	0.000967118	0.001361007	0.000816993	0.000517754	0.000900789	0.001177658	0	0.001103996	0.001657197	0.001488095	0	0.001831502	0.002333722	0.000319285	0.000151313	0.002838221	0.002108222	0	0.001006114
hsa-miR-4668-3p	0	0	0.000654193	0.000402901	0	0	0.004040404	0.000495417	0.001643655	0.000561325	0	0.002041511	0.000816993	0.000746529	0.000869727	0.001009421	0.003095975	0.001545595	0.001183712	0.00297619	0	0	0	0.00063857	0.000290016	0.002838221	0.000702741	0.003656307	0.000812631
hsa-miR-3646	0.001715266	0.000691324	0.000523355	0.001208703	0	0	0.006060606	0.000619272	0.001232742	0.000841987	0.000967118	0.000680504	0.00245098	0.001071631	0.001087159	0.001009421	0.003095975	0.001545595	0.001183712	0	0	0	0.001166861	0.000957854	0.000554813	0.000946074	0	0	0.001083507
hsa-miR-548o-3p	0	0.000691324	0.001177548	0.001208703	0	0	0	0.001114689	0.001725838	0.000280662	0.005802708	0.001020755	0	0.001035508	0.001335653	0.001514132	0.003095975	0.000662398	0.000710227	0	0	0	0	0.001596424	0.000731344	0.001892148	0.000702741	0.003656307	0.000386967
