	Acute myeloid leukemia	"BladderUrothelialCarcinoma(TCGA,US)"	Breast Cancer	"BreastCarcinoma(WTSI,UK)"	"BreastInvasiveCarcinoma(TCGA,US)"	"CervicalSquamousCellCarcinoma(TCGA,US)"	Chronic lymphocytic leukaemia	"ColonAdenocarcinoma(TCGA,US)"	Colorectal adenocarcinoma	"GastricCancer(CCGC,CN)"	Hepatocellular carcinoma	Hypodiploid_ALL	Leukemia/T-ALL	"LiverCancer(NCC,JP)"	"LiverCancer(RIKEN,JP)"	Lung	"MalignantMelanoma(WTSI,UK)"	Medulloblastoma	Melanoma	Myeloid leukemia	Myeloma	Pancreatic	"PediatricBrainTumors(DKFZ,DE)"	Prostate	"ProstateCancer(OICR,CA)"	"RectumAdenocarcinoma(TCGA,US)"	Small cell lung cancer	T-cell ALL	"UterineCorpusEndometrioidCarcinoma(TCGA,US)"	Sum
SRP19		0.005433306						0.473773361		0.00762066				7.69E-05	0.000231269				0.002218217							0.755972069			0.006468273	1.25179401
ZNF268					0.746713409										0.001858414														0.039842597	0.78841442
FGFR1													0.392718823	0.001571997	0.001858414			0.024330042							0.002693412					0.423172688
NUDT16														0.000377279	0.001222423		0.224199288										0.013600573			0.239399564
GUCY1A3	0.234442836																													0.234442836
HAP1														0.000817439							0.221098266									0.221915705
ATG16L1												0.019462826																0.180221811		0.199684637
BAIAP2														0.00016768			0.197508897													0.197676577
TCF7L2			0.012632046												0.00193275								0.181330472						0.000737826	0.196633094
PDHA1						0.191528545																							0.003738318	0.195266863
NCALD														0.001788584														0.177449168		0.179237752
PRX		0.07470796				0.051565378								0.000426186														0.018484288	0.008435809	0.153619621
MYOF							0.151436031																							0.151436031
AHCYL1	0.1447178																													0.1447178
TOR2A			0.009307823			0.125230203																							0.004426955	0.138964981
TP53		0.018473241							0.005350148				0.081590498	0.001928317					0.014418411											0.121760615
GTPBP3											0.047569804														0.000767354		0.061560487			0.109897644
KAT6A	0.032561505			0.05275177					0.002436228			0.019268198																		0.107017701
CXCR2														8.38E-05								0.10212766			0.000659924					0.102871424
A1CF	0.099855282																													0.099855282
RAI14									0.005159071																		0.088045812			0.093204884
FGFR2									0.009362759	0.013209145			0.070487994												3.07E-05					0.093090592
MCFD2							0.091383812																		0.000859436					0.092243248
CACNA1C			0.035679988											0.002249703	0.005319193	0.046926284														0.090175168
ATP2A3																							0.090128755							0.090128755
EFCAB2														0.0001048	8.26E-05							0.086524823			0.000184165					0.086896384
SEPHS1							0.08616188								0.000123894															0.086285774
DGKA																							0.083690987							0.083690987
KCNE1	0.075253256								0.003248304					0.000558932																0.079060493
CD1E														0.001180745									0.076716738						0.000344319	0.078241802
MAL																												0.077634011		0.077634011
ANKRD6											0.074974147														0.001189398					0.076163545
AATK			0.003545837														0.056939502		0.008318314											0.068803653
MDGA2							0.067885117							0.000419199																0.068304317
SLC46A1						0.066298343								0.000195626											0.001243113					0.067737082
DMRT2		0.009779951												0.000537972			0.053380783												0.003148057	0.066846764
NKX2-1														0.00012576	0.000231269						0.066473988									0.066831017
1-Mar															9.91E-05	0.002483811	0.06405694													0.066639866
PRKACB				0.063941539										0.000726612	0.001057231															0.065725382
TMEM219																						0.065248227								0.065248227
RABL2B																												0.064695009		0.064695009
LDLR																											0.064423765			0.064423765
CD209														0.00177461	0.00258526								0.037553648						0.022208559	0.064122077
FOSB														0.000111786						0.063694268										0.063806054
8-Mar																				0.063694268										0.063694268
ERP29		0.003259984			0.039439089	0.018416206									0.000545135															0.061660413
RAB35														0.000670719								0.059574468							0.000442696	0.060687883
ZNF193																				0.060509554										0.060509554
BMPR1B							0.052219321								0.000470798	0.007451433														0.060141552
CSF2RA						0.05893186																							0.001205116	0.060136976
ASPN		0.004889976				0.031307551																						0.020332717	0.000983768	0.057514011
NOSTRIN															0.000396462							0.056737589								0.05713405
WWC2	0.020984081		0.001181946			0.033149171								4.19E-05	0.000148673										0.000122777				0.001278898	0.056907466
C6orf89																						0.056737589								0.056737589
SLCO1C1					0.052585451				0.003821534																					0.056406986
C17orf107						0.055248619																							0.000737826	0.055986445
MADD																0.002306396	0.035587189	0.017630465											0.000393507	0.055917557
RNF7						0.049723757												0.005994358												0.055718115
VHL													0.050606765	0.000237546	0.000198231	0.003193471									0.000153471					0.054389484
NR2F2											0.05377456				0.000363423															0.054137984
SPNS2														0.000265493			0.051601423												0.001598623	0.053465539
TGFBRAP1																	0.053380783													0.053380783
DYRK1A						0.051565378								0.000307413	0.000115635										0.001043601					0.053032026
LRCH2									0.002961689								0.049822064								0.00010743					0.052891183
ENTPD1									0.012372217					0.000831412	0.002428327										0.00451204		0.032569792			0.052713789
AK2							0.044386423			0.00677392																			0.000368913	0.051529256
TIPARP									0.003296073											0.047770701										0.051066774
FANCA						0.049723757																							0.001032956	0.050756713
RPL28														0.000894292	0.000892039						0.047687861				0.000414371				0.000811608	0.050700171
KRT31							0.040469974														0.010115607									0.050585581
TNRC6C															0.000363423													0.049907579		0.050271002
ATG9B																						0.04964539								0.04964539
DDX11		0.028524857			0.021034181																									0.049559038
ZNF566											0.043433299			0.000195626	0.000198231				0.00388188						0.001657484					0.04936652
XIRP2										0.00508044				0.0002096	0.002122721		0.035587189												0.005951795	0.048951745
PRR9																	0.048042705													0.048042705
POM121		0.006248302				0.040515654								0.000307413															0.00076242	0.047833789
GDA							0.035248042												0.012477471											0.047725513
NRG3												0.020435967			0.00042124												0.026843236			0.047700443
MPV17L																									0.001212419			0.046210721	0.000245942	0.047669082
NTRK2			0.001625175	0.005937429				0.001129242	0.001815229		0.034126163				0.002213577															0.046846815
ZNF81																	0.046263345													0.046263345
NRG1		0.009779951												0.000579892	0.000784664												0.025769506		0.009296606	0.046210619
SORL1							0.045691906								0.000173452															0.045865358
CAV1			0.003841324																								0.041517538			0.045358861
SPATA18							0.040469974																	0.0048151						0.045285074
PMM2															0.000115635					0.044585987									0.000418101	0.045119723
KALRN														0.00018864	8.26E-05					0.044585987										0.044857223
EIF2AK2															0.00022301										0.000529474	0.044101433				0.044853917
PIK3R1													0.043377227	0.000530986	0.000925077															0.04483329
SMCR7L																						0.043971631			0.000168818					0.044140449
NF1													0.043893623		0.000148673															0.044042296
PEG10									0.010031528			0.02569093		0.000964158	0.000941596	0.005854697														0.04348291
KRTAP4-8																					0.043352601									0.043352601
PAK7															0.000132154							0.042553191								0.042685345
ACTN1																						0.042553191								0.042553191
PIF1																						0.042553191								0.042553191
ECHDC1						0.040515654								0.001620904															0.000196754	0.042333311
ODZ1																				0.041401274										0.041401274
PRNP				0.041105275																										0.041105275
HLA-DRB1									0.004108149	0.03149873				0.00029344										0.004622496						0.040522815
KRTAP3-1																					0.040462428									0.040462428
MLF1												0.031529778		0.000796479	0.001784077			0.006346968												0.040457302
