	Acute myeloid leukemia	BladderUrothelialCarcinoma(TCGA,US)	Breast Cancer	BreastCarcinoma(WTSI,UK)	BreastInvasiveCarcinoma(TCGA,US)	CervicalSquamousCellCarcinoma(TCGA,US)	Chronic lymphocytic leukaemia	ColonAdenocarcinoma(TCGA,US)	Colorectal adenocarcinoma	GastricCancer(CCGC,CN)	Hepatocellular carcinoma	Hypodiploid_ALL	Leukemia/T-ALL	LiverCancer(NCC,JP)	LiverCancer(RIKEN,JP)	Lung	MalignantMelanoma(WTSI,UK)	Medulloblastoma	Melanoma	Myeloid leukemia	Myeloma	Pancreatic	PediatricBrainTumors(DKFZ,DE)	Prostate	ProstateCancer(OICR,CA)	RectumAdenocarcinoma(TCGA,US)	Small cell lung cancer	T-cell ALL	UterineCorpusEndometrioidCarcinoma(TCGA,US)
A1CF	138.0																												
AADAC															4.0														
AADACL2														18.0					36.0										
AADACL3															36.0														
AAK1			12.0													31.0									26.0				
AARD														45.0															
AARS														20.0															
AARS2																									16.0				
AASS																									13.0				
AATF										15.0																			
AATK			48.0														32.0		60.0										
ABAT														63.0															
ABCA1														18.0	15.0														
ABCA5															42.0														
ABCA9																									117.0				
ABCB11														19.0															
ABCB5														12.0											146.0				
ABCB8															23.0	8.0													
ABCC1															29.0														
ABCC3																													27.0
ABCC4																									18.0				
ABCC5				13.0												68.0													
ABCC9														4.0	32.0										64.0				
ABCD1														20.0											23.0				
ABCD2				12.0					6.0																				
ABCD3														27.0	23.0														
ABCD4																													29.0
ABCF2															17.0										48.0				
ABCG1															84.0			24.0											
ABCG2																													12.0
ABCG4															72.0			78.0											
ABCG5														24.0															
ABHD10									11.0						44.0														
ABHD11																									321.0				33.0
ABHD12														16.0															
ABHD14B																													69.0
ABHD15															12.0														
ABHD16A															22.0														
ABHD17B														11.0	19.0														
ABHD2														54.0	16.0										86.0				
ABHD4															38.0														
ABI1														336.0	756.0														
ABI2														70.0	8.0														
ABL1														22.0															
ABL2									49.0						378.0			112.0							133.0				
ABLIM1			32.0											48.0	52.0														
ABLIM2			150.0											102.0															
ABLIM3														13.0															
ABT1															14.0														
ABTB1																													66.0
ACAA1														16.0															26.0
ACAA2														16.0															
ACACA															45.0														
ACAD11														9.0	23.0										16.0				
ACADL									16.0																				
ACADM															46.0														
ACADSB															12.0										70.0				
ACAN															34.0			70.0											
ACAP2									4.0						9.0										31.0				
ACAP3								39.0																					
ACBD3														3.0															
ACBD4																									16.0				
ACBD5														34.0											26.0				38.0
ACBD7															9.0									16.0	146.0				
ACCSL																											33.0		
ACER2														12.0															
ACER3								111.0	9.0						13.0														
ACHE																													19.0
ACLY														16.0															
ACO1														24.0															
ACOT11						20.0																							83.0
ACOT13															16.0										120.0				
ACOX1									108.0					75.0	15.0	117.0									42.0				
ACOX3																													52.0
ACP1															20.0														58.0
ACPL2				24.0											28.0														
ACRBP									22.0																				
ACRV1															52.0														
ACSL1														27.0	22.0														
ACSL3									26.0																				
ACSL6															168.0										372.0				
ACSM1																									13.0				
ACSS2														36.0															
ACSS3																									33.0				
ACTC1									6.0																				
ACTG1														10.0															
ACTL7A														9.0															
ACTN1																						30.0							
ACTN2																10.0													
ACTR1B										17.0																			
ACTR3B														146.0															
ACTR8														19.0															
ACVR1															16.0														
ACVR1B														12.0															
ACVR1C														20.0				12.0	76.0										
ACVRL1																									106.0				
ADA														8.0															
ADAL									15.0					21.0															
ADAM11														33.0															
ADAM12														97.0	35.0														
ADAM15			108.0																										
ADAM17									52.0					43.0															
ADAM20															10.0														
ADAM22															48.0														
ADAM23			5.0											10.0															
ADAM28																									24.0				
ADAM33																									40.0				
ADAM7																			13.0										
ADAM8														130.0															
ADAM9														33.0		4.0													
ADAMDEC1								3.0																					
ADAMTS13																													114.0
ADAMTS14															28.0														
ADAMTS15			14.0												26.0														
ADAMTS16														8.0										16.0					
ADAMTS18												11.0			18.0														
ADAMTS19															31.0														
ADAMTS3												8.0																	
ADAMTS4			14.0																						89.0				
ADAMTS5	16.0								14.0						64.0														
ADAMTSL2														28.0															
ADAMTSL4																													13.0
ADAMTSL5														8.0															
ADAP1			8.0																										
ADAP2														18.0											16.0				
ADAR								56.0						16.0															
ADARB1									20.0					4.0									18.0						
ADARB2														29.0															
ADAT1																									35.0				
ADAT2				10.0																									
ADCY1									24.0					23.0											37.0				
ADCY2											10.0			16.0	70.0										17.0				
ADCY5															10.0														
ADCY6														88.0															
ADCY9																									7.0				
ADCYAP1															46.0														
ADCYAP1R1														144.0	75.0														
ADD1				44.0																									
ADD2														34.0															4.0
ADH1B															15.0														
ADH4														9.0											22.0				
ADI1														15.0	21.0														
ADIPOQ														80.0	26.0										198.0				
ADIPOR1				14.0																									
ADM2															42.0										32.0				
ADNP2														16.0															
ADORA1														132.0															
ADORA2A														10.0															
ADORA2B								65.0																					
ADORA3																							29.0		20.0				
ADPGK			12.0																										18.0
ADPRH															4.0				15.0										
ADPRHL2								13.0																					
ADRA1A														6.0								13.0							17.0
ADRA2B																23.0													
ADRA2C															12.0														
ADRB2															21.0														
ADRB3								31.0																					
