	Acute myeloid leukemia	BladderUrothelialCarcinoma(TCGA,US)	Breast Cancer	BreastCarcinoma(WTSI,UK)	BreastInvasiveCarcinoma(TCGA,US)	CervicalSquamousCellCarcinoma(TCGA,US)	Chronic lymphocytic leukaemia	ColonAdenocarcinoma(TCGA,US)	Colorectal adenocarcinoma	GastricCancer(CCGC,CN)	Hepatocellular carcinoma	Hypodiploid_ALL	Leukemia/T-ALL	LiverCancer(NCC,JP)	LiverCancer(RIKEN,JP)	Lung	MalignantMelanoma(WTSI,UK)	Medulloblastoma	Melanoma	Myeloid leukemia	Myeloma	Pancreatic	PediatricBrainTumors(DKFZ,DE)	Prostate	ProstateCancer(OICR,CA)	RectumAdenocarcinoma(TCGA,US)	Small cell lung cancer	T-cell ALL	UterineCorpusEndometrioidCarcinoma(TCGA,US)
A1CF	0.154311649017																												
AADAC															6.8904928425e-05														
AADACL2														0.000138612946449					0.00659472422062										
AADACL3															0.000206714785275														
AAK1			0.000598175564528													0.00414528227398									0.000185856333055				
AARD														0.000554451785797															
AARS														0.000215620138921															
AARS2																									0.000159305428332				
AASS																									0.000159305428332				
AATF										0.00198478332782																			
AATK			0.00209361447585														0.0401337792642		0.0125899280576										
ABAT														0.000184817261932															
ABCA1														4.62043154831e-05	0.00013780985685														
ABCA5															0.000516786963188														
ABCA9																									0.000531018094442				
ABCB11														9.24086309661e-05															
ABCB5														9.24086309661e-05											0.00128771887902				
ABCB8															0.000120583624744	0.000592183181998													
ABCC1															0.00013780985685														
ABCC3																													0.000438382854359
ABCC4																									0.000146029975971				
ABCC5				0.00423529411765												0.00552704303198													
ABCC9														3.08028769887e-05	0.000465108266869										0.000584119903886				
ABCD1														0.000215620138921											0.000106203618888				
ABCD2				0.00235294117647					0.000379110984741																				
ABCD3														0.000215620138921	0.0002756197137														
ABCD4																													0.000681928884559
ABCF2															0.000120583624744										0.000544293546803				
ABCG1															0.000723501748463			0.00287769784173											
ABCG2																													0.00038967364832
ABCG4															0.000585691891613			0.0115107913669											
ABCG5														0.000123211507955															
ABHD10									0.00018955549237						0.000447882034763														
ABHD11																									0.00290732406707				
ABHD12														0.000138612946449															
ABHD14B																													0.00248416950804
ABHD15															0.000206714785275														
ABHD16A															0.000241167249488														
ABHD17B														3.08028769887e-05	0.000206714785275														
ABHD2														0.000585254662786	0.000103357392638										0.000451365380275				
ABHD4															0.0002756197137														
ABI1														0.00369634523865	0.00268729220858														
ABI2														0.000169415823438	0.000120583624744														
ABL1														0.000308028769887															
ABL2									0.00132688844659						0.00397925961654			0.0201438848921							0.000929281665273				
ABLIM1			0.00179452669358											0.000308028769887	0.0002756197137														
ABLIM2			0.0152534768955											0.00101649494063															
ABLIM3														0.000123211507955															
ABT1															5.16786963188e-05														
ABTB1																													0.00165611300536
ACAA1														6.16057539774e-05															0.000974184120799
ACAA2														0.000184817261932															
ACACA															0.000344524642125														
ACAD11														1.54014384944e-05	0.000241167249488										0.000106203618888				
ACADL									0.000568666477111																				
ACADM															0.000310072177913														
ACADSB															8.61311605313e-05										0.000411539023192				
ACAN															0.000172262321063			0.00815347721823											
ACAP2															3.44524642125e-05										9.29281665273e-05				
ACAP3								0.00395256916996																					
ACBD3														4.62043154831e-05															
ACBD4																									0.000106203618888				
ACBD5														0.00024642301591											0.000185856333055				0.00165611300536
ACBD7															0.000120583624744									0.00576843840132	0.000690323522774				
ACCSL																											0.00931677018634		
ACER2														0.00010781006946															
ACER3								0.00316205533597	0.000758221969482						8.61311605313e-05														
ACHE																													0.000487092060399
ACLY														0.000184817261932															
ACO1														0.000184817261932															
ACOT11						0.0290456431535																							0.0021919142718
ACOT13															6.8904928425e-05										0.00108858709361				
ACOX1									0.00625533124822					0.000970290625144	0.000206714785275	0.0165811290959									0.000517742642081				
ACOX3																													0.00199707744764
ACP1															0.00013780985685														0.0014612761812
ACPL2				0.00470588235294											0.000344524642125														
ACRBP									0.00132688844659																				
ACRV1															0.0005512394274														
ACSL1														0.000231021577415	0.000206714785275														
ACSL3									0.00170599943133																				
ACSL6															0.00144700349693										0.00262853956749				
ACSM1																									7.96527141662e-05				
ACSS2														0.000184817261932															
ACSS3																									0.00038498811847				
ACTC1									0.000379110984741																				
ACTG1														6.16057539774e-05															
ACTL7A														7.70071924718e-05															
ACTN1																						0.0425531914894							
ACTN2																0.001184366364													
ACTR1B										0.00264637777043																			
ACTR3B														0.0010781006946															
ACTR8														0.000200218700427															
ACVR1															0.00013780985685														
ACVR1B														0.000184817261932															
ACVR1C														0.00024642301591				0.00191846522782	0.0107913669065										
ACVRL1																									0.000477916284997				
ADAL									0.000663444223296					0.000215620138921															
ADAM11														0.000184817261932															
ADAM12														0.000754670486223	0.000206714785275														
ADAM15			0.0152534768955																										
ADAM17									0.00236944365463					0.000184817261932															
ADAM20															0.000120583624744														
ADAM22															0.000258393481594														
ADAM23			0.000299087782264											9.24086309661e-05															
ADAM28																									0.000199131785416				
ADAM33																									0.000345161761387				
ADAM7																			0.00179856115108										
ADAM8														0.00101649494063															
ADAMTS13																													0.00277642474428
ADAMTS14															0.000241167249488														
ADAMTS15			0.000299087782264												0.000206714785275														
ADAMTS16														7.70071924718e-05										0.00535640708694					
ADAMTS18												0.00118203309693			0.000223941017381														
ADAMTS19															0.000310072177913														
ADAMTS3												0.000788022064618																	
ADAMTS4			0.000897263346792																						0.000756700784579				
ADAMTS5	0.018154311649								0.000852999715667						0.0005512394274														
ADAMTSL2														6.16057539774e-05															
ADAMTSL4																													0.00034096444228
ADAMTSL5														9.24086309661e-05															
ADAP1			0.000897263346792																										
ADAP2														0.000138612946449											0.000159305428332				
ADAR								0.00105401844532																					
ADARB1									0.00132688844659														0.00130890052356						
ADARB2														0.000184817261932															
ADAT1																									0.00038498811847				
ADAT2				0.00282352941176																									
ADCY1									0.00132688844659					0.000169415823438											0.000278784499582				
ADCY2											0.00540540540541			0.000184817261932	0.000654596820038										0.000146029975971				
ADCY5															3.44524642125e-05														
ADCY6														0.000431240277842															
ADCY9																									3.98263570831e-05				
ADCYAP1															0.000447882034763														
ADCYAP1R1														0.000739269047729	0.00041342957055														
ADD1				0.0103529411765																									
ADD2														0.000308028769887															4.87092060399e-05
ADH1B															8.61311605313e-05														
ADH4														4.62043154831e-05											0.000119479071249				
ADI1														0.00010781006946	0.000241167249488														
ADIPOQ														0.000616057539774	0.000103357392638										0.00153995247388				
ADIPOR1				0.00376470588235																									
ADM2															0.000310072177913										0.000212407237777				
ADNP2														0.00010781006946															
ADORA1														0.000646860416763															
ADORA2A														7.70071924718e-05															
ADORA2B								0.00737812911726																					
ADORA3																							0.0065445026178		0.000172580880694				
ADPGK			0.000598175564528																										0.000535801266439
ADPRH															3.44524642125e-05				0.00149880095923										
ADPRHL2								0.000790513833992																					
ADRA1A														4.62043154831e-05								0.0243161094225							9.74184120799e-05
ADRA2B																0.00177654954599													
ADRA2C															6.8904928425e-05														
ADRB2															0.000223941017381														
ADRB3								0.00276679841897																					
ADTRP														0.00070846617074															
AEBP2			0.00239270225811						0.000758221969482					0.000231021577415															
AEN															0.00013780985685														
AFAP1														0.000154014384944	0.000654596820038														
AFAP1L1															0.000206714785275										5.31018094442e-05				
AFF1														0.000646860416763															
AFF2															0.00289400699385														
AFF4			0.00134589502019											0.000723867609235	0.00172262321063														
AFM															1.72262321063e-05														
AFMID																									0.000185856333055				0.00116902094496
AGA														9.24086309661e-05															
AGAP1														1.54014384944e-05															
AGAP3														0.00010781006946															
AGBL4																													0.00034096444228
AGER																													0.000584510472479
AGFG1															0.00124028871165	0.00473746545598													
AGMAT																									5.31018094442e-05				
AGMO																									9.29281665273e-05				
AGO1														9.24086309661e-05											0.000119479071249				
AGO2				0.0216470588235										0.000277225892898															
AGO4																									0.000345161761387				
AGPAT3															0.000482334498975														
AGPAT4														0.000231021577415	0.00013780985685													0.0321100917431	
AGPAT5												0.00315208825847																	
AGPAT6														0.000154014384944	0.000206714785275										6.63772618052e-05				
AGPAT9															0.000671823052144										0.000876179855829				
AGPS														0.00010781006946	0.000430655802656														
AGT			0.00104680723792																										
AGTR1														0.000154014384944															
AGTRAP												0.00591016548463												0.0144210960033					
AHCYL1	0.0378214826021																												
AHCYL2															0.00199824292433										0.0013275452361				
AHI1																									0.0023497550679				
AHNAK														0.000169415823438	1.72262321063e-05														
AHNAK2										0.000661594442607															5.31018094442e-05				
AHR									0.000473888730926						0.000103357392638										0.000690323522774				
AHSG															0.000447882034763														
AICDA									0.00170599943133						0.00013780985685														
AIDA															0.000206714785275														
AIF1L															0.000310072177913														
AIFM1																													0.00185094982952
AIFM2																									0.000504467189719				
AIM1														4.62043154831e-05															
AIM2																								0.00247218788628					
AIMP1														0.000323430208381															
AIMP2															1.72262321063e-05														
AIP			0.000897263346792																										
AIPL1														0.000138612946449											0.000597395356247				
AIRE																0.00315831030399									0.000172580880694				
AJUBA														0.000154014384944	0.000620144355825														
AK2							0.0427553444181			0.00529275554085																			0.00014612761812
AK3									0.00236944365463						0.000344524642125														
AK4								0.00250329380764							8.61311605313e-05														
AK5														0.000123211507955															
AKAP11														0.000492846031819															
AKAP12			0.00149543891132																						0.00076997623694				
AKAP13														0.000585254662786	0.000482334498975														
AKAP2															0.000310072177913			0.00143884892086											
AKAP5															0.000103357392638														
AKAP7														0.000462043154831															
AKAP8															0.000155036088956														
AKIRIN1																									0.000902730760551				
AKNA	0.00453857791225													4.62043154831e-05				0.00239808153477							3.98263570831e-05				
AKR1C2																									7.96527141662e-05				
AKT1														0.000184817261932										0.0111248454883					
AKT2														0.000693064732246	0.00103357392638										0.00151340156916				
AKT3																			0.0044964028777										
AKTIP														0.000308028769887										0.00576843840132					
ALAD														9.24086309661e-05															
ALB															0.000103357392638														
ALCAM																		0.00215827338129											
ALDH1A2			0.00478540451623																										
ALDH1A3														0.00010781006946	0.000223941017381														
ALDH1B1																									0.000531018094442				
ALDH1L2																									0.000119479071249				
ALDH3A2																				0.0434782608696					0.000265509047221				
ALDH3B2														0.00024642301591															
ALDH4A1									0.00170599943133																				
ALDH5A1									0.00284333238556									0.00143884892086							0.00013275452361				
ALDH7A1			0.00583221175415											0.000323430208381															
ALDOB														0.000385035962359	0.000292845945806														
ALG1																													0.0002435460302
ALG11		0.00846979107849								0.000330797221303				0.00010781006946															0.00165611300536
ALG12																													0.000438382854359
ALG8																													0.000438382854359
ALG9									0.00758221969482																				
ALKBH2		0.0214568040655																											
ALKBH4																									0.00088945530819				
ALKBH5														0.00070846617074															
ALOX15B																									0.000292059951943				
ALOXE3																			0.0089928057554										
ALPK1																									0.000557568999164				
ALPK3			0.00149543891132																										
ALPP															0.000292845945806										0.000278784499582				
ALS2														0.00010781006946	0.00013780985685														
ALS2CL																			0.00179856115108										
ALS2CR11																													0.000876765708719
ALS2CR8																			0.00659472422062										
ALX1															0.000585691891613														
