	Acute myeloid leukemia	BladderUrothelialCarcinoma(TCGA,US)	Breast Cancer	BreastCarcinoma(WTSI,UK)	BreastInvasiveCarcinoma(TCGA,US)	CervicalSquamousCellCarcinoma(TCGA,US)	Chronic lymphocytic leukaemia	ColonAdenocarcinoma(TCGA,US)	Colorectal adenocarcinoma	GastricCancer(CCGC,CN)	Hepatocellular carcinoma	Hypodiploid_ALL	Leukemia/T-ALL	LiverCancer(NCC,JP)	LiverCancer(RIKEN,JP)	Lung	MalignantMelanoma(WTSI,UK)	Medulloblastoma	Melanoma	Myeloid leukemia	Myeloma	Pancreatic	PediatricBrainTumors(DKFZ,DE)	Prostate	ProstateCancer(OICR,CA)	RectumAdenocarcinoma(TCGA,US)	Small cell lung cancer	T-cell ALL	UterineCorpusEndometrioidCarcinoma(TCGA,US)
A1CF	102.0																												
AADAC															4.0														
AADACL2														9.0					22.0										
AADACL3															12.0														
AAK1			4.0													21.0									14.0				
AARD														36.0															
AARS														14.0															
AARS2																									12.0				
AASS																									12.0				
AATF										6.0																			
AATK			14.0														12.0		42.0										
ABAT														12.0															
ABCA1														3.0	8.0														
ABCA5															30.0														
ABCA9																									40.0				
ABCB11														6.0															
ABCB5														6.0											97.0				
ABCB8															7.0	3.0													
ABCC1															8.0														
ABCC3																													9.0
ABCC4																									11.0				
ABCC5				9.0												28.0													
ABCC9														2.0	27.0										44.0				
ABCD1														14.0											8.0				
ABCD2				5.0					4.0																				
ABCD3														14.0	16.0														
ABCD4																													14.0
ABCF2															7.0										41.0				
ABCG1															42.0			12.0											
ABCG2																													8.0
ABCG4															34.0			48.0											
ABCG5														8.0															
ABHD10									2.0						26.0														
ABHD11																									219.0				
ABHD12														9.0															
ABHD14B																													51.0
ABHD15															12.0														
ABHD16A															14.0														
ABHD17B														2.0	12.0														
ABHD2														38.0	6.0										34.0				
ABHD4															16.0														
ABI1														240.0	156.0														
ABI2														11.0	7.0														
ABL1														20.0															
ABL2									14.0						231.0			84.0							70.0				
ABLIM1			12.0											20.0	16.0														
ABLIM2			102.0											66.0															
ABLIM3														8.0															
ABT1															3.0														
ABTB1																													34.0
ACAA1														4.0															20.0
ACAA2														12.0															
ACACA															20.0														
ACAD11														1.0	14.0										8.0				
ACADL									6.0																				
ACADM															18.0														
ACADSB															5.0										31.0				
ACAN															10.0			34.0											
ACAP2															2.0										7.0				
ACAP3								30.0																					
ACBD3														3.0															
ACBD4																									8.0				
ACBD5														16.0											14.0				34.0
ACBD7															7.0									14.0	52.0				
ACCSL																											12.0		
ACER2														7.0															
ACER3								24.0	8.0						5.0														
ACHE																													10.0
ACLY														12.0															
ACO1														12.0															
ACOT11						7.0																							45.0
ACOT13															4.0										82.0				
ACOX1									66.0					63.0	12.0	84.0									39.0				
ACOX3																													41.0
ACP1															8.0														30.0
ACPL2				10.0											20.0														
ACRBP									14.0																				
ACRV1															32.0														
ACSL1														15.0	12.0														
ACSL3									18.0																				
ACSL6															84.0										198.0				
ACSM1																									6.0				
ACSS2														12.0															
ACSS3																									29.0				
ACTC1									4.0																				
ACTG1														4.0															
ACTL7A														5.0															
ACTN1																						14.0							
ACTN2																6.0													
ACTR1B										8.0																			
ACTR3B														70.0															
ACTR8														13.0															
ACVR1															8.0														
ACVR1B														12.0															
ACVR1C														16.0				8.0	36.0										
ACVRL1																									36.0				
ADAL									7.0					14.0															
ADAM11														12.0															
ADAM12														49.0	12.0														
ADAM15			102.0																										
ADAM17									25.0					12.0															
ADAM20															7.0														
ADAM22															15.0														
ADAM23			2.0											6.0															
ADAM28																									15.0				
ADAM33																									26.0				
ADAM7																			6.0										
ADAM8														66.0															
ADAMTS13																													57.0
ADAMTS14															14.0														
ADAMTS15			2.0												12.0														
ADAMTS16														5.0										13.0					
ADAMTS18												3.0			13.0														
ADAMTS19															18.0														
ADAMTS3												2.0																	
ADAMTS4			6.0																						57.0				
ADAMTS5	12.0								9.0						32.0														
ADAMTSL2														4.0															
ADAMTSL4																													7.0
ADAMTSL5														6.0															
ADAP1			6.0																										
ADAP2														9.0											12.0				
ADAR								8.0																					
ADARB1									14.0														1.0						
ADARB2														12.0															
ADAT1																									29.0				
ADAT2				6.0																									
ADCY1									14.0					11.0											21.0				
ADCY2											4.0			12.0	38.0										11.0				
ADCY5															2.0														
ADCY6														28.0															
ADCY9																									3.0				
ADCYAP1															26.0														
ADCYAP1R1														48.0	24.0														
ADD1				22.0																									
ADD2														20.0															1.0
ADH1B															5.0														
ADH4														3.0											9.0				
ADI1														7.0	14.0														
ADIPOQ														40.0	6.0										116.0				
ADIPOR1				8.0																									
ADM2															18.0										16.0				
ADNP2														7.0															
ADORA1														42.0															
ADORA2A														5.0															
ADORA2B								56.0																					
ADORA3																							5.0		13.0				
ADPGK			4.0																										11.0
ADPRH															2.0				5.0										
ADPRHL2								6.0																					
ADRA1A														3.0								8.0							2.0
ADRA2B																9.0													
ADRA2C															4.0														
ADRB2															13.0														
ADRB3								21.0																					
ADTRP														46.0															
AEBP2			16.0						8.0					15.0															
AEN															8.0														
AFAP1														10.0	38.0														
AFAP1L1															12.0										4.0				
AFF1														42.0															
AFF2															168.0														
AFF4			9.0											47.0	100.0														
AFM															1.0														
AFMID																									14.0				24.0
AGA														6.0															
AGAP1														1.0															
AGAP3														7.0															
AGBL4																													7.0
AGER																													12.0
AGFG1															72.0	24.0													
AGMAT																									4.0				
AGMO																									7.0				
AGO1														6.0											9.0				
AGO2				46.0										18.0															
AGO4																									26.0				
AGPAT3															28.0														
AGPAT4														15.0	8.0													14.0	
AGPAT5												8.0																	
AGPAT6														10.0	12.0										5.0				
AGPAT9															39.0										66.0				
AGPS														7.0	25.0														
AGT			7.0																										
AGTR1														10.0															
AGTRAP												15.0												35.0					
AHCYL1	25.0																												
AHCYL2															116.0										100.0				
AHI1																									177.0				
AHNAK														11.0	1.0														
AHNAK2										2.0															4.0				
AHR									5.0						6.0										52.0				
AHSG															26.0														
AICDA									18.0						8.0														
AIDA															12.0														
AIF1L															18.0														
AIFM1																													38.0
AIFM2																									38.0				
AIM1														3.0															
AIM2																								6.0					
AIMP1														21.0															
AIMP2															1.0														
AIP			6.0																										
AIPL1														9.0											45.0				
AIRE																16.0									13.0				
AJUBA														10.0	36.0														
AK2							18.0			16.0																			3.0
AK3									25.0						20.0														
AK4								19.0							5.0														
AK5														8.0															
AKAP11														32.0															
AKAP12			10.0																						58.0				
AKAP13														38.0	28.0														
AKAP2															18.0			6.0											
AKAP5															6.0														
AKAP7														30.0															
AKAP8															9.0														
AKIRIN1																									68.0				
AKNA	3.0													3.0				10.0							3.0				
AKR1C2																									6.0				
AKT1														12.0										27.0					
AKT2														45.0	60.0										114.0				
AKT3																			15.0										
AKTIP														20.0										14.0					
ALAD														6.0															
ALB															6.0														
ALCAM																		9.0											
ALDH1A2			32.0																										
ALDH1A3														7.0	13.0														
ALDH1B1																									40.0				
ALDH1L2																									9.0				
ALDH3A2																				22.0					20.0				
ALDH3B2														16.0															
ALDH4A1									18.0																				
ALDH5A1									30.0									6.0							10.0				
ALDH7A1			39.0											21.0															
