	Acute myeloid leukemia	BladderUrothelialCarcinoma(TCGA,US)	Breast Cancer	BreastCarcinoma(WTSI,UK)	BreastInvasiveCarcinoma(TCGA,US)	CervicalSquamousCellCarcinoma(TCGA,US)	Chronic lymphocytic leukaemia	ColonAdenocarcinoma(TCGA,US)	Colorectal adenocarcinoma	GastricCancer(CCGC,CN)	Hepatocellular carcinoma	Hypodiploid_ALL	Leukemia/T-ALL	LiverCancer(NCC,JP)	LiverCancer(RIKEN,JP)	Lung	MalignantMelanoma(WTSI,UK)	Medulloblastoma	Melanoma	Myeloid leukemia	Myeloma	Pancreatic	PediatricBrainTumors(DKFZ,DE)	Prostate	ProstateCancer(OICR,CA)	RectumAdenocarcinoma(TCGA,US)	Small cell lung cancer	T-cell ALL	UterineCorpusEndometrioidCarcinoma(TCGA,US)
A1CF	0.0499306518724																												
AADACL2														0.000115088042352					0.0036110394635										
AADACL3															0.000380831482069														
AAK1			0.00116788321168													0.00163132137031									0.000218217526504				
AARD														0.000115088042352															
AARS														7.67253615683e-05															
AARS2																									7.27391755014e-05				
AASS																									1.81847938754e-05				
AATF										0.00312283136711																			
AATK			0.00496350364964														0.0760456273764		0.0046427650245										
ABAT														0.00065216557333															
ABCA1														0.000191813403921	0.000111075848937														
ABCA5															0.000190415741035														
ABCA9																									0.0014002291284				
ABCB11														0.000166238283398															
ABCB5														7.67253615683e-05											0.000891054899893				
ABCB8															0.000253887654713	0.000815660685155													
ABCC1															0.000333227546811														
ABCC3																													0.000894187779434
ABCC4																									0.000127293557128				
ABCC5				0.00177462289264												0.00652528548124													
ABCC9														2.55751205228e-05	7.93398920977e-05										0.000363695877507				
ABCD1														7.67253615683e-05											0.00027277190813				
ABCD2				0.00310559006211					0.000192622556101																				
ABCD3														0.000166238283398	0.000111075848937														
ABCD4																													0.000745156482861
ABCF2															0.000158679784195										0.000127293557128				
ABCG1															0.000666455093621			0.00276625172891											
ABCG2																													0.00019870839543
ABCG4															0.000602983179943			0.00691562932227											
ABCG5														0.000204600964182															
ABHD10									0.000866801502456						0.000285623611552														
ABHD11																									0.00185484897529				0.0016393442623
ABHD12														8.95129218296e-05															
ABHD14B																													0.000894187779434
ABHD16A															0.000126943827356														
ABHD17B														0.000115088042352	0.000111075848937														
ABHD2														0.000204600964182	0.000158679784195										0.000945609281519				
ABHD4															0.00034909552523														
ABI1														0.00122760578509	0.00952078705173														
ABI2														0.000754466055421	1.58679784195e-05														
ABL1														2.55751205228e-05															
ABL2									0.00337089473177						0.00233259282767			0.00645458736745							0.00114564201415				
ABLIM1			0.0029197080292											0.000358051687319	0.000571247223104														
ABLIM2			0.00700729927007											0.00046035216941															
ABLIM3														6.39378013069e-05															
ABT1															0.000174547762615														
ABTB1																													0.00158966716344
ACAA1														0.000153450723137															0.000298062593145
ACAA2														5.11502410455e-05															
ACACA															0.000396699460489														
ACAD11														0.000102300482091	0.000142811805776										0.000145478351003				
ACADL									0.000963112780507																				
ACADM															0.000444303395747														
ACADSB															0.000111075848937										0.000709206961139				
ACAN															0.000380831482069			0.00829875518672											
ACAP2									0.000385245112203						0.000111075848937										0.000436435053009				
ACAP3								0.000889240193657																					
ACBD4																									0.000145478351003				
ACBD5														0.000230176084705											0.000218217526504				0.00019870839543
ACBD7															3.17359568391e-05									0.000723327305606	0.00170937062428				
ACCSL																											0.0139442231076		
ACER2														6.39378013069e-05															
ACER3								0.00859598853868	9.63112780507e-05						0.000126943827356														
ACHE																													0.000447093889717
ACLY														5.11502410455e-05															
ACO1														0.000153450723137															
ACOT11						0.0430463576159																							0.00188772975658
ACOT13															0.000190415741035										0.000691022167264				
ACOX1									0.00404507367813					0.000153450723137	4.76039352586e-05	0.00538336052202									5.45543816261e-05				
ACOX3																													0.000546448087432
ACP1															0.000190415741035														0.00139095876801
ACPL2				0.00621118012422											0.000126943827356														
ACRBP									0.000770490224405																				
ACRV1															0.000317359568391														
ACSL1														0.000153450723137	0.000158679784195														
ACSL3									0.000770490224405																				
ACSL6															0.00133291018724										0.00316415413431				
ACSM1																									0.000127293557128				
ACSS2														0.000306901446273															
ACSS3																									7.27391755014e-05				
ACTC1									0.000192622556101																				
ACTG1														7.67253615683e-05															
ACTL7A														5.11502410455e-05															
ACTN1																						0.0425531914894							
ACTN2																0.000652528548124													
ACTR1B										0.00312283136711																			
ACTR3B														0.000971854579865															
ACTR8														7.67253615683e-05															
ACVR1															0.000126943827356														
ACVR1C														5.11502410455e-05				0.000922083909636	0.01031725561										
ACVRL1																									0.00127293557128				
ADA														0.000102300482091															
ADAL									0.000770490224405					8.95129218296e-05															
ADAM11														0.000268538765489															
ADAM12														0.000613802892546	0.00036496350365														
ADAM15			0.000875912408759																										
ADAM17									0.00260040450737					0.000396414368103															
ADAM20															4.76039352586e-05														
ADAM22															0.000523643287845														
ADAM23			0.00043795620438											5.11502410455e-05															
ADAM28																									0.000163663144878				
ADAM33																									0.000254587114255				
ADAM7																			0.00180551973175										
ADAM8														0.000818403856728															
ADAM9														0.000421989488625		0.000652528548124													
ADAMDEC1								0.000296413397886																					
ADAMTS13																													0.00283159463487
ADAMTS14															0.000222151697874														
ADAMTS15			0.00175182481752												0.000222151697874														
ADAMTS16														3.83626807841e-05										0.00108499095841					
ADAMTS18												0.00307692307692			7.93398920977e-05														
ADAMTS19															0.000206283719454														
ADAMTS3												0.00230769230769																	
ADAMTS4			0.00116788321168																						0.000581913404012				
