	Acute myeloid leukemia	BladderUrothelialCarcinoma(TCGA,US)	Breast Cancer	BreastCarcinoma(WTSI,UK)	BreastInvasiveCarcinoma(TCGA,US)	CervicalSquamousCellCarcinoma(TCGA,US)	Chronic lymphocytic leukaemia	ColonAdenocarcinoma(TCGA,US)	Colorectal adenocarcinoma	GastricCancer(CCGC,CN)	Hepatocellular carcinoma	Hypodiploid_ALL	Leukemia/T-ALL	LiverCancer(NCC,JP)	LiverCancer(RIKEN,JP)	Lung	MalignantMelanoma(WTSI,UK)	Medulloblastoma	Melanoma	Myeloid leukemia	Myeloma	Pancreatic	PediatricBrainTumors(DKFZ,DE)	Prostate	ProstateCancer(OICR,CA)	RectumAdenocarcinoma(TCGA,US)	Small cell lung cancer	T-cell ALL	UterineCorpusEndometrioidCarcinoma(TCGA,US)
A1CF	36.0																												
AADACL2														9.0					14.0										
AADACL3															24.0														
AAK1			8.0													10.0									12.0				
AARD														9.0															
AARS														6.0															
AARS2																									4.0				
AASS																									1.0				
AATF										9.0																			
AATK			34.0														20.0		18.0										
ABAT														51.0															
ABCA1														15.0	7.0														
ABCA5															12.0														
ABCA9																									77.0				
ABCB11														13.0															
ABCB5														6.0											49.0				
ABCB8															16.0	5.0													
ABCC1															21.0														
ABCC3																													18.0
ABCC4																									7.0				
ABCC5				4.0												40.0													
ABCC9														2.0	5.0										20.0				
ABCD1														6.0											15.0				
ABCD2				7.0					2.0																				
ABCD3														13.0	7.0														
ABCD4																													15.0
ABCF2															10.0										7.0				
ABCG1															42.0			12.0											
ABCG2																													4.0
ABCG4															38.0			30.0											
ABCG5														16.0															
ABHD10									9.0						18.0														
ABHD11																									102.0				33.0
ABHD12														7.0															
ABHD14B																													18.0
ABHD16A															8.0														
ABHD17B														9.0	7.0														
ABHD2														16.0	10.0										52.0				
ABHD4															22.0														
ABI1														96.0	600.0														
ABI2														59.0	1.0														
ABL1														2.0															
ABL2									35.0						147.0			28.0							63.0				
ABLIM1			20.0											28.0	36.0														
ABLIM2			48.0											36.0															
ABLIM3														5.0															
ABT1															11.0														
ABTB1																													32.0
ACAA1														12.0															6.0
ACAA2														4.0															
ACACA															25.0														
ACAD11														8.0	9.0										8.0				
ACADL									10.0																				
ACADM															28.0														
ACADSB															7.0										39.0				
ACAN															24.0			36.0											
ACAP2									4.0						7.0										24.0				
ACAP3								9.0																					
ACBD4																									8.0				
ACBD5														18.0											12.0				4.0
ACBD7															2.0									2.0	94.0				
ACCSL																											21.0		
ACER2														5.0															
ACER3								87.0	1.0						8.0														
ACHE																													9.0
ACLY														4.0															
ACO1														12.0															
ACOT11						13.0																							38.0
ACOT13															12.0										38.0				
ACOX1									42.0					12.0	3.0	33.0									3.0				
ACOX3																													11.0
ACP1															12.0														28.0
ACPL2				14.0											8.0														
ACRBP									8.0																				
ACRV1															20.0														
ACSL1														12.0	10.0														
ACSL3									8.0																				
ACSL6															84.0										174.0				
ACSM1																									7.0				
ACSS2														24.0															
ACSS3																									4.0				
ACTC1									2.0																				
ACTG1														6.0															
ACTL7A														4.0															
ACTN1																						16.0							
ACTN2																4.0													
ACTR1B										9.0																			
ACTR3B														76.0															
ACTR8														6.0															
ACVR1															8.0														
ACVR1C														4.0				4.0	40.0										
ACVRL1																									70.0				
ADA														8.0															
ADAL									8.0					7.0															
ADAM11														21.0															
ADAM12														48.0	23.0														
ADAM15			6.0																										
ADAM17									27.0					31.0															
ADAM20															3.0														
ADAM22															33.0														
ADAM23			3.0											4.0															
ADAM28																									9.0				
ADAM33																									14.0				
ADAM7																			7.0										
ADAM8														64.0															
ADAM9														33.0		4.0													
ADAMDEC1								3.0																					
ADAMTS13																													57.0
ADAMTS14															14.0														
ADAMTS15			12.0												14.0														
ADAMTS16														3.0										3.0					
ADAMTS18												8.0			5.0														
ADAMTS19															13.0														
ADAMTS3												6.0																	
ADAMTS4			8.0																						32.0				
ADAMTS5	4.0								5.0						32.0														
ADAMTSL2														24.0															
ADAMTSL4																													6.0
ADAMTSL5														2.0															
ADAP1			2.0																										
ADAP2														9.0											4.0				
ADAR								48.0						16.0															
ADARB1									6.0					4.0									17.0						
ADARB2														17.0															
ADAT1																									6.0				
ADAT2				4.0																									
ADCY1									10.0					12.0											16.0				
ADCY2											6.0			4.0	32.0										6.0				
ADCY5															8.0														
ADCY6														60.0															
ADCY9																									4.0				
ADCYAP1															20.0														
ADCYAP1R1														96.0	51.0														
ADD1				22.0																									
ADD2														14.0															3.0
ADH1B															10.0														
ADH4														6.0											13.0				
ADI1														8.0	7.0														
ADIPOQ														40.0	20.0										82.0				
ADIPOR1				6.0																									
ADM2															24.0										16.0				
ADNP2														9.0															
ADORA1														90.0															
ADORA2A														5.0															
ADORA2B								9.0																					
ADORA3																							24.0		7.0				
ADPGK			8.0																										7.0
ADPRH															2.0				10.0										
ADPRHL2								7.0																					
ADRA1A														3.0								5.0							15.0
ADRA2B																14.0													
ADRA2C															8.0														
ADRB2															8.0														
ADRB3								10.0																					
ADTRP														26.0															
AEBP2			14.0						6.0					25.0															
AEN															6.0														
AFAP1														32.0	58.0														
AFAP1L1															6.0										10.0				
AFF1														56.0															
AFF2															270.0														
AFF4			12.0											31.0	90.0														
AFM															1.0														
AFMID																									26.0				
AGA														12.0															
AGAP1														2.0															
AGAP3														2.0															
AGBL4																													23.0
AGER																													16.0
AGFG1															56.0	120.0													
AGMAT																									21.0				
AGMO																									16.0				
AGO1														3.0											4.0				
AGO2				18.0										14.0															
AGO4																4.0									11.0				
AGPAT3															14.0														
AGPAT4														3.0	18.0													14.0	
AGPAT5												4.0																	
AGPAT6														13.0	17.0										9.0				
AGPAT9															33.0										18.0				
AGPS														6.0	17.0														
AGT			14.0																										
AGTR1														15.0															
AGTRAP												30.0												75.0					
AHCYL1	175.0																												
AHCYL2															88.0										52.0				
AHI1																									87.0				
AHNAK														7.0	7.0														
AHNAK2										6.0															13.0				
AHR									20.0						28.0										25.0				
AHSG															22.0														
AICDA									7.0						9.0														
AIF1L														66.0	15.0														
AIFM1																													47.0
AIFM2																									76.0				
AIM1														10.0															
AIM2																								8.0					
AIMP1														33.0															
AIMP2															11.0														
AIP			3.0																										
AIPL1														9.0											24.0				
AIRE																22.0									5.0				
AJUBA														22.0	48.0														
AK2							16.0			24.0																			12.0
AK3									5.0						75.0														
AK4								18.0							15.0														
AK5														44.0															
AKAP1														18.0															
AKAP11														24.0															
AKAP12			22.0																						38.0				
AKAP13														50.0	22.0														
AKAP2															60.0			27.0											
AKAP5															12.0														
AKAP7														33.0															
AKAP8															12.0														
AKIRIN1																									30.0				
AKNA	6.0													11.0				4.0							8.0				
AKR1C2																									18.0				
AKT1														57.0										63.0					
AKT2											30.0			42.0	27.0										21.0				
AKT3																			4.0										
AKTIP														8.0										32.0					
ALAD														3.0															
ALB															3.0														
ALCAM																		10.0											
ALDH1A2			36.0																										
ALDH1A3														28.0	17.0														
ALDH1B1																									24.0				
ALDH1L2																									10.0				
ALDH3A2																				14.0					16.0				
ALDH3B2														50.0															
ALDH4A1									20.0																				
ALDH5A1																		6.0							4.0				
ALDH7A1			45.0											57.0															
ALDOB														46.0	22.0														
ALG1																													4.0
