	Acute myeloid leukemia	"BladderUrothelialCarcinoma(TCGA,US)"	Breast Cancer	"BreastCarcinoma(WTSI,UK)"	"BreastInvasiveCarcinoma(TCGA,US)"	"CervicalSquamousCellCarcinoma(TCGA,US)"	Chronic lymphocytic leukaemia	"ColonAdenocarcinoma(TCGA,US)"	Colorectal adenocarcinoma	"GastricCancer(CCGC,CN)"	Hepatocellular carcinoma	Hypodiploid_ALL	Leukemia/T-ALL	"LiverCancer(NCC,JP)"	"LiverCancer(RIKEN,JP)"	Lung	"MalignantMelanoma(WTSI,UK)"	Medulloblastoma	Melanoma	Myeloid leukemia	Myeloma	Pancreatic	"PediatricBrainTumors(DKFZ,DE)"	Prostate	"ProstateCancer(OICR,CA)"	"RectumAdenocarcinoma(TCGA,US)"	Small cell lung cancer	T-cell ALL	"UterineCorpusEndometrioidCarcinoma(TCGA,US)"
A1CF	138																												
AADAC															4														
AADACL2														18					36										
AADACL3															36														
AAK1			12													31									26				
AARD														45															
AARS														20															
AARS2																									16				
AASS																									13				
AATF										15																			
AATK			48														32		60										
ABAT														63															
ABCA1														18	15														
ABCA5															42														
ABCA9																									117				
ABCB11														19															
ABCB5														12											146				
ABCB8															23	8													
ABCC1															29														
ABCC3																													27
ABCC4																									18				
ABCC5				13												68													
ABCC9														4	32										64				
ABCD1														20											23				
ABCD2				12					6																				
ABCD3														27	23														
ABCD4																													29
ABCF2															17										48				
ABCG1															84			24											
ABCG2																													12
ABCG4															72			78											
ABCG5														24															
ABHD10									11						44														
ABHD11																									321				33
ABHD12														16															
ABHD14B																													69
ABHD15															12														
ABHD16A															22														
ABHD17B														11	19														
ABHD2														54	16										86				
ABHD4															38														
ABI1														336	756														
ABI2														70	8														
ABL1														22															
ABL2									49						378			112							133				
ABLIM1			32											48	52														
ABLIM2			150											102															
ABLIM3														13															
ABT1															14														
ABTB1																													66
ACAA1														16															26
ACAA2														16															
ACACA															45														
ACAD11														9	23										16				
ACADL									16																				
ACADM															46														
ACADSB															12										70				
ACAN															34			70											
ACAP2									4						9										31				
ACAP3								39																					
ACBD3														3															
ACBD4																									16				
ACBD5														34											26				38
ACBD7															9									16	146				
ACCSL																											33		
ACER2														12															
ACER3								111	9						13														
ACHE																													19
ACLY														16															
ACO1														24															
ACOT11						20																							83
ACOT13															16										120				
ACOX1									108					75	15	117									42				
ACOX3																													52
ACP1															20														58
ACPL2				24											28														
ACRBP									22																				
ACRV1															52														
ACSL1														27	22														
ACSL3									26																				
ACSL6															168										372				
ACSM1																									13				
ACSS2														36															
ACSS3																									33				
ACTC1									6																				
ACTG1														10															
ACTL7A														9															
ACTN1																						30							
ACTN2																10													
ACTR1B										17																			
ACTR3B														146															
ACTR8														19															
ACVR1															16														
ACVR1B														12															
ACVR1C														20				12	76										
ACVRL1																									106				
ADA														8															
ADAL									15					21															
ADAM11														33															
ADAM12														97	35														
ADAM15			108																										
ADAM17									52					43															
ADAM20															10														
ADAM22															48														
ADAM23			5											10															
ADAM28																									24				
ADAM33																									40				
ADAM7																			13										
ADAM8														130															
ADAM9														33		4													
ADAMDEC1								3																					
ADAMTS13																													114
ADAMTS14															28														
ADAMTS15			14												26														
ADAMTS16														8										16					
ADAMTS18												11			18														
ADAMTS19															31														
ADAMTS3												8																	
ADAMTS4			14																						89				
ADAMTS5	16								14						64														
ADAMTS9																													
ADAMTSL2														28															
ADAMTSL4																													13
ADAMTSL5														8															
ADAP1			8																										
ADAP2														18											16				
ADAR								56						16															
ADARB1									20					4									18						
ADARB2														29															
ADAT1																									35				
ADAT2				10																									
ADCY1									24					23											37				
ADCY2											10			16	70										17				
