	Acute myeloid leukemia	"BladderUrothelialCarcinoma(TCGA,US)"	Breast Cancer	"BreastCarcinoma(WTSI,UK)"	"BreastInvasiveCarcinoma(TCGA,US)"	"CervicalSquamousCellCarcinoma(TCGA,US)"	Chronic lymphocytic leukaemia	"ColonAdenocarcinoma(TCGA,US)"	Colorectal adenocarcinoma	"GastricCancer(CCGC,CN)"	Hepatocellular carcinoma	Hypodiploid_ALL	Leukemia/T-ALL	"LiverCancer(NCC,JP)"	"LiverCancer(RIKEN,JP)"	Lung	"MalignantMelanoma(WTSI,UK)"	Medulloblastoma	Melanoma	Myeloid leukemia	Myeloma	Pancreatic	"PediatricBrainTumors(DKFZ,DE)"	Prostate	"ProstateCancer(OICR,CA)"	"RectumAdenocarcinoma(TCGA,US)"	Small cell lung cancer	T-cell ALL	"UterineCorpusEndometrioidCarcinoma(TCGA,US)"
A1CF	102																												
AADAC															4														
AADACL2														9					22										
AADACL3															12														
AAK1			4													21									14				
AARD														36															
AARS														14															
AARS2																									12				
AASS																									12				
AATF										6																			
AATK			14														12		42										
ABAT														12															
ABCA1														3	8														
ABCA5															30														
ABCA9																									40				
ABCB11														6															
ABCB5														6											97				
ABCB8															7	3													
ABCC1															8														
ABCC3																													9
ABCC4																									11				
ABCC5				9												28													
ABCC9														2	27										44				
ABCD1														14											8				
ABCD2				5					4																				
ABCD3														14	16														
ABCD4																													14
ABCF2															7										41				
ABCG1															42			12											
ABCG2																													8
ABCG4															34			48											
ABCG5														8															
ABHD10									2						26														
ABHD11																									219				
ABHD12														9															
ABHD14B																													51
ABHD15															12														
ABHD16A															14														
ABHD17B														2	12														
ABHD2														38	6										34				
ABHD4															16														
ABI1														240	156														
ABI2														11	7														
ABL1														20															
ABL2									14						231			84							70				
ABLIM1			12											20	16														
ABLIM2			102											66															
ABLIM3														8															
ABT1															3														
ABTB1																													34
ACAA1														4															20
ACAA2														12															
ACACA															20														
ACAD11														1	14										8				
ACADL									6																				
ACADM															18														
ACADSB															5										31				
ACAN															10			34											
ACAP2															2										7				
ACAP3								30																					
ACBD3														3															
ACBD4																									8				
ACBD5														16											14				34
ACBD7															7									14	52				
ACCSL																											12		
ACER2														7															
ACER3								24	8						5														
ACHE																													10
ACLY														12															
ACO1														12															
ACOT11						7																							45
ACOT13															4										82				
ACOX1									66					63	12	84									39				
ACOX3																													41
ACP1															8														30
ACPL2				10											20														
ACRBP									14																				
ACRV1															32														
ACSL1														15	12														
ACSL3									18																				
ACSL6															84										198				
ACSM1																									6				
ACSS2														12															
ACSS3																									29				
ACTC1									4																				
ACTG1														4															
ACTL7A														5															
ACTN1																						14							
ACTN2																6													
ACTR1B										8																			
ACTR3B														70															
ACTR8														13															
ACVR1															8														
ACVR1B														12															
ACVR1C														16				8	36										
ACVRL1																									36				
ADAL									7					14															
ADAM11														12															
ADAM12														49	12														
ADAM15			102																										
ADAM17									25					12															
ADAM20															7														
ADAM22															15														
ADAM23			2											6															
ADAM28																									15				
ADAM33																									26				
ADAM7																			6										
ADAM8														66															
ADAMTS13																													57
ADAMTS14															14														
ADAMTS15			2												12														
ADAMTS16														5										13					
ADAMTS18												3			13														
ADAMTS19															18														
ADAMTS3												2																	
ADAMTS4			6																						57				
ADAMTS5	12								9						32														
ADAMTS9																													
ADAMTSL2														4															
ADAMTSL4																													7
ADAMTSL5														6															
ADAP1			6																										
ADAP2														9											12				
ADAR								8																					
ADARB1									14														1						
ADARB2														12															
ADAT1																									29				
ADAT2				6																									
