	Acute myeloid leukemia	"BladderUrothelialCarcinoma(TCGA,US)"	Breast Cancer	"BreastCarcinoma(WTSI,UK)"	"BreastInvasiveCarcinoma(TCGA,US)"	"CervicalSquamousCellCarcinoma(TCGA,US)"	Chronic lymphocytic leukaemia	"ColonAdenocarcinoma(TCGA,US)"	Colorectal adenocarcinoma	"GastricCancer(CCGC,CN)"	Hepatocellular carcinoma	Hypodiploid_ALL	Leukemia/T-ALL	"LiverCancer(NCC,JP)"	"LiverCancer(RIKEN,JP)"	Lung	"MalignantMelanoma(WTSI,UK)"	Medulloblastoma	Melanoma	Myeloid leukemia	Myeloma	Pancreatic	"PediatricBrainTumors(DKFZ,DE)"	Prostate	"ProstateCancer(OICR,CA)"	"RectumAdenocarcinoma(TCGA,US)"	Small cell lung cancer	T-cell ALL	"UterineCorpusEndometrioidCarcinoma(TCGA,US)"
A1CF	36																												
AADACL2														9					14										
AADACL3															24														
AAK1			8													10									12				
AARD														9															
AARS														6															
AARS2																									4				
AASS																									1				
AATF										9																			
AATK			34														20		18										
ABAT														51															
ABCA1														15	7														
ABCA5															12														
ABCA9																									77				
ABCB11														13															
ABCB5														6											49				
ABCB8															16	5													
ABCC1															21														
ABCC3																													18
ABCC4																									7				
ABCC5				4												40													
ABCC9														2	5										20				
ABCD1														6											15				
ABCD2				7					2																				
ABCD3														13	7														
ABCD4																													15
ABCF2															10										7				
ABCG1															42			12											
ABCG2																													4
ABCG4															38			30											
ABCG5														16															
ABHD10									9						18														
ABHD11																									102				33
ABHD12														7															
ABHD14B																													18
ABHD16A															8														
ABHD17B														9	7														
ABHD2														16	10										52				
ABHD4															22														
ABI1														96	600														
ABI2														59	1														
ABL1														2															
ABL2									35						147			28							63				
ABLIM1			20											28	36														
ABLIM2			48											36															
ABLIM3														5															
ABT1															11														
ABTB1																													32
ACAA1														12															6
ACAA2														4															
ACACA															25														
ACAD11														8	9										8				
ACADL									10																				
ACADM															28														
ACADSB															7										39				
ACAN															24			36											
ACAP2									4						7										24				
ACAP3								9																					
ACBD4																									8				
ACBD5														18											12				4
ACBD7															2									2	94				
ACCSL																											21		
ACER2														5															
ACER3								87	1						8														
ACHE																													9
ACLY														4															
ACO1														12															
ACOT11						13																							38
ACOT13															12										38				
ACOX1									42					12	3	33									3				
ACOX3																													11
ACP1															12														28
ACPL2				14											8														
ACRBP									8																				
ACRV1															20														
ACSL1														12	10														
ACSL3									8																				
ACSL6															84										174				
ACSM1																									7				
ACSS2														24															
ACSS3																									4				
ACTC1									2																				
ACTG1														6															
ACTL7A														4															
ACTN1																						16							
ACTN2																4													
ACTR1B										9																			
ACTR3B														76															
ACTR8														6															
ACVR1															8														
ACVR1C														4				4	40										
ACVRL1																									70				
ADA														8															
ADAL									8					7															
ADAM11														21															
ADAM12														48	23														
ADAM15			6																										
ADAM17									27					31															
ADAM20															3														
ADAM22															33														
ADAM23			3											4															
ADAM28																									9				
ADAM33																									14				
ADAM7																			7										
ADAM8														64															
ADAM9														33		4													
ADAMDEC1								3																					
ADAMTS13																													57
ADAMTS14															14														
ADAMTS15			12												14														
ADAMTS16														3										3					
ADAMTS18												8			5														
ADAMTS19															13														
ADAMTS3												6																	
ADAMTS4			8																						32				
ADAMTS5	4								5						32														
ADAMTS9																													
ADAMTSL2														24															
ADAMTSL4																													6
ADAMTSL5														2															
ADAP1			2																										
ADAP2														9											4				
ADAR								48						16															
ADARB1									6					4									17						
ADARB2														17															
ADAT1																									6				
ADAT2				4																									
ADCY1									10					12											16				
ADCY2											6			4	32										6				
ADCY5															8														
ADCY6														60															
ADCY9																									4				
ADCYAP1															20														
ADCYAP1R1														96	51														
ADD1				22																									
ADD2														14															3
ADH1B															10														
ADH4														6											13				
ADI1														8	7														
ADIPOQ														40	20										82				
ADIPOR1				6																									
ADM2															24										16				
ADNP2														9															
ADORA1														90															
ADORA2A														5															
ADORA2B								9																					
ADORA3																							24		7				
ADPGK			8																										7
ADPRH															2				10										
ADPRHL2								7																					
ADRA1A														3								5							15
ADRA2B																14													
ADRA2C															8														
ADRB2															8														
ADRB3								10																					
ADTRP														26															
AEBP2			14						6					25															
AEN															6														
AFAP1														32	58														
AFAP1L1															6										10				
AFF1														56															
AFF2															270														
AFF4			12											31	90														
AFM															1														
AFMID																									26				
AGA														12															
AGAP1														2															
AGAP3														2															
AGBL4																													23
AGER																													16
AGFG1															56	120													
AGL																													
AGMAT																									21				
AGMO																									16				
AGO1														3											4				
AGO2				18										14															
AGO4																4									11				
AGPAT3															14														
AGPAT4														3	18													14	
AGPAT5												4																	
AGPAT6														13	17										9				
AGPAT9															33										18				
AGPS														6	17														
AGT			14																										
AGTR1														15															
AGTRAP												30												75					
AHCYL1	175																												
AHCYL2															88										52				
AHI1																									87				
AHNAK														7	7														
AHNAK2										6															13				
AHR									20						28										25				
AHSG															22														
AICDA									7						9														
AIF1L														66	15														
AIFM1																													47
AIFM2																									76				
AIM1														10															
AIM2																								8					
AIMP1														33															
AIMP2															11														
AIP			3																										
AIPL1														9											24				
AIRE																22									5				
AJUBA														22	48														
AK2							16			24																			12
AK3									5						75														
AK4								18							15														
AK5														44															
AKAP1														18															
AKAP11														24															
AKAP12			22																						38				
AKAP13														50	22														
AKAP2															60			27											
AKAP5															12														
AKAP7														33															
AKAP8															12														
AKIRIN1																									30				
AKNA	6													11				4							8				
AKR1C2																									18				
AKT1														57										63					
AKT2											30			42	27										21				
AKT3																			4										
AKTIP														8										32					
ALAD														3															
ALB															3														
ALCAM																		10											
ALDH1A2			36																										
ALDH1A3														28	17														
ALDH1B1																									24				
ALDH1L2																									10				
ALDH3A2																				14					16				
ALDH3B2														50															
ALDH4A1									20																				
ALDH5A1																		6							4				
ALDH7A1			45											57															
ALDOB														46	22														
ALG1																													4
ALG11		3								20				9															37
ALG12																													9
ALG8																													17
ALG9									20																				
ALKBH2		30																											
ALKBH4																									28				
ALKBH5														21															
ALOX15B																									34				
ALOXE3																			44										
ALPK1																									51				
ALPK3			6																										
ALPP															14										29				
ALS2														20	17														
ALS2CL																			6										
ALS2CR11																													2
ALS2CR8																			28										
ALX1															4														
ALX4			10											11															
AMACR																										18			17
AMD1														32															
AMER1														9															9
AMER2														8															
AMMECR1									21						21														
AMN1														8															13
AMOTL1															28														
AMOTL2														18	4														
AMPD3																		75											
AMT														12															
AMTN														6															
ANAPC7					18									5	16										11				
ANGEL1														24															
ANGEL2																									67				
ANGPT1														6	6	10													
ANGPT2		9	21												15										21				
ANGPT4														18	5														
ANGPTL1														4	9														
ANK1															40	80													
ANKEF1																									14				
ANKH									8						8										15				
ANKHD1-EIF4EBP3														3															
ANKLE1																									8				
ANKMY2																		1											
ANKRD12														9	12														
ANKRD13B														7															
ANKRD13C														3															
ANKRD17															14														
ANKRD18A																									6				10
ANKRD20A4																									9				
ANKRD23														33	8														
ANKRD26									6					22															
ANKRD28			27											6													15		
ANKRD29															7														
ANKRD33B			14																										
ANKRD34A			29																										
ANKRD37															6														
ANKRD40															11														
ANKRD45									10																				
ANKRD46															6														
ANKRD49														7															
ANKRD50														40	18														
ANKRD52														21	6														
ANKRD53																													7
ANKRD6											95														80				
ANKRD7																													17
ANKRD9												7																	
ANKS1A														19															
ANKS1B								27																					
ANKS3														22															
ANKS4B														8											24				
ANKS6														2		6													
ANO1														12															
ANO2														6															
ANO6														33	30										11				
ANO7																									8				
ANO8														24															
ANP32A															11														
ANP32B														6															
ANPEP														24															
ANTXR1															14														
ANTXR2															17														
ANXA10											3																		
ANXA13										18					28														
ANXA7															28														
AOAH																													26
AOC2														10															
AOC3														23															
AOX1																1												5	
AP1AR														24															
AP1S1														55															
AP1S2														3															
AP1S3																									24				
AP2S1														14															
AP3D1														15	7														
AP3M1												16																	
AP3S2																									26				
AP4E1															38	22									6				
AP4S1																									24				
AP5B1														13											7				
AP5S1																									9				
AP5Z1														4															
APAF1																									72				
APBA1																4													
APBA2															12														
APBB1														119															
APBB2									49			63		56	175														
APC															6														
APC2															23														
APH1A														52															
API5																													104
APITD1-CORT										5					15														21
APLF									14							4													
APLN									6						21														
APLP1														40															
APLP2																													50
APMAP														14	8														
APOA1BP														17															
APOA5														28															
APOB														6															
APOBEC1														11															
APOBEC3D														26															
APOBEC3F																			20										
APOBEC3G														5															
APOBEC3H																									24				
APOC2														28															
APOD														5															
APOF																									4				
APOL1															40										8				
APOL2																		12											
APOL4														32															
APOL6			6											9				10							11				
APOLD1																									18				
APOOL									4																				6
APOPT1														9											5				
APPBP2																12									10				
APPL1								8																					
APTX																													16
AQP2															10														
AQP3														6				5											
AQP4														4															
AQP6															9														
AQP9														7	15														
AR									6						18														
ARAF														76															
ARC														15															
ARCN1														8											10				
ARF1														4															
ARF3												7			4										7				
ARF4																									14				
ARFGAP2			2																										
ARFGAP3															18														
ARFGEF2			5																										
ARFIP2															32														
ARFRP1		5												40					4										1
ARHGAP1														38															
ARHGAP11A																									22				
ARHGAP12														19						18									
ARHGAP23														10															
ARHGAP24									15						57														
ARHGAP25														20															
ARHGAP26																								14	66				
ARHGAP27														7															
ARHGAP28										8				13															
ARHGAP31															14														
ARHGAP35														15															
ARHGAP40														7															
ARHGAP5															9														
ARHGAP8														19															
ARHGDIA			36											114															
ARHGDIB																									20				
ARHGEF1														6															
ARHGEF10														9															
ARHGEF11														12															
ARHGEF12				8																									
ARHGEF26									3					21	15										39				2
ARHGEF28														27															
ARHGEF3														12															
ARHGEF33														11															
ARHGEF38			22				1			8																			
ARHGEF39														32										19	27				30
ARHGEF4														24															
ARHGEF6														22															
ARHGEF7																				10									
ARHGEF9									18					36	96														
ARID1A														46											22				
ARID3B														13															
ARID4A															24														
ARID4B														18	21														
ARID5A																													10
ARID5B															26	8													
ARIH1				7										5															
ARIH2OS																									8				
ARL11																									63				
ARL13A																													99
ARL3														7															
ARL4A									92			24																	
ARL5A														18															
ARL5B															24														
ARL6IP5								8																					
ARL6IP6																													27
ARL8A																			10										
ARL8B								28																					35
ARMC10															30										36				
ARMC3														7															
ARMC5														18	6														19
ARMC6														46															
ARMC7															8														
ARMCX4														6															
ARMCX5-GPRASP2														11															
ARMS2														7															
ARNT									51																				
ARNT2															99														
ARNTL2																									310				
ARPC1B														6															
ARPC4-TTLL3		30													3														1
ARPC5																									3				
ARPP21															42														
ARRB1														26															
ARRDC3														19	8														
ARRDC4															18														
ARRDC5														10															
ARSB															4														
ARSD														5											17				
ARSJ															9														
ARSK															7										15				
ART1																									7				
ART3										27																			
ARTN														75															
ARV1															4														
AS3MT																									18				
ASAP1											24				8														
ASAP3														16															
ASB1														9	25														
ASB14								28																					
ASB15														3															
ASB16																									16				
ASB3															21														
ASB4														18															
ASB6			54																										75
ASB7														22															
ASB8																									8				
ASB9																													39
ASCC1																													4
ASCC2																			24										
ASCC3															9														
ASCL1														24															
ASF1A															6														
ASH1L														5	7														
ASIC3																													39
ASPA									8																				
ASPH			6											62				16											
ASPN		10				5																						4	18
ASPRV1												9		5															
ASRGL1														6															
ASTE1														3															
ASTN1															2														
ASTN2														135	15										56				27
ASXL2														6					17										
ASZ1																													4
ATAD1														9															
ATAD2B														8															
ATAD3C														14															
ATAT1															14														
ATCAY														4	8	8									50		4		
ATF2										5					7										15				7
ATF3																													24
ATF5														8															
ATF6															9														
ATF7															26														
ATF7IP2														11											14				15
ATG10																									26				
ATG12															11										10				
ATG13																													60
ATG14														18											17				
ATG16L1												40																150	
ATG2A														6															
ATG4A									8																				
ATG4B														18															
ATG5														21	5														
ATG7			27									18		12	30														
ATG9A																			14										
ATG9B																						25							
ATL2														4															
ATM																									7				
ATOX1														27															
ATP10B																		17											
ATP11B															2														
ATP12A										10																			
ATP13A2																									17				
ATP13A3														5	14														
ATP1A2														8											6				
ATP1A3														15															63
ATP1B1														12															
ATP1B2																									5				
ATP2A1														6															
ATP2A2														25					9						15				
ATP2A3																							78						
ATP2B1												8		4															3
ATP2B2														8	10														
ATP2B3										5													4						14
ATP2B4														6	32	12													
ATP2C1								24						77															
ATP4B										5				5															
ATP5B														5															
ATP5F1									3																				
ATP5J2																			36										
ATP5J2-PTCD1														13											11				16
ATP5L2										10																			
ATP5S																									16				
ATP6V0A2																									24				
ATP6V0D2																									37				
ATP6V0E1	9														54														
ATP6V1A																									13				
ATP6V1C1														11											22				
ATP6V1C2														8															
ATP6V1F															28														
ATP6V1G1															31														
ATP6V1G3																													25
ATP7A															2														
ATP7B															33														
ATP8A1															32														
ATP8B1																									36				
ATP8B2														28											11				
ATP8B4															11														
ATPBD4																													
ATPIF1																													18
ATRAID														9															
ATRN														14															
ATRNL1												9		6	10														
ATRX														6	42														
ATXN1									14					20					32										
ATXN1L														1															
ATXN2																													12
ATXN2L																													12
ATXN3															432										696				
ATXN7															30														
ATXN7L1																									22				
ATXN7L3														26															
ATXN7L3B														13											15		4		
AUH														20															
AURKA				48																									
AUTS2														20															
AVEN														9															
AVIL															14														
AVPR1B															6														
AXL			10																										
B3GALNT1															25														
B3GALNT2		17												14											35				5
B3GALT5									50																				
B3GALT6															6														
B3GALTL														19															
B3GNT2														5															
B3GNT5															12														
B3GNT6															8														
B3GNTL1			4																										
B4GALT1														4	12														
B4GALT4														30											14				
B4GALT5														15											15				
B4GALT6														5															
B9D1																													13
B9D2														17															
BAALC															24												16		11
BAAT															24														
BABAM1														42	18														
BACE1			36											18															
BACE2																													14
BACH2														8															
BAG1														6															
BAG4															12														
BAG5														42											45				
BAHD1														25	8														
BAI3														12															
BAIAP2														14			60												
BAIAP2L1														19															
BAIAP2L2														7	15														
BAIAP3														15															
BAK1																17													
BARHL2								16																					
BARX2			9																										
BASP1									5																				
BATF2														14															
BAX														12															
BAZ2A														10															
BAZ2B															17														
BBIP1															100										40				
BBS4														44															
BBS7												3																	
BBX			10											38	36														
BCAP29														4	46														8
BCAP31																													12
BCAR1														81															
BCAR3																		4											
BCAS1																									10				
BCAS2										14																			
BCAS3														32					30										
BCAS4														18	14														
BCAT1									60																				
BCAT2														16															
BCCIP										6																			
BCKDHB									10							10									6				
BCKDK																													7
BCL11A			8											9	3														
BCL11B														76	20			8											
BCL2														6											17				
BCL2L1														12															
BCL2L10																							16						
BCL2L11														6	128														187
BCL2L14		11																											
BCL2L15												2																	
BCL2L2								4																					
BCL2L2-PABPN1														10															
BCL6															27														
BCL6B																								16					
BCL7C														1															
BCL9														47															
BCLAF1										33				12															
BCOR																													
BCR									6										30										
BDH1														39											39				
BDNF														34	476				85										
BDP1																7									7				
BEAN1														44															
BEND2														20											6				
BEND4				3										5															23
BEST3														62	36														
BET1															4														
BEX5														10															
BFAR									10																59				
BHLHE22																									2				
BHLHE40														27	9														
BHLHE41																											5		
BHMT														3															
BHMT2									4																				
BICD2														17	54														
BID												49																	
BIN2										7				10															
BIRC3														26															
BIRC5														14											44				42
BIRC6															4														
BIVM																									22				
BLCAP														65															
BLMH															16														
BLOC1S2														9	6														
BLOC1S3																									15				
BLOC1S4														11															
BLOC1S5														51											39				17
BLOC1S6																									14				
BMF															28														
BMP3																		6											
BMP5														28															
BMP7														9	19														
BMP8A										3																			
BMP8B																									25				
BMPER			8						6					17	13														
BMPR1A															10														
BMPR1B							24								48	64													
BNC1															12														
BNC2								6						6	17														
BNIP2														4	8														
BNIP3L								23							10														
BOD1L1															17														
BOK															18														
BOLA1																									7				
BPIFA3															14														
BPIFB4														33															
BPNT1																									35				
BPTF											16														16				
BRAF														4															
BRAP				9										22															
BRD3									24					20															
BRD4														16															
BRD8															12														
BRI3BP														9															
BRIP1												4																	
BRMS1L														1															
BRSK1																							3						
BRSK2														28															
BRWD1									5					8	33	10													25
BRWD3			9						18																				
BSDC1								92							16														48
BSN									7					22															
BSPRY														1													11		
BST1														18															
BST2														30															
BTAF1																								5					
BTBD1															18														
BTBD11									4																				
BTBD17																			12										
BTBD18															8														
BTBD7			4											6															
BTC																									1				
BTF3															13														
BTF3L4															90										33				
BTG1															64														
BTG2															8														
BTG3														16															
BTK										3																			
BTLA														20															
BTN2A1		18													12														53
BTN2A2		10		31											36														60
BTN3A1																30									76				
BTN3A2														40										40					
BTNL3														19															
BTNL8																													12
BTNL9			7																										
BTRC														45															
BUB1															6														
BVES															42														
BZW2												20		26															
C10orf10														13															
C10orf105														2															
C10orf111																									27				
C10orf113																													16
C10orf118															1	13									7				
C10orf131									7																				
C10orf2														22															
C10orf25																		10											
C10orf32															6														
C10orf53															12														
C10orf54														24	13														
C10orf67														6															
C10orf71														5															7
C10orf76																									5				
C10orf82										11																			
C10orf90															9														
C10orf99																												18	
C11orf24																10													
C11orf30														1															
C11orf41									10																				
C11orf49		13	7						8					24															5
C11orf54																									22				
C11orf57														36	15														
C11orf63																									8				
C11orf68															20														
C11orf70									6																10				14
C11orf73																													10
C11orf80														3															
C11orf83															8	4									24				
C11orf84														8															
C11orf86															14														
C11orf87				11					2					7	14														
C11orf91														42															
C11orf95															3														
C12orf23														5	4														
C12orf4															7														
C12orf43																									4				
C12orf44														54															
C12orf5															1														
C12orf56														18															
C12orf65														66															
C12orf68														10															
C12orf74														7															
C14orf1														17															
C14orf119															5										9				
C14orf182								23																					
C14orf28												19			25										8				
C14orf93			45																										
C15orf2																5													
C15orf32														9															
C15orf38																									5				
C15orf38-AP3S2																									26				
C15orf40																									15				
C15orf41														14															
C15orf48															38														
C15orf52														43											9				
C15orf57																		24											
C15orf62								31						12															
C16orf52														10											15				
C16orf54																									10				
C16orf55														29															
C16orf58			14											14															12
C16orf70														13															
C16orf72															3														
C16orf80																						12							
C16orf89																													11
C16orf95														24															
C17orf101									10																				
C17orf102														30															
C17orf103																									5				
C17orf107						21																							12
C17orf112														6															
C17orf49																													16
C17orf51														10															
C17orf58										15																			21
C17orf62														140															70
C17orf72														32															20
C17orf77																									20				
C17orf78															13														
C17orf85														12															
C17orf89															9														
C17orf99									5																				
C18orf1																36													
C18orf25														48															
C18orf32														14															
C18orf63									5					5															
C19orf12															44														
C19orf18															12														
C19orf25																													
C19orf26														6															
C19orf40														4											16				
C19orf44		18												13	16														28
C19orf47														16															
C19orf48														22															
C19orf54			24																						14				
C19orf66											12																		7
C1GALT1																									2				
C1QA														1															10
C1QBP														12															
C1QTNF1														42	99														
C1QTNF3															36														
C1QTNF5														17															
C1QTNF6																									32				
C1QTNF8			12																										
C1QTNF9																									5				
C1R														16															
C1RL															18														
C1S														14															
C1orf101																													18
C1orf105														8															
C1orf106																									16				
C1orf110																												6	
C1orf115														8															
C1orf116															34	18													
C1orf122														62															
C1orf130																11													
C1orf131															15														
C1orf158														6															
C1orf168														10	3														
C1orf173											5				9														
C1orf177														14															
C1orf187											9																		
C1orf190			22																										
C1orf192				8																									
C1orf198															24														
C1orf201																								52					
C1orf204														10															
C1orf21								47	7						13			14		4				31					
C1orf210																									34				
C1orf216																16													
C1orf229																									10				
C1orf233					17									8															
C1orf27															18														
C1orf31																		8											
C1orf35														16															
C1orf43														15															
C1orf65														11															
C1orf74														15															
C1orf86		4													11														
C1orf88																		12											
C1orf95														9															
C20orf160																								2					
C20orf166														22															
C20orf194									5																				
C20orf197															3														
C20orf202																5													
C20orf24																													56
C20orf26														4															
C20orf27														27															
C20orf96														54															
C21orf33														70															
C21orf58														14															
C21orf7																			8										
C21orf91				6											24														3
C22orf26															19														
C22orf29															7				9						21				
C22orf46														22	6														
C2CD2								4	20																				
C2CD2L											23																		
C2CD4A															17														
C2CD4C															14														
C2orf15																									10				
C2orf43														8															
C2orf44		8													10														
C2orf53														26															
C2orf67									3																				
C2orf69															5								15	8	6				
C2orf80																													9
C2orf83																													19
C2orf84									7																				
C2orf88														36	60									12					
C2orf91														16											16				
C3orf18																													
C3orf27															14														
C3orf33																									21				
C3orf38														4															
C3orf52														31	4										4				15
C3orf55				7										12															6
C3orf58															20														
C3orf62														10											55				
C3orf70									4																39				
C3orf71									7																				
C3orf72																									29				
C3orf80														6										5					
C4BPA														12															
C4orf26																									102				
C4orf29														5											8				
C4orf3																									18				
C4orf32															11														
C4orf40															29										4				
C5														8															
C5AR1																									25				
C5orf20																		10											
C5orf22															22														
C5orf24															14										62				
C5orf28																									21				
C5orf38																													5
C5orf46															9														
C5orf51			3											11	5														
C5orf60																									7				
C5orf63														3															
C5orf64															14														
C6															4														
C6orf106															20	18													
C6orf118										5				4															
C6orf120														5															21
C6orf132															19										8				
C6orf170																									20				
C6orf223		4							14					23															4
C6orf25		9												54															
C6orf47														5								7							
C6orf58														6															
C6orf89																						24							
C7																									21				
C7orf25															10														
C7orf41														15	35														
C7orf43															12														
C7orf49														56															
C7orf50																									36				
C7orf60														3															
C7orf65															35										12				
C7orf73																								7					
C8A														6															
C8B														3					8										
C8orf22															45														
C8orf33															4			4											
C8orf4														3															
C8orf44															4										9				
C8orf46														5				19											
C8orf82														16															
C8orf86																									50				
C9														4	12														
C9orf114														18	26														3
C9orf123														19					8										
C9orf139																									27				
C9orf150	36																												
C9orf152																									13				
C9orf16														15															
C9orf170								13	4																				
C9orf171														2															
C9orf24																													6
C9orf40															9														
C9orf47															8				22										
C9orf64														16															
C9orf66			15																						14				
C9orf72														22															
C9orf85																									15				
C9orf91				22																					41				
C9orf96														10															
CA12														18	12										32				
CA13															20										15				
CA5B									5					26	7										10				
CAB39															3														
CAB39L																									6				
CABLES1															36														51
CABLES2															14														
CABP1														117															
CABP5															1														
CABP7														21															
CABS1														5															
CABYR																													60
CACFD1														72															
CACHD1														6	12														
CACNA1A											20			57															9
CACNA1B															6														7
CACNA1C			207											230	529	138													
CACNA1E														39	69														
CACNA1I															6														
CACNA2D2									27																				
CACNB2																									81				
CACNB4									36						28														
CACNG2								10						9															
CACNG3																			11										
CACNG4			5																										
CACNG7									4																				
CACNG8															1										59				
CACUL1								12						1		15									9				
CADM1									8						8														
CADM2									7					28	42														
CADM3															4														
CADPS														15															
CADPS2				9										36															
CALB2														34															
CALCOCO1																													36
CALCOCO2																									22				
CALCR																30			18										
CALCRL														19															
CALD1														20	105														
CALHM1									13																				
CALHM2														3															20
CALM1															9														
CALM2															3														
CALML3														9															
CALML4														6	18														
CALN1									44						58										36		10		
CALU										3				30	2	18									25				6
CAMK1D														2											15				
CAMK1G															13														
CAMK2A															8														
CAMK2B														28															
CAMK2G			138																										
CAMKK2														85	15														
CAMKMT														4															
CAMLG														3											27				
CAMSAP1															20														
CAMSAP2															11														
CAMTA1																									12				
CAND1															13														
CANT1														30															
CANX																		20											
CAP2			6											5	13														
CAPN1														48															
CAPN2														76															
CAPN5														42															
CAPN6														3															
CAPN7														9	5														
CAPRIN1															6														
CAPRIN2														76															46
CAPZA1														3															
CAPZA2														5										3					
CARD10			9																										
CARD14															4														
CARD16																													4
CARD8														110											80				
CARD9								18																					
CARHSP1																			4						14				
CARS																													6
CARTPT														34															
CASKIN1														2															
CASP1														35															
CASP10																									56				7
CASP2														36	45														73
CASP3									18																				
CASP7									84							24													
CASP8															25														
CASR														6															
CASS4																									76				
CAST														15	12														
CASZ1														11															
CAT														16															
CAV1			20																								64		
CAV2																									80				
CBFA2T2																									84				
CBFA2T3																6													
CBL														1	4										20				
CBLL1																													6
CBLN1															9														
CBLN2																									4				
CBLN3									7																				
CBLN4				6																									
CBR4														13	4														
CBX2															16														
CBX5								126						18	111	18		18							123				
CC2D1B									7					6											8				
CC2D2A														28											37				
CCAR1														19															
CCBL1														33															
CCBL2																40													
CCDC102A														23															
CCDC106														9															
CCDC107														6															20
CCDC108															10	16													
CCDC113		40		34										22											10				18
CCDC114														14															
CCDC115																									13				
CCDC117														30											21				
CCDC120																									36				
CCDC124												20																	
CCDC125														19											34				
CCDC132														66	2														
CCDC140														7															
CCDC141																									10				
CCDC144A																													
CCDC144NL														16	13										34				
CCDC148																			8						42				
CCDC149																							6						
CCDC152														65	33										18				16
CCDC169														9															
CCDC169-SOHLH2															8														
CCDC170															8										18				
CCDC171															3														
CCDC25			4											2															
CCDC30																									4				
CCDC34															6														
CCDC40														2															
CCDC42														10															
CCDC42B		10																											32
CCDC43																													4
CCDC50			12											6	4			10							26				
CCDC56																			6										
CCDC59												33																	
CCDC6														2															
CCDC62			7																										
CCDC64														7															
CCDC68									6					16	26														
CCDC69																									16				
CCDC7																													6
CCDC71L														6															
CCDC8																8									14				
CCDC81														10															
CCDC82																				12									
CCDC83														4															
CCDC85A															9				10										
CCDC88A														24															
CCDC92					7																								
CCDC93																			3										
CCER1														10	10										10				
CCK																			32										
CCL16														10											28				
CCL18																		9											
