	Acute myeloid leukemia	"BladderUrothelialCarcinoma(TCGA,US)"	Breast Cancer	"BreastCarcinoma(WTSI,UK)"	"BreastInvasiveCarcinoma(TCGA,US)"	"CervicalSquamousCellCarcinoma(TCGA,US)"	Chronic lymphocytic leukaemia	"ColonAdenocarcinoma(TCGA,US)"	Colorectal adenocarcinoma	"GastricCancer(CCGC,CN)"	Hepatocellular carcinoma	Hypodiploid_ALL	Leukemia/T-ALL	"LiverCancer(NCC,JP)"	"LiverCancer(RIKEN,JP)"	Lung	"MalignantMelanoma(WTSI,UK)"	Medulloblastoma	Melanoma	Myeloid leukemia	Myeloma	Pancreatic	"PediatricBrainTumors(DKFZ,DE)"	Prostate	"ProstateCancer(OICR,CA)"	"RectumAdenocarcinoma(TCGA,US)"	Small cell lung cancer	T-cell ALL	"UterineCorpusEndometrioidCarcinoma(TCGA,US)"
hsa-let-7a-2-3p	2		1						15	7	1	2		66	61	3		1	2	3				7	57				15
hsa-let-7a-3p	1	1	1	2				29	19	3	1	1	1	107	106	8		5		1			1	1	59	6		1	28
hsa-let-7a-5p		1	3					4	7	1		1	9	60	65	2		7	5	1				8	40	5			15
hsa-let-7b-3p	1	1	1	2				29	19	3	1	1	1	107	106	8		5		1			1	1	59	6		1	28
hsa-let-7b-5p		1	3					4	7	1		1	9	60	65	2		7	5	1				8	40	5			15
hsa-let-7c		1	3					4	7	1		1	9	60	65	2		7	5	1				8	40	5			15
hsa-let-7d-3p			1	1				16	2		1			27	42	2	2	1	1				1		4				2
hsa-let-7d-5p		1	6	3	19			4	9	2		1	9	55	60	2		4	6					4	24	5			19
hsa-let-7e-3p				1				20			1		7	25	39		2		2				1		5				8
hsa-let-7e-5p		1	3					4	7	1		1	9	61	64	2		7	5	1				8	40	5			15
hsa-let-7f-1-3p	1	1	1	2				29	19	3	1	1	1	107	106	8		5		1			1	1	59	6		1	28
hsa-let-7f-2-3p		1	3	1				5	14	5	1	1	1	83	104	3		4		1			1	2	7		2		18
hsa-let-7f-5p		1	3					4	7	1		1	9	60	65	2		7	5	1				8	40	5			15
hsa-let-7g-3p	2		1						15	7	1	2		66	61	3		1	2	3				7	57				15
hsa-let-7g-5p		1	3					4	7	1		1	9	60	65	2		7	5	1				8	40	5			15
hsa-let-7i-3p		2	1					3	7			2		34	16			1							3				17
hsa-let-7i-5p		1	3					4	7	1		1	9	60	65	2		7	5	1				8	40	5			15
hsa-miR-1			2	1	6			4	15			3		74	66	6			6				1		72				21
hsa-miR-100-3p			4	1	1		1	13	2	5		1		56	56	6		5	4				1		33	8	1		25
hsa-miR-100-5p		3							1			3		9	11										24		1		9
hsa-miR-101-3p		1	1	5				17	10	17	1		1	83	83	3		2	1	1		1			61	4	1		19
hsa-miR-101-5p		1	3	1				8	16					58	69	3			1					4	7				15
hsa-miR-103a-2-5p		6	9					25	8	2		2		85	61	2		2	5				1	2	16	1	2		38
hsa-miR-103a-3p		2	12	3		1		4	17	8		6	2	108	35	4		6	5		1	1	2	2	77	2	8		34
hsa-miR-103b	5		1					2	4	6	1			46	44	3		1				2	1		17		2		16
hsa-miR-105-3p	1	1	4	3					3	1				52	18	3			5		2	1			1			2	21
hsa-miR-105-5p		1	4				1	11	13	4	1	7	7	112	110	5		6	1	3				3	71	12	3		20
hsa-miR-106a-3p		1	4	1				11	12	1		4		60	58	6		2					1	9	72		3		22
hsa-miR-106a-5p	5	2	6	3			4	20	26	9		3	3	89	95	4	2	4	1				1		349	1	1		23
hsa-miR-106b-3p		3	1	1		1		4	10	2	2	3	2	36	28	9		2						1	28	1	4		9
hsa-miR-106b-5p	5	2	7	2			3	23	18	10	1	3	2	71	103	9	4	11	6	1			1	2	355	1	1		25
hsa-miR-107		2	12	3		1		4	17	8		6	2	108	35	4		6	5		1	1	2	2	77	2	8		34
