	Acute myeloid leukemia	"BladderUrothelialCarcinoma(TCGA,US)"	Breast Cancer	"BreastCarcinoma(WTSI,UK)"	"BreastInvasiveCarcinoma(TCGA,US)"	"CervicalSquamousCellCarcinoma(TCGA,US)"	Chronic lymphocytic leukaemia	"ColonAdenocarcinoma(TCGA,US)"	Colorectal adenocarcinoma	"GastricCancer(CCGC,CN)"	Hepatocellular carcinoma	Hypodiploid_ALL	Leukemia/T-ALL	"LiverCancer(NCC,JP)"	"LiverCancer(RIKEN,JP)"	Lung	"MalignantMelanoma(WTSI,UK)"	Medulloblastoma	Melanoma	Myeloid leukemia	Myeloma	Pancreatic	"PediatricBrainTumors(DKFZ,DE)"	Prostate	"ProstateCancer(OICR,CA)"	"RectumAdenocarcinoma(TCGA,US)"	Small cell lung cancer	T-cell ALL	"UterineCorpusEndometrioidCarcinoma(TCGA,US)"
hsa-let-7a-2-3p	2		1						6	3	1			39	30			1	2	2				3	4				8
hsa-let-7a-3p			1	1				8	6			1		44	39	5		1		1			1		57				18
hsa-let-7a-5p		1	3					2	7			1	9	40	28	1		3		1				2	16	5			9
hsa-let-7b-3p			1	1				8	6			1		44	39	5		1		1			1		57				18
hsa-let-7b-5p		1	3					2	7			1	9	40	28	1		3		1				2	16	5			9
hsa-let-7c		1	3					2	7			1	9	40	28	1		3		1				2	16	5			9
hsa-let-7d-3p														8	21		2	1	1				1		1				1
hsa-let-7d-5p			6		19			2	9	2		1	9	37	28	2		2						2	11	5			11
hsa-let-7e-3p								4						8	19				2				1		1				8
hsa-let-7e-5p		1	3					2	7			1	9	40	28	1		3		1				2	16	5			9
hsa-let-7f-1-3p			1	1				8	6			1		44	39	5		1		1			1		57				18
hsa-let-7f-2-3p		1	3					4	8	3		1		34	39	1		1		1			1	1	3				17
hsa-let-7f-5p		1	3					2	7			1	9	40	28	1		3		1				2	16	5			9
hsa-let-7g-3p	2		1						6	3	1			39	30			1	2	2				3	4				8
hsa-let-7g-5p		1	3					2	7			1	9	40	28	1		3		1				2	16	5			9
hsa-let-7i-3p		2	1					2	3					14	10										1				3
hsa-let-7i-5p		1	3					2	7			1	9	40	28	1		3		1				2	16	5			9
hsa-miR-1								4	5			3		25	28	6			4						5				17
hsa-miR-100-3p			1	1	1			5	1	2		1		19	29	6			4				1			4			20
hsa-miR-100-5p												3		7	4										6				2
hsa-miR-101-3p			1	5				6	3	4	1			49	62	3		2	1	1		1			3	4			9
hsa-miR-101-5p			2	1				4	8					27	42	1			1					4					13
hsa-miR-103a-2-5p		2	8					4	6					32	36	2			2					2	4		2		18
hsa-miR-103a-3p		2	4	1					7	8		3		44	25			4	4		1		1		19	2			18
hsa-miR-103b	5		1						1	5	1			28	36			1				2			10				7
hsa-miR-105-3p	1	1	2	3					2	1				23	9	3					2	1						1	13
hsa-miR-105-5p		1	2				1	4	11	3	1	1		34	50	1		1							11	8	3		12
hsa-miR-106a-3p			1					10	8			4		30	28	6							1	7	32		3		11
hsa-miR-106a-5p		2	3	1			3	5	9	5		2		37	38	3	2	2	1						310	1			11
hsa-miR-106b-3p		1		1		1		3	2	2				17	8			2							4				3
hsa-miR-106b-5p		2	6				2	8	11	5	1	2		35	30	3	4	6	6						312	1			13
hsa-miR-107		2	4	1					7	8		3		44	25			4	4		1		1		19	2			18
hsa-miR-10a-3p				2			1	20	9	3		1		35	50								2	1	1		3		16
hsa-miR-10a-5p			2		6			3	8					13	25	3		3				1			17	2		1	9
hsa-miR-10b-3p		2	10					11	2	1				39	60				3				1	1					8
hsa-miR-10b-5p			2		6			3	8					13	25	3		3				1			17	2		1	9
hsa-miR-1178	4	1	2					2						26	17	3			1			1		1	119		1		11
