	Acute myeloid leukemia	"BladderUrothelialCarcinoma(TCGA,US)"	Breast Cancer	"BreastCarcinoma(WTSI,UK)"	"BreastInvasiveCarcinoma(TCGA,US)"	"CervicalSquamousCellCarcinoma(TCGA,US)"	Chronic lymphocytic leukaemia	"ColonAdenocarcinoma(TCGA,US)"	Colorectal adenocarcinoma	"GastricCancer(CCGC,CN)"	Hepatocellular carcinoma	Hypodiploid_ALL	Leukemia/T-ALL	"LiverCancer(NCC,JP)"	"LiverCancer(RIKEN,JP)"	Lung	"MalignantMelanoma(WTSI,UK)"	Medulloblastoma	Melanoma	Myeloid leukemia	Myeloma	Pancreatic	"PediatricBrainTumors(DKFZ,DE)"	Prostate	"ProstateCancer(OICR,CA)"	"RectumAdenocarcinoma(TCGA,US)"	Small cell lung cancer	T-cell ALL	"UterineCorpusEndometrioidCarcinoma(TCGA,US)"
hsa-let-7a-2-3p									9	4		2		27	31	3				1				4	53				7
hsa-let-7a-3p	1	1		1				21	13	3	1		1	63	67	3		4						1	2	6		1	10
hsa-let-7a-5p								2		1				20	37	1		4	5					6	24				6
hsa-let-7b-3p	1	1		1				21	13	3	1		1	63	67	3		4						1	2	6		1	10
hsa-let-7b-5p								2		1				20	37	1		4	5					6	24				6
hsa-let-7c								2		1				20	37	1		4	5					6	24				6
hsa-let-7d-3p			1	1				16	2		1			19	21	2									3				1
hsa-let-7d-5p		1		3				2						18	32			2	6					2	13				8
hsa-let-7e-3p				1				16			1		7	17	20		2								4				
hsa-let-7e-5p								2		1				21	36	1		4	5					6	24				6
hsa-let-7f-1-3p	1	1		1				21	13	3	1		1	63	67	3		4						1	2	6		1	10
hsa-let-7f-2-3p				1				1	6	2	1		1	49	65	2		3						1	4		2		1
hsa-let-7f-5p								2		1				20	37	1		4	5					6	24				6
hsa-let-7g-3p									9	4		2		27	31	3				1				4	53				7
hsa-let-7g-5p								2		1				20	37	1		4	5					6	24				6
hsa-let-7i-3p								1	4			2		20	6			1							2				14
hsa-let-7i-5p								2		1				20	37	1		4	5					6	24				6
hsa-miR-1			2	1	6				10					49	38				2				1		67				4
hsa-miR-100-3p			3				1	8	1	3				37	27			5							33	4	1		5
hsa-miR-100-5p		3							1					2	7										18		1		7
hsa-miR-101-3p		1						11	7	13			1	34	21										58		1		10
hsa-miR-101-5p		1	1					4	8					31	27	2									7				2
hsa-miR-103a-2-5p		4	1					21	2	2		2		53	25			2	3				1		12	1			20
hsa-miR-103a-3p			8	2		1		4	10			3	2	64	10	4		2	1			1	1	2	58		8		16
hsa-miR-103b								2	3	1				18	8	3							1		7		2		9
hsa-miR-105-3p			2						1					29	9				5						1			1	8
hsa-miR-105-5p			2					7	2	1		6	7	78	60	4		5	1	3				3	60	4			8
hsa-miR-106a-3p		1	3	1				1	4	1				30	30			2						2	40				11
hsa-miR-106a-5p	5		3	2			1	15	17	4		1	3	52	57	1		2					1		39		1		12
hsa-miR-106b-3p		2	1					1	8		2	3	2	19	20	9								1	24	1	4		6
hsa-miR-106b-5p	5		1	2			1	15	7	5		1	2	36	73	6		5		1			1	2	43		1		12
hsa-miR-107			8	2		1		4	10			3	2	64	10	4		2	1			1	1	2	58		8		16
hsa-miR-10a-3p				1				27	8	1				33	34	1	1	3	1					6	33	12	2		26
hsa-miR-10a-5p		1	3						6	3				34	22	5				1				1	24				5
hsa-miR-10b-3p			5	1				3	9	3		1		47	47			1							12				11
hsa-miR-10b-5p		1	3						6	3				34	22	5				1				1	24				5
hsa-miR-1178			2	1		2		5	6			1		33	32	3		1		1					39				9
hsa-miR-1179		1		1		1		8	4	1				49	22	2								2	68				13
hsa-miR-1180			2						9	1				7	1			10					2		5				23
hsa-miR-1181														6	3										5			1	4
hsa-miR-1182		2	1					4	1					24	44	3		3	11						16				4
hsa-miR-1183			1	4					2			5	2	30	39	7					1			1	56	4			2
hsa-miR-1184			1	1				1	1	3		1	9	62	22	3		2							68		6	5	29
hsa-miR-1185-1-3p								1	5	2			1	56	72	3		3						1	7		2		1
hsa-miR-1185-2-3p								1	5	2			1	56	72	3		3						1	7		2		1
hsa-miR-1185-5p		2		1		1		6		2		2		48	29	1		2	1		1				8				11
hsa-miR-1193									1	1		3		39	20	3			8	1	2	1			33			1	5
hsa-miR-1197		3	4	2		1			1			4		44	21	1		4	10					2	5				3
hsa-miR-1200		5	6			2		5	2			1		74	38	13		1	1					2	34		1		11
hsa-miR-1202			2	5					4	1				56	32	6			2		1	1			34		1		20
hsa-miR-1203		1	3		1			3				1		22	9										3				12
hsa-miR-1204			2					1	7	4			1	46	9	7		1							3			2	21
hsa-miR-1205		3	1					1	2	3		1	9	51	34	4		1			1	1			56		6	5	17
hsa-miR-1206			1					5	2					34	33	4		1			1				8				2
hsa-miR-1207-3p			4					3			2		4	71	30	2		3	3						60		4		19
hsa-miR-1207-5p	7	3	11	2	1			8	7	1		2	2	78	41	2	3		5		1				38	3			20
hsa-miR-1208	1	2	1					5	1			1		37	28	5		1			1		2		38	4			8
hsa-miR-122-3p				3					3					7	3	2									30				13
hsa-miR-122-5p			2					1						24	27	5			7					3	27				11
hsa-miR-1224-3p		4	4				2		7	1		1		77	32	6		4	5	1	1		1	8	24		2		7
hsa-miR-1224-5p		1		3		1		17	3	2		2	1	43	24	6		2	2						21			2	7
hsa-miR-1225-3p			6	4				3			1	1		50	33	5		1			1	1		1	31	5		2	8
hsa-miR-1225-5p	1		3	2				2	3		4			29	2	3								4	9				15
