	Acute myeloid leukemia	BladderUrothelialCarcinoma(TCGA,US)	Breast Cancer	BreastCarcinoma(WTSI,UK)	BreastInvasiveCarcinoma(TCGA,US)	CervicalSquamousCellCarcinoma(TCGA,US)	Chronic lymphocytic leukaemia	ColonAdenocarcinoma(TCGA,US)	Colorectal adenocarcinoma	GastricCancer(CCGC,CN)	Hepatocellular carcinoma	Hypodiploid_ALL	Leukemia/T-ALL	LiverCancer(NCC,JP)	LiverCancer(RIKEN,JP)	Lung	MalignantMelanoma(WTSI,UK)	Medulloblastoma	Melanoma	Myeloid leukemia	Myeloma	Pancreatic	PediatricBrainTumors(DKFZ,DE)	Prostate	ProstateCancer(OICR,CA)	RectumAdenocarcinoma(TCGA,US)	Small cell lung cancer	T-cell ALL	UterineCorpusEndometrioidCarcinoma(TCGA,US)
hsa-let-7a-2-3p	0.00144717800289		7.38716111398e-05						0.000716537689882	0.00118543607113	0.000517063081696	0.000389256520047		0.000461119262209	0.000503836591752	0.000266122593808		0.000117536436295	0.0002772771385	0.0031847133758				0.00134822804314	0.000437391611289				0.000368912936547
hsa-let-7a-3p	0.000723589001447	0.00027166530834	7.38716111398e-05	0.000456725279744				0.00163740048557	0.000907614407184	0.000508044030483	0.000517063081696	0.000194628260023	0.000258197779499	0.000747572137218	0.000875519323372	0.000709660250155		0.000587682181476		0.00106157112527			0.000536480686695	0.000192604006163	0.00045273868537	0.00220507166483		0.000924214417745	0.000688637481554
hsa-let-7a-5p		0.00027166530834	0.00022161483342					0.000225848342838	0.000334384255278	0.000169348010161		0.000194628260023	0.00232378001549	0.000419199329281	0.000536875056785	0.000177415062539		0.000822755054067	0.00069319284625	0.00106157112527				0.00154083204931	0.000306941481607	0.00183755972069			0.000368912936547
hsa-let-7b-3p	0.000723589001447	0.00027166530834	7.38716111398e-05	0.000456725279744				0.00163740048557	0.000907614407184	0.000508044030483	0.000517063081696	0.000194628260023	0.000258197779499	0.000747572137218	0.000875519323372	0.000709660250155		0.000587682181476		0.00106157112527			0.000536480686695	0.000192604006163	0.00045273868537	0.00220507166483		0.000924214417745	0.000688637481554
hsa-let-7b-5p		0.00027166530834	0.00022161483342					0.000225848342838	0.000334384255278	0.000169348010161		0.000194628260023	0.00232378001549	0.000419199329281	0.000536875056785	0.000177415062539		0.000822755054067	0.00069319284625	0.00106157112527				0.00154083204931	0.000306941481607	0.00183755972069			0.000368912936547
hsa-let-7c		0.00027166530834	0.00022161483342					0.000225848342838	0.000334384255278	0.000169348010161		0.000194628260023	0.00232378001549	0.000419199329281	0.000536875056785	0.000177415062539		0.000822755054067	0.00069319284625	0.00106157112527				0.00154083204931	0.000306941481607	0.00183755972069			0.000368912936547
hsa-let-7d-3p			7.38716111398e-05	0.000228362639872				0.000903393371351	9.5538358651e-05		0.000517063081696			0.000188639698176	0.000346903882846	0.000177415062539	0.00355871886121	0.000117536436295	0.00013863856925				0.000536480686695		3.06941481607e-05				4.91883915396e-05
hsa-let-7d-5p		0.00027166530834	0.000443229666839	0.000685087919616	0.0166520595968			0.000225848342838	0.000429922613929	0.000338696020322		0.000194628260023	0.00232378001549	0.000384266051841	0.000495576975494	0.000177415062539		0.000470145745181	0.0008318314155					0.000770416024653	0.000184164888964	0.00183755972069			0.000467289719626
hsa-let-7e-3p				0.000228362639872				0.00112924171419			0.000517063081696		0.00180738445649	0.0001746663872	0.000322125034071		0.00355871886121		0.0002772771385				0.000536480686695		3.83676852008e-05				0.000196753566158
hsa-let-7e-5p		0.00027166530834	0.00022161483342					0.000225848342838	0.000334384255278	0.000169348010161		0.000194628260023	0.00232378001549	0.000426185984769	0.000528615440527	0.000177415062539		0.000822755054067	0.00069319284625	0.00106157112527				0.00154083204931	0.000306941481607	0.00183755972069			0.000368912936547
hsa-let-7f-1-3p	0.000723589001447	0.00027166530834	7.38716111398e-05	0.000456725279744				0.00163740048557	0.000907614407184	0.000508044030483	0.000517063081696	0.000194628260023	0.000258197779499	0.000747572137218	0.000875519323372	0.000709660250155		0.000587682181476		0.00106157112527			0.000536480686695	0.000192604006163	0.00045273868537	0.00220507166483		0.000924214417745	0.000688637481554
hsa-let-7f-2-3p		0.00027166530834	0.00022161483342	0.000228362639872				0.000282310428547	0.000668768510557	0.000846740050804	0.000517063081696	0.000194628260023	0.000258197779499	0.000579892405505	0.000859000090856	0.000266122593808		0.000470145745181		0.00106157112527			0.000536480686695	0.000385208012327	5.37147592811e-05		0.000715819613457		0.000442695523856
hsa-let-7f-5p		0.00027166530834	0.00022161483342					0.000225848342838	0.000334384255278	0.000169348010161		0.000194628260023	0.00232378001549	0.000419199329281	0.000536875056785	0.000177415062539		0.000822755054067	0.00069319284625	0.00106157112527				0.00154083204931	0.000306941481607	0.00183755972069			0.000368912936547
hsa-let-7g-3p	0.00144717800289		7.38716111398e-05						0.000716537689882	0.00118543607113	0.000517063081696	0.000389256520047		0.000461119262209	0.000503836591752	0.000266122593808		0.000117536436295	0.0002772771385	0.0031847133758				0.00134822804314	0.000437391611289				0.000368912936547
hsa-let-7g-5p		0.00027166530834	0.00022161483342					0.000225848342838	0.000334384255278	0.000169348010161		0.000194628260023	0.00232378001549	0.000419199329281	0.000536875056785	0.000177415062539		0.000822755054067	0.00069319284625	0.00106157112527				0.00154083204931	0.000306941481607	0.00183755972069			0.000368912936547
hsa-let-7i-3p		0.00054333061668	7.38716111398e-05					0.000169386257128	0.000334384255278			0.000389256520047		0.000237546286593	0.000132153860132			0.000117536436295							2.30206111205e-05				0.000418101328087
hsa-let-7i-5p		0.00027166530834	0.00022161483342					0.000225848342838	0.000334384255278	0.000169348010161		0.000194628260023	0.00232378001549	0.000419199329281	0.000536875056785	0.000177415062539		0.000822755054067	0.00069319284625	0.00106157112527				0.00154083204931	0.000306941481607	0.00183755972069			0.000368912936547
hsa-miR-1			0.00014774322228	0.000228362639872	0.00525854513585			0.000225848342838	0.000716537689882			0.00058388478007		0.000517012506113	0.000545134673043	0.000532245187616			0.0008318314155				0.000536480686695		0.000552494666892				0.000516478111166
hsa-miR-100-3p			0.000295486444559	0.000228362639872	0.000876424189308		0.00130548302872	0.000734007114223	9.5538358651e-05	0.000846740050804		0.000194628260023		0.000391252707329	0.000462538510461	0.000532245187616		0.000587682181476	0.000554554277				0.000536480686695		0.000253226722325	0.00294009555311	0.000357909806729		0.000614854894245
hsa-miR-100-5p		0.00081499592502							4.77691793255e-05			0.00058388478007		6.28798993922e-05	9.08557788405e-05										0.000184164888964		0.000357909806729		0.000221347761928
hsa-miR-101-3p		0.00027166530834	7.38716111398e-05	0.00114181319936				0.000959855457061	0.000477691793255	0.00287891617273	0.000517063081696		0.000258197779499	0.000579892405505	0.000685548149433	0.000266122593808		0.000235072872591	0.00013863856925	0.00106157112527		0.00141843971631			0.00046808575945	0.00147004777655	0.000357909806729		0.000467289719626
hsa-miR-101-5p		0.00027166530834	0.00022161483342	0.000228362639872				0.000451696685676	0.000764306869208					0.000405226018305	0.000569913521818	0.000266122593808			0.00013863856925					0.000770416024653	5.37147592811e-05				0.000368912936547
hsa-miR-103a-2-5p		0.00162999185004	0.000664844500259					0.00141155214274	0.000382153434604	0.000338696020322		0.000389256520047		0.000593865716482	0.000503836591752	0.000177415062539		0.000235072872591	0.00069319284625				0.000536480686695	0.000385208012327	0.000122776592643	0.000367511944138	0.000715819613457		0.000934579439252
