	Unnamed: 0	Acute myeloid leukemia	BladderUrothelialCarcinoma(TCGA,US)	Breast Cancer	BreastCarcinoma(WTSI,UK)	BreastInvasiveCarcinoma(TCGA,US)	CervicalSquamousCellCarcinoma(TCGA,US)	Chronic lymphocytic leukaemia	ColonAdenocarcinoma(TCGA,US)	Colorectal adenocarcinoma	GastricCancer(CCGC,CN)	Hepatocellular carcinoma	Hypodiploid_ALL	Leukemia/T-ALL	LiverCancer(NCC,JP)	LiverCancer(RIKEN,JP)	Lung	MalignantMelanoma(WTSI,UK)	Medulloblastoma	Melanoma	Myeloid leukemia	Myeloma	Pancreatic	PediatricBrainTumors(DKFZ,DE)	Prostate	ProstateCancer(OICR,CA)	RectumAdenocarcinoma(TCGA,US)	Small cell lung cancer	T-cell ALL	UterineCorpusEndometrioidCarcinoma(TCGA,US)
0	hsa-let-7a-2-3p	2.0		1.0						15.0	7.0	1.0	2.0		66	61	3.0		1.0	2.0	3.0				7.0	57.0				15.0
1	hsa-let-7a-3p	1.0	1.0	1.0	2.0				29.0	19.0	3.0	1.0	1.0	1.0	107	106	8.0		5.0		1.0			1.0	1.0	59.0	6.0		1.0	28.0
2	hsa-let-7a-5p		1.0	3.0					4.0	7.0	1.0		1.0	9.0	60	65	2.0		7.0	5.0	1.0				8.0	40.0	5.0			15.0
3	hsa-let-7b-3p	1.0	1.0	1.0	2.0				29.0	19.0	3.0	1.0	1.0	1.0	107	106	8.0		5.0		1.0			1.0	1.0	59.0	6.0		1.0	28.0
4	hsa-let-7b-5p		1.0	3.0					4.0	7.0	1.0		1.0	9.0	60	65	2.0		7.0	5.0	1.0				8.0	40.0	5.0			15.0
5	hsa-let-7c		1.0	3.0					4.0	7.0	1.0		1.0	9.0	60	65	2.0		7.0	5.0	1.0				8.0	40.0	5.0			15.0
6	hsa-let-7d-3p			1.0	1.0				16.0	2.0		1.0			27	42	2.0	2.0	1.0	1.0				1.0		4.0				2.0
7	hsa-let-7d-5p		1.0	6.0	3.0	19.0			4.0	9.0	2.0		1.0	9.0	55	60	2.0		4.0	6.0					4.0	24.0	5.0			19.0
8	hsa-let-7e-3p				1.0				20.0			1.0		7.0	25	39		2.0		2.0				1.0		5.0				8.0
9	hsa-let-7e-5p		1.0	3.0					4.0	7.0	1.0		1.0	9.0	61	64	2.0		7.0	5.0	1.0				8.0	40.0	5.0			15.0
