	Acute myeloid leukemia	BladderUrothelialCarcinoma(TCGA,US)	Breast Cancer	BreastCarcinoma(WTSI,UK)	BreastInvasiveCarcinoma(TCGA,US)	CervicalSquamousCellCarcinoma(TCGA,US)	Chronic lymphocytic leukaemia	ColonAdenocarcinoma(TCGA,US)	Colorectal adenocarcinoma	GastricCancer(CCGC,CN)	Hepatocellular carcinoma	Hypodiploid_ALL	Leukemia/T-ALL	LiverCancer(NCC,JP)	LiverCancer(RIKEN,JP)	Lung	MalignantMelanoma(WTSI,UK)	Medulloblastoma	Melanoma	Myeloid leukemia	Myeloma	Pancreatic	PediatricBrainTumors(DKFZ,DE)	Prostate	ProstateCancer(OICR,CA)	RectumAdenocarcinoma(TCGA,US)	Small cell lung cancer	T-cell ALL	UterineCorpusEndometrioidCarcinoma(TCGA,US)
hsa-let-7a-2-3p	0.00302571860817		0.000149543891132						0.000568666477111	0.00099239166391	0.00135135135135			0.00060065610128	0.000516786963188			0.000239808153477	0.000599520383693	0.00395256916996				0.00123609394314	5.31018094442e-05				0.00038967364832
hsa-let-7a-3p			0.000149543891132	0.000470588235294				0.00105401844532	0.000568666477111			0.000394011032309		0.000677663293752	0.000671823052144	0.000986971969996		0.000239808153477		0.00197628458498			0.00130890052356		0.000756700784579				0.000876765708719
hsa-let-7a-5p		0.000564652738566	0.000448631673396					0.000263504611331	0.000663444223296			0.000394011032309	0.00459183673469	0.000616057539774	0.000482334498975	0.000197394393999		0.000719424460432		0.00197628458498				0.00082406262876	0.000212407237777	0.0037397157816			0.000438382854359
hsa-let-7b-3p			0.000149543891132	0.000470588235294				0.00105401844532	0.000568666477111			0.000394011032309		0.000677663293752	0.000671823052144	0.000986971969996		0.000239808153477		0.00197628458498			0.00130890052356		0.000756700784579				0.000876765708719
hsa-let-7b-5p		0.000564652738566	0.000448631673396					0.000263504611331	0.000663444223296			0.000394011032309	0.00459183673469	0.000616057539774	0.000482334498975	0.000197394393999		0.000719424460432		0.00197628458498				0.00082406262876	0.000212407237777	0.0037397157816			0.000438382854359
hsa-let-7c		0.000564652738566	0.000448631673396					0.000263504611331	0.000663444223296			0.000394011032309	0.00459183673469	0.000616057539774	0.000482334498975	0.000197394393999		0.000719424460432		0.00197628458498				0.00082406262876	0.000212407237777	0.0037397157816			0.000438382854359
hsa-let-7d-3p														0.000123211507955	0.000361750874231		0.0066889632107	0.000239808153477	0.000299760191847				0.00130890052356		1.3275452361e-05				4.87092060399e-05
hsa-let-7d-5p			0.000897263346792		0.0359168241966			0.000263504611331	0.000852999715667	0.000661594442607		0.000394011032309	0.00459183673469	0.000569853224291	0.000482334498975	0.000394788787998		0.000479616306954						0.00082406262876	0.000146029975971	0.0037397157816			0.000535801266439
hsa-let-7e-3p								0.000527009222661						0.000123211507955	0.000327298410019				0.000599520383693				0.00130890052356		1.3275452361e-05				0.00038967364832
hsa-let-7e-5p		0.000564652738566	0.000448631673396					0.000263504611331	0.000663444223296			0.000394011032309	0.00459183673469	0.000616057539774	0.000482334498975	0.000197394393999		0.000719424460432		0.00197628458498				0.00082406262876	0.000212407237777	0.0037397157816			0.000438382854359
hsa-let-7f-1-3p			0.000149543891132	0.000470588235294				0.00105401844532	0.000568666477111			0.000394011032309		0.000677663293752	0.000671823052144	0.000986971969996		0.000239808153477		0.00197628458498			0.00130890052356		0.000756700784579				0.000876765708719
hsa-let-7f-2-3p		0.000564652738566	0.000448631673396					0.000527009222661	0.000758221969482	0.00099239166391		0.000394011032309		0.000523648908808	0.000671823052144	0.000197394393999		0.000239808153477		0.00197628458498			0.00130890052356	0.00041203131438	3.98263570831e-05				0.000828056502679
hsa-let-7f-5p		0.000564652738566	0.000448631673396					0.000263504611331	0.000663444223296			0.000394011032309	0.00459183673469	0.000616057539774	0.000482334498975	0.000197394393999		0.000719424460432		0.00197628458498				0.00082406262876	0.000212407237777	0.0037397157816			0.000438382854359
hsa-let-7g-3p	0.00302571860817		0.000149543891132						0.000568666477111	0.00099239166391	0.00135135135135			0.00060065610128	0.000516786963188			0.000239808153477	0.000599520383693	0.00395256916996				0.00123609394314	5.31018094442e-05				0.00038967364832
hsa-let-7g-5p		0.000564652738566	0.000448631673396					0.000263504611331	0.000663444223296			0.000394011032309	0.00459183673469	0.000616057539774	0.000482334498975	0.000197394393999		0.000719424460432		0.00197628458498				0.00082406262876	0.000212407237777	0.0037397157816			0.000438382854359
hsa-let-7i-3p		0.00112930547713	0.000149543891132					0.000263504611331	0.000284333238556					0.000215620138921	0.000172262321063										1.3275452361e-05				0.00014612761812
hsa-let-7i-5p		0.000564652738566	0.000448631673396					0.000263504611331	0.000663444223296			0.000394011032309	0.00459183673469	0.000616057539774	0.000482334498975	0.000197394393999		0.000719424460432		0.00197628458498				0.00082406262876	0.000212407237777	0.0037397157816			0.000438382854359
hsa-miR-1								0.000527009222661	0.000473888730926			0.00118203309693		0.000385035962359	0.000482334498975	0.001184366364			0.00119904076739						6.63772618052e-05				0.000828056502679
hsa-miR-100-3p			0.000149543891132	0.000470588235294	0.00189035916824			0.000658761528327	9.47777461852e-05	0.000661594442607		0.000394011032309		0.000292627331393	0.000499560731081	0.001184366364			0.00119904076739				0.00130890052356			0.00299177262528			0.000974184120799
hsa-miR-100-5p												0.00118203309693		0.00010781006946	6.8904928425e-05										7.96527141662e-05				9.74184120799e-05
hsa-miR-101-3p			0.000149543891132	0.00235294117647				0.000790513833992	0.000284333238556	0.00132318888521	0.00135135135135			0.000754670486223	0.00106802639059	0.000592183181998		0.000479616306954	0.000299760191847	0.00197628458498		0.00303951367781			3.98263570831e-05	0.00299177262528			0.000438382854359
hsa-miR-101-5p			0.000299087782264	0.000470588235294				0.000527009222661	0.000758221969482					0.000415838839348	0.000723501748463	0.000197394393999			0.000299760191847					0.00164812525752					0.000633219678519
hsa-miR-103a-2-5p		0.00112930547713	0.00119635112906					0.000527009222661	0.000568666477111					0.000492846031819	0.000620144355825	0.000394788787998			0.000599520383693					0.00082406262876	5.31018094442e-05		0.00155279503106		0.000876765708719
hsa-miR-103a-3p		0.00112930547713	0.000598175564528	0.000470588235294					0.000663444223296	0.00264637777043		0.00118203309693		0.000677663293752	0.000430655802656			0.000959232613909	0.00119904076739		0.00348432055749		0.00130890052356		0.00025223359486	0.00149588631264			0.000876765708719
hsa-miR-103b	0.00756429652042		0.000149543891132						9.47777461852e-05	0.00165398610652	0.00135135135135			0.000431240277842	0.000620144355825			0.000239808153477				0.00607902735562			0.00013275452361				0.00034096444228
hsa-miR-105-3p	0.00151285930408	0.000564652738566	0.000299087782264	0.00141176470588					0.00018955549237	0.000330797221303				0.00035423308537	0.000155036088956	0.000592183181998					0.00696864111498	0.00303951367781						0.00229357798165	0.000633219678519
hsa-miR-105-5p		0.000564652738566	0.000299087782264				0.00237529691211	0.000527009222661	0.00104255520804	0.00099239166391	0.00135135135135	0.000394011032309		0.000523648908808	0.000861311605313	0.000197394393999		0.000239808153477							0.000146029975971	0.00598354525056	0.00232919254658		0.000584510472479
hsa-miR-106a-3p			0.000149543891132					0.00131752305665	0.000758221969482			0.00157604412924		0.000462043154831	0.000482334498975	0.001184366364							0.00130890052356	0.00288421920066	0.000424814475553		0.00232919254658		0.000535801266439
hsa-miR-106a-5p		0.00112930547713	0.000448631673396	0.000470588235294			0.00712589073634	0.000658761528327	0.000852999715667	0.00165398610652		0.000788022064618		0.000569853224291	0.000654596820038	0.000592183181998	0.0066889632107	0.000479616306954	0.000299760191847						0.00411539023192	0.00074794315632			0.000535801266439
hsa-miR-106b-3p		0.000564652738566		0.000470588235294		0.00414937759336		0.000395256916996	0.00018955549237	0.000661594442607				0.000261824454404	0.00013780985685			0.000479616306954							5.31018094442e-05				0.00014612761812
