	Acute myeloid leukemia	BladderUrothelialCarcinoma(TCGA,US)	Breast Cancer	BreastCarcinoma(WTSI,UK)	BreastInvasiveCarcinoma(TCGA,US)	CervicalSquamousCellCarcinoma(TCGA,US)	Chronic lymphocytic leukaemia	ColonAdenocarcinoma(TCGA,US)	Colorectal adenocarcinoma	GastricCancer(CCGC,CN)	Hepatocellular carcinoma	Hypodiploid_ALL	Leukemia/T-ALL	LiverCancer(NCC,JP)	LiverCancer(RIKEN,JP)	Lung	MalignantMelanoma(WTSI,UK)	Medulloblastoma	Melanoma	Myeloid leukemia	Myeloma	Pancreatic	PediatricBrainTumors(DKFZ,DE)	Prostate	ProstateCancer(OICR,CA)	RectumAdenocarcinoma(TCGA,US)	Small cell lung cancer	T-cell ALL	UterineCorpusEndometrioidCarcinoma(TCGA,US)
hsa-let-7a-2-3p									0.000866801502456	0.00138792505205		0.000769230769231		0.000345264127057	0.000491907331006	0.000489396411093				0.00229357798165				0.00144665461121	0.000963794075394				0.000347739692002
hsa-let-7a-3p	0.00138696255201	0.000523560209424		0.000443655723159				0.0020748937852	0.00125204661466	0.00104094378904	0.000837520938023		0.000522739153163	0.000805616296467	0.00106315455411	0.000489396411093		0.000922083909636						0.000361663652803	3.63695877507e-05	0.00433526011561		0.0015479876161	0.000496770988574
hsa-let-7a-5p								0.000197608931924		0.000346981263012				0.000255751205228	0.000587115201523	0.000163132137031		0.000922083909636	0.00128965695125					0.00216998191682	0.000436435053009				0.000298062593145
hsa-let-7b-3p	0.00138696255201	0.000523560209424		0.000443655723159				0.0020748937852	0.00125204661466	0.00104094378904	0.000837520938023		0.000522739153163	0.000805616296467	0.00106315455411	0.000489396411093		0.000922083909636						0.000361663652803	3.63695877507e-05	0.00433526011561		0.0015479876161	0.000496770988574
hsa-let-7b-5p								0.000197608931924		0.000346981263012				0.000255751205228	0.000587115201523	0.000163132137031		0.000922083909636	0.00128965695125					0.00216998191682	0.000436435053009				0.000298062593145
hsa-let-7c								0.000197608931924		0.000346981263012				0.000255751205228	0.000587115201523	0.000163132137031		0.000922083909636	0.00128965695125					0.00216998191682	0.000436435053009				0.000298062593145
hsa-let-7d-3p			0.00014598540146	0.000443655723159				0.00158087145539	0.000192622556101		0.000837520938023			0.000242963644966	0.000333227546811	0.000326264274062									5.45543816261e-05				4.96770988574e-05
hsa-let-7d-5p		0.000523560209424		0.00133096716948				0.000197608931924						0.000230176084705	0.000507775309426			0.000461041954818	0.0015475883415					0.000723327305606	0.00023640232038				0.000397416790859
hsa-let-7e-3p				0.000443655723159				0.00158087145539			0.000837520938023		0.00365917407214	0.000217388524443	0.000317359568391		0.00760456273764								7.27391755014e-05				
hsa-let-7e-5p								0.000197608931924		0.000346981263012				0.000268538765489	0.000571247223104	0.000163132137031		0.000922083909636	0.00128965695125					0.00216998191682	0.000436435053009				0.000298062593145
hsa-let-7f-1-3p	0.00138696255201	0.000523560209424		0.000443655723159				0.0020748937852	0.00125204661466	0.00104094378904	0.000837520938023		0.000522739153163	0.000805616296467	0.00106315455411	0.000489396411093		0.000922083909636						0.000361663652803	3.63695877507e-05	0.00433526011561		0.0015479876161	0.000496770988574
hsa-let-7f-2-3p				0.000443655723159				9.88044659619e-05	0.000577867668304	0.000693962526024	0.000837520938023		0.000522739153163	0.000626590452808	0.00103141859727	0.000326264274062		0.000691562932227						0.000361663652803	7.27391755014e-05		0.00132802124834		4.96770988574e-05
hsa-let-7f-5p								0.000197608931924		0.000346981263012				0.000255751205228	0.000587115201523	0.000163132137031		0.000922083909636	0.00128965695125					0.00216998191682	0.000436435053009				0.000298062593145
hsa-let-7g-3p									0.000866801502456	0.00138792505205		0.000769230769231		0.000345264127057	0.000491907331006	0.000489396411093				0.00229357798165				0.00144665461121	0.000963794075394				0.000347739692002
hsa-let-7g-5p								0.000197608931924		0.000346981263012				0.000255751205228	0.000587115201523	0.000163132137031		0.000922083909636	0.00128965695125					0.00216998191682	0.000436435053009				0.000298062593145
hsa-let-7i-3p								9.88044659619e-05	0.000385245112203			0.000769230769231		0.000255751205228	9.52078705173e-05			0.000230520977409							3.63695877507e-05				0.000695479384004
