	Acute myeloid leukemia	BladderUrothelialCarcinoma(TCGA,US)	Breast Cancer	BreastCarcinoma(WTSI,UK)	BreastInvasiveCarcinoma(TCGA,US)	CervicalSquamousCellCarcinoma(TCGA,US)	Chronic lymphocytic leukaemia	ColonAdenocarcinoma(TCGA,US)	Colorectal adenocarcinoma	GastricCancer(CCGC,CN)	Hepatocellular carcinoma	Hypodiploid_ALL	Leukemia/T-ALL	LiverCancer(NCC,JP)	LiverCancer(RIKEN,JP)	Lung	MalignantMelanoma(WTSI,UK)	Medulloblastoma	Melanoma	Myeloid leukemia	Myeloma	Pancreatic	PediatricBrainTumors(DKFZ,DE)	Prostate	ProstateCancer(OICR,CA)	RectumAdenocarcinoma(TCGA,US)	Small cell lung cancer	T-cell ALL	UterineCorpusEndometrioidCarcinoma(TCGA,US)
hsa-let-7a-2-3p									9.0	4.0		2.0		27	31.0	3.0				1.0				4.0	53.0				7.0
hsa-let-7a-3p	1.0	1.0		1.0				21.0	13.0	3.0	1.0		1.0	63	67.0	3.0		4.0						1.0	2.0	6.0		1.0	10.0
hsa-let-7a-5p								2.0		1.0				20	37.0	1.0		4.0	5.0					6.0	24.0				6.0
hsa-let-7b-3p	1.0	1.0		1.0				21.0	13.0	3.0	1.0		1.0	63	67.0	3.0		4.0						1.0	2.0	6.0		1.0	10.0
hsa-let-7b-5p								2.0		1.0				20	37.0	1.0		4.0	5.0					6.0	24.0				6.0
hsa-let-7c								2.0		1.0				20	37.0	1.0		4.0	5.0					6.0	24.0				6.0
hsa-let-7d-3p			1.0	1.0				16.0	2.0		1.0			19	21.0	2.0									3.0				1.0
hsa-let-7d-5p		1.0		3.0				2.0						18	32.0			2.0	6.0					2.0	13.0				8.0
hsa-let-7e-3p				1.0				16.0			1.0		7.0	17	20.0		2.0								4.0				
hsa-let-7e-5p								2.0		1.0				21	36.0	1.0		4.0	5.0					6.0	24.0				6.0
hsa-let-7f-1-3p	1.0	1.0		1.0				21.0	13.0	3.0	1.0		1.0	63	67.0	3.0		4.0						1.0	2.0	6.0		1.0	10.0
hsa-let-7f-2-3p				1.0				1.0	6.0	2.0	1.0		1.0	49	65.0	2.0		3.0						1.0	4.0		2.0		1.0
hsa-let-7f-5p								2.0		1.0				20	37.0	1.0		4.0	5.0					6.0	24.0				6.0
hsa-let-7g-3p									9.0	4.0		2.0		27	31.0	3.0				1.0				4.0	53.0				7.0
hsa-let-7g-5p								2.0		1.0				20	37.0	1.0		4.0	5.0					6.0	24.0				6.0
hsa-let-7i-3p								1.0	4.0			2.0		20	6.0			1.0							2.0				14.0
hsa-let-7i-5p								2.0		1.0				20	37.0	1.0		4.0	5.0					6.0	24.0				6.0
hsa-miR-1			2.0	1.0	6.0				10.0					49	38.0				2.0				1.0		67.0				4.0
hsa-miR-100-3p			3.0				1.0	8.0	1.0	3.0				37	27.0			5.0							33.0	4.0	1.0		5.0
hsa-miR-100-5p		3.0							1.0					2	7.0										18.0		1.0		7.0
hsa-miR-101-3p		1.0						11.0	7.0	13.0			1.0	34	21.0										58.0		1.0		10.0
hsa-miR-101-5p		1.0	1.0					4.0	8.0					31	27.0	2.0									7.0				2.0
hsa-miR-103a-2-5p		4.0	1.0					21.0	2.0	2.0		2.0		53	25.0			2.0	3.0				1.0		12.0	1.0			20.0
hsa-miR-103a-3p			8.0	2.0		1.0		4.0	10.0			3.0	2.0	64	10.0	4.0		2.0	1.0			1.0	1.0	2.0	58.0		8.0		16.0
hsa-miR-103b								2.0	3.0	1.0				18	8.0	3.0							1.0		7.0		2.0		9.0
hsa-miR-105-3p			2.0						1.0					29	9.0				5.0						1.0			1.0	8.0
hsa-miR-105-5p			2.0					7.0	2.0	1.0		6.0	7.0	78	60.0	4.0		5.0	1.0	3.0				3.0	60.0	4.0			8.0
hsa-miR-106a-3p		1.0	3.0	1.0				1.0	4.0	1.0				30	30.0			2.0						2.0	40.0				11.0
hsa-miR-106a-5p	5.0		3.0	2.0			1.0	15.0	17.0	4.0		1.0	3.0	52	57.0	1.0		2.0					1.0		39.0		1.0		12.0
hsa-miR-106b-3p		2.0	1.0					1.0	8.0		2.0	3.0	2.0	19	20.0	9.0								1.0	24.0	1.0	4.0		6.0
hsa-miR-106b-5p	5.0		1.0	2.0			1.0	15.0	7.0	5.0		1.0	2.0	36	73.0	6.0		5.0		1.0			1.0	2.0	43.0		1.0		12.0
hsa-miR-107			8.0	2.0		1.0		4.0	10.0			3.0	2.0	64	10.0	4.0		2.0	1.0			1.0	1.0	2.0	58.0		8.0		16.0
hsa-miR-10a-3p				1.0				27.0	8.0	1.0				33	34.0	1.0	1.0	3.0	1.0					6.0	33.0	12.0	2.0		26.0
hsa-miR-10a-5p		1.0	3.0						6.0	3.0				34	22.0	5.0				1.0				1.0	24.0				5.0
hsa-miR-10b-3p			5.0	1.0				3.0	9.0	3.0		1.0		47	47.0			1.0							12.0				11.0
hsa-miR-10b-5p		1.0	3.0						6.0	3.0				34	22.0	5.0				1.0				1.0	24.0				5.0
hsa-miR-1178			2.0	1.0		2.0		5.0	6.0			1.0		33	32.0	3.0		1.0		1.0					39.0				9.0
hsa-miR-1179		1.0		1.0		1.0		8.0	4.0	1.0				49	22.0	2.0								2.0	68.0				13.0
hsa-miR-1180			2.0						9.0	1.0				7	1.0			10.0					2.0		5.0				23.0
hsa-miR-1181														6	3.0										5.0			1.0	4.0
hsa-miR-1182		2.0	1.0					4.0	1.0					24	44.0	3.0		3.0	11.0						16.0				4.0
