miR Family	Gene Symbol
let-7/98/4458/4500	A1CF
let-7/98/4458/4500	AAK1
let-7/98/4458/4500	AASS
let-7/98/4458/4500	ABCB9
let-7/98/4458/4500	ABCC10
let-7/98/4458/4500	ABCC5
let-7/98/4458/4500	ABL2
let-7/98/4458/4500	ACER2
let-7/98/4458/4500	ACER3
let-7/98/4458/4500	ACSL6
let-7/98/4458/4500	ACTA1
let-7/98/4458/4500	ACTR10
let-7/98/4458/4500	ACVR1B
let-7/98/4458/4500	ACVR1C
let-7/98/4458/4500	ACVR2A
let-7/98/4458/4500	ACVR2B
let-7/98/4458/4500	ADAMTS1
let-7/98/4458/4500	ADAMTS14
let-7/98/4458/4500	ADAMTS15
let-7/98/4458/4500	ADAMTS17
let-7/98/4458/4500	ADAMTS5
let-7/98/4458/4500	ADAMTS8
let-7/98/4458/4500	ADCY9
let-7/98/4458/4500	ADIPOR2
let-7/98/4458/4500	ADRB1
let-7/98/4458/4500	ADRB2
let-7/98/4458/4500	ADRB3
let-7/98/4458/4500	ADRBK2
let-7/98/4458/4500	AEN
let-7/98/4458/4500	AFF2
let-7/98/4458/4500	AGPAT6
let-7/98/4458/4500	AHCTF1
let-7/98/4458/4500	AKAP5
let-7/98/4458/4500	AKAP6
let-7/98/4458/4500	AKNA
let-7/98/4458/4500	AKT2
let-7/98/4458/4500	ALKBH1
let-7/98/4458/4500	ALPK3
let-7/98/4458/4500	AMMECR1L
let-7/98/4458/4500	AMOT
let-7/98/4458/4500	AMT
let-7/98/4458/4500	ANGPTL2
let-7/98/4458/4500	ANKFY1
let-7/98/4458/4500	ANKH
let-7/98/4458/4500	ANKRA2
let-7/98/4458/4500	ANKRD12
let-7/98/4458/4500	ANKRD28
let-7/98/4458/4500	ANKRD30A
let-7/98/4458/4500	ANKRD33B
let-7/98/4458/4500	ANKRD43
let-7/98/4458/4500	ANKRD46
let-7/98/4458/4500	ANKRD49
let-7/98/4458/4500	ANKRD52
let-7/98/4458/4500	AP1S1
let-7/98/4458/4500	AP4E1
let-7/98/4458/4500	APBA1
let-7/98/4458/4500	APBB3
let-7/98/4458/4500	APC2
let-7/98/4458/4500	APPBP2
let-7/98/4458/4500	AQP4
let-7/98/4458/4500	AQPEP
let-7/98/4458/4500	ARHGAP20
let-7/98/4458/4500	ARHGAP28
let-7/98/4458/4500	ARHGEF15
let-7/98/4458/4500	ARHGEF38
let-7/98/4458/4500	ARHGEF7
let-7/98/4458/4500	ARID3A
let-7/98/4458/4500	ARID3B
let-7/98/4458/4500	ARL4D
let-7/98/4458/4500	ARL5A
let-7/98/4458/4500	ARL6IP6
let-7/98/4458/4500	ARMC8
let-7/98/4458/4500	ARPP19
let-7/98/4458/4500	ARRDC4
let-7/98/4458/4500	ARSI
let-7/98/4458/4500	ASAH1
let-7/98/4458/4500	ASPHD2
let-7/98/4458/4500	ATAD2B
let-7/98/4458/4500	ATF7
let-7/98/4458/4500	ATG16L1
let-7/98/4458/4500	ATG4B
let-7/98/4458/4500	ATG9A
let-7/98/4458/4500	ATP2A2
let-7/98/4458/4500	ATP2B4
let-7/98/4458/4500	ATP7B
let-7/98/4458/4500	ATP8B4
let-7/98/4458/4500	ATPAF1
let-7/98/4458/4500	ATXN1L
let-7/98/4458/4500	ATXN7L2
let-7/98/4458/4500	ATXN7L3
let-7/98/4458/4500	ATXN7L3B
let-7/98/4458/4500	AURKB
let-7/98/4458/4500	AVEN
let-7/98/4458/4500	B3GAT1
let-7/98/4458/4500	B3GAT3
let-7/98/4458/4500	B3GNT1
let-7/98/4458/4500	B3GNT7
let-7/98/4458/4500	BACE2
let-7/98/4458/4500	BACH1
let-7/98/4458/4500	BAHD1
let-7/98/4458/4500	BAIAP2
let-7/98/4458/4500	BBX
let-7/98/4458/4500	BCAP29
let-7/98/4458/4500	BCAT1
let-7/98/4458/4500	BCL2L1
let-7/98/4458/4500	BCL7A
let-7/98/4458/4500	BEGAIN
let-7/98/4458/4500	BEND4
let-7/98/4458/4500	BIN3
let-7/98/4458/4500	BNC2
let-7/98/4458/4500	BRD3
let-7/98/4458/4500	BRF2
let-7/98/4458/4500	BRWD1
let-7/98/4458/4500	BRWD3
