miRNA	Genesymbol
hsa-miR-5002-3p	CTXN1
hsa-miR-5589-5p	ORAI2
hsa-miR-1226-5p	HMGA1
hsa-miR-3151	SYT7
hsa-miR-4728-5p	CBX5
hsa-miR-4496	PLTP
hsa-miR-4496	PLTP
hsa-miR-4496	PLTP
hsa-miR-4496	PLTP
hsa-miR-3175	TRIM67
hsa-miR-202-3p	APOBEC3D
hsa-miR-4323	TP73
hsa-miR-4723-5p	DYNLRB1
hsa-miR-4751	HMGA1
hsa-miR-4751	HMGA1
hsa-miR-4751	HMGA1
hsa-miR-4751	HMGA1
hsa-miR-4751	HMGA1
hsa-miR-4751	HMGA1
hsa-miR-3960	COLQ
hsa-miR-3960	COLQ
hsa-miR-3960	COLQ
hsa-miR-5191	CARTPT
hsa-miR-548p	KCNK3
hsa-miR-4498	DFNB31
hsa-miR-18a-3p	KCNK6
hsa-miR-4685-5p	PHLDB3
hsa-miR-4523	LRIG1
hsa-miR-638	RHOV
hsa-miR-4451	KRT82
hsa-miR-4640-3p	ATF5
hsa-miR-4640-3p	ATF5
hsa-miR-4647	HNF1A
hsa-miR-1225-5p	ONECUT2
hsa-miR-4706	MRPS5
hsa-miR-4463	C14orf1
hsa-miR-4273	NSMF
hsa-miR-4273	NSMF
hsa-miR-4273	NSMF
hsa-miR-4273	NSMF
hsa-miR-4273	NSMF
hsa-miR-1260b	EXOC7
hsa-miR-3908	CD22
hsa-miR-3908	CD22
hsa-miR-3908	CD22
hsa-miR-4767	FLVCR1
hsa-miR-4663	C20orf96
hsa-miR-4663	C20orf96
hsa-miR-3145-3p	AFF2
hsa-miR-3908	CD22
hsa-miR-4697-3p	LY6D
hsa-miR-125a-3p	FAM124A
hsa-miR-766-5p	ZNF3
hsa-miR-519c-3p	IQCG
hsa-miR-1343	SERPINA1
hsa-miR-24-1-5p	LRRCC1
hsa-miR-4658	SYNPO2L
hsa-miR-4658	SYNPO2L
hsa-let-7i-5p	CGA
hsa-let-7i-5p	CGA
hsa-miR-3180-5p	C19orf18
hsa-miR-3199	MCHR2
hsa-miR-3199	MCHR2
hsa-miR-3622a-3p	GOLGA2
hsa-miR-3135b	FAM185A
hsa-miR-3135b	FAM185A
hsa-miR-1285-3p	ZBBX
hsa-miR-1285-3p	ZBBX
hsa-miR-1285-3p	ZBBX
hsa-miR-4723-5p	RPL23A
hsa-miR-3688-5p	FAM221B
hsa-miR-3173-3p	PEMT
hsa-miR-3173-3p	PEMT
hsa-miR-3173-3p	PEMT
hsa-miR-550a-5p	PPFIA4
hsa-miR-650	KATNA1
hsa-miR-3202	GADD45B
hsa-miR-181d	TMEM70
hsa-miR-181d	TMEM70
hsa-miR-4725-5p	ARHGAP40
hsa-miR-550b-2-5p	ENTPD5
hsa-miR-4298	TUBG1
hsa-miR-500a-3p	HPN
hsa-miR-500a-3p	HPN
hsa-miR-4800-5p	TMUB1
hsa-miR-4800-5p	TMUB1
hsa-miR-30c-1-3p	CBX5
hsa-miR-4650-3p	KRT82
hsa-miR-486-3p	SPAG5
hsa-miR-92b-5p	ESM1
hsa-miR-92b-5p	ESM1
hsa-miR-127-3p	GOSR1
hsa-miR-127-3p	GOSR1
hsa-miR-127-3p	GOSR1
hsa-miR-504	C1orf116
hsa-miR-7-2-3p	LTBP3
hsa-miR-7-2-3p	LTBP3
hsa-miR-7-2-3p	LTBP3
hsa-miR-5000-3p	PDE2A
hsa-miR-5000-3p	PDE2A
hsa-miR-5000-3p	PDE2A
hsa-miR-5000-3p	PDE2A
hsa-miR-3928	ZNF620
hsa-miR-3928	ZNF620
hsa-miR-3928	ZNF620
hsa-miR-4499	PLEKHA5
hsa-miR-139-3p	C11orf68
hsa-miR-139-3p	C11orf68
hsa-miR-3916	HDGFL1
hsa-miR-1911-5p	DVL2
hsa-miR-373-5p	GOLGA7B
hsa-miR-4632	MIA3
hsa-miR-2277-5p	DTNA
hsa-miR-4491	LCN10
hsa-miR-4663	RPAIN
hsa-miR-4663	RPAIN
hsa-miR-4663	RPAIN
hsa-miR-4663	RPAIN
hsa-miR-197-5p	UBE2C
hsa-miR-2278	ZNF805
hsa-miR-181c-5p	GTPBP8
hsa-miR-4430	SPDYE1
hsa-miR-658	ATP2C1
hsa-miR-658	ATP2C1
