	Variance
hsa-miR-3613-3p	4816.206897
hsa-miR-548aj-3p	2072.810345
hsa-miR-548x-3p	2072.810345
hsa-miR-4505	5110.305419
hsa-miR-5589-5p	4402.79064
hsa-miR-548c-3p	1589.571429
hsa-miR-30b-3p	4571.921182
hsa-miR-3689a-3p	4571.921182
hsa-miR-3689b-3p	4571.921182
hsa-miR-3689c	4571.921182
hsa-miR-204-3p	3287.150246
hsa-miR-3192	4128.958128
hsa-miR-548ae	1469.23399
hsa-miR-548ah-3p	1469.23399
hsa-miR-548am-3p	1469.23399
hsa-miR-548aq-3p	1469.23399
hsa-miR-30c-1-3p	3994.793103
hsa-miR-30c-2-3p	3994.793103
hsa-miR-612	2874.455665
hsa-miR-548ac	1405.475369
hsa-miR-548d-3p	1405.475369
hsa-miR-548h-3p	1405.475369
hsa-miR-548z	1405.475369
hsa-miR-4731-5p	2704.475369
hsa-miR-4486	2764.332512
hsa-miR-4646-5p	2671.435961
hsa-miR-4314	2492.115764
hsa-miR-4530	2299.933498
hsa-miR-450b-3p	3797.524631
hsa-miR-1287	3051.928571
hsa-miR-4733-5p	3383.935961
hsa-miR-4298	2293.433498
hsa-miR-338-3p	2503.908867
hsa-miR-4282	746.591133
hsa-miR-769-3p	2551.465517
hsa-miR-17-5p	1780.1133
hsa-miR-20b-5p	1780.1133
hsa-miR-519a-3p	2271.6133
hsa-miR-519b-3p	2271.6133
hsa-miR-519c-3p	2271.6133
hsa-miR-519d	1780.1133
hsa-miR-93-5p	1780.1133
hsa-miR-106a-5p	1699.458128
hsa-miR-520g	1197.433498
hsa-miR-520h	1197.433498
hsa-miR-106b-5p	1676.453202
hsa-miR-20a-5p	1676.453202
hsa-miR-4695-5p	1449.219212
hsa-miR-548t-5p	1067.598522
hsa-miR-5580-5p	1803.564039
hsa-miR-512-3p	2338.650246
hsa-miR-3973	1061.470443
hsa-miR-4438	1476.472906
hsa-miR-4514	1480.258621
hsa-miR-3163	808.4482759
hsa-miR-129-5p	548.0788177
hsa-miR-3692-5p	1745.650246
hsa-miR-372	1691.007389
hsa-miR-4698	637.5073892
hsa-miR-520a-3p	1691.007389
hsa-miR-520b	1691.007389
hsa-miR-520c-3p	1691.007389
hsa-miR-520d-3p	1691.007389
hsa-miR-520e	1691.007389
hsa-miR-590-3p	666.1896552
hsa-miR-3065-3p	1566.096059
hsa-miR-3612	1192.167488
hsa-miR-650	1192.167488
hsa-miR-526b-3p	1509.785714
hsa-miR-3609	1091.391626
hsa-miR-548e	677.4950739
hsa-miR-548f	677.4950739
hsa-miR-548ah-5p	1052.310345
hsa-miR-634	1653.862069
hsa-miR-1260a	1200.849754
hsa-miR-1260b	1200.849754
hsa-miR-4673	1040.992611
hsa-miR-495	629.6009852
hsa-miR-561-3p	933.4581281
hsa-miR-4430	1203.327586
hsa-miR-1277-5p	776.7586207
hsa-miR-373-3p	1575.970443
hsa-miR-3913-5p	1327.600985
hsa-miR-4769-5p	1274.078818
hsa-miR-329	732.6674877
hsa-miR-335-3p	435.0246305
hsa-miR-362-3p	732.6674877
hsa-miR-4425	1573.20936
hsa-miR-4654	1243.637931
hsa-miR-4645-5p	1013.105911
hsa-miR-4731-3p	558.820197
hsa-miR-548o-3p	554.320197
hsa-miR-9-5p	886.0665025
hsa-miR-4325	1697.310345
hsa-miR-4692	1005.096059
hsa-miR-5095	1024.881773
hsa-miR-1302	1171.980296
hsa-miR-150-5p	1134.504926
hsa-miR-302a-3p	1458.098522
hsa-miR-302b-3p	1458.098522
hsa-miR-302c-3p	1458.098522
hsa-miR-302d-3p	1458.098522
hsa-miR-302e	1458.098522
hsa-miR-4796-3p	942.455665
hsa-miR-485-5p	1054.884236
hsa-miR-4775	483.2068966
hsa-miR-548aa	578.3497537
hsa-miR-548ap-3p	578.3497537
hsa-miR-548t-3p	578.3497537
hsa-miR-520f	1404.364532
hsa-miR-186-3p	941.0418719
hsa-miR-3929	1036.184729
hsa-miR-4419b	1036.184729
hsa-miR-4478	1036.184729
hsa-miR-5688	532.8275862
hsa-miR-3135b	841.6157635
hsa-miR-3148	582.3300493
hsa-miR-4728-5p	774.3300493
hsa-miR-7-1-3p	502.1157635
hsa-miR-7-2-3p	502.1157635
hsa-miR-3662	449.9014778
hsa-miR-1343	813.0418719
hsa-miR-3122	1200.091133
hsa-miR-377-3p	615.2339901
hsa-miR-4659a-3p	443.591133
hsa-miR-4659b-3p	443.591133
hsa-miR-519e-3p	1413.162562
hsa-miR-582-5p	744.091133
hsa-miR-3194-5p	799.2931034
hsa-miR-4254	849.0788177
hsa-miR-5089	1354.650246
hsa-miR-1321	663.8497537
hsa-miR-4756-5p	663.8497537
hsa-miR-513a-3p	424.3497537
hsa-miR-513c-3p	424.3497537
hsa-miR-3646	461.9039409
hsa-miR-4459	638.1896552
hsa-miR-2116-3p	788.6699507
hsa-miR-17-3p	724.6477833
hsa-miR-186-5p	399.1477833
hsa-miR-371b-3p	1307.576355
hsa-miR-4450	1102.576355
hsa-miR-532-3p	803.2906404
hsa-miR-661	914.5763547
hsa-miR-4713-5p	823.0517241
hsa-miR-4739	636.0960591
hsa-miR-4789-3p	451.137931
hsa-miR-34c-5p	752.8916256
hsa-miR-449b-5p	752.8916256
hsa-miR-4763-3p	476.5
hsa-miR-5692a	542.3571429
hsa-miR-149-3p	651.4630542
hsa-miR-3065-5p	448.6773399
hsa-miR-605	988.5344828
hsa-miR-570-3p	439.2093596
hsa-miR-3689d	691.5960591
hsa-miR-520d-5p	460.6674877
hsa-miR-524-5p	460.6674877
hsa-miR-5590-3p	456.2660099
hsa-miR-2682-5p	726.6699507
hsa-miR-4722-5p	565.5985222
hsa-miR-4320	1180.349754
hsa-miR-4719	390.6502463
hsa-miR-2052	361.3152709
hsa-miR-3652	736.2438424
hsa-miR-3937	933.3866995
hsa-miR-1323	445.8275862
hsa-miR-371a-3p	1288.401478
hsa-miR-5187-5p	1147.187192
hsa-miR-1207-5p	413.1157635
hsa-miR-944	368.2561576
hsa-miR-4666a-3p	370.8940887
hsa-miR-4768-3p	493.3226601
hsa-miR-188-3p	568.2216749
hsa-miR-4736	412.5788177
hsa-miR-3116	652.8497537
hsa-miR-3686	709.2068966
hsa-miR-4729	446.8497537
hsa-miR-3133	387.046798
hsa-miR-4763-5p	745.1182266
hsa-miR-4492	518.5270936
hsa-miR-660-3p	558.5270936
hsa-miR-762	518.5270936
hsa-miR-500a-5p	1011.908867
hsa-miR-4517	465.453202
hsa-miR-600	679.2389163
hsa-miR-665	509.2389163
hsa-miR-1915-3p	471.5665025
hsa-miR-3607-3p	651.7093596
hsa-miR-1285-3p	408.6059113
hsa-miR-4713-3p	1094.534483
hsa-miR-5189	408.6059113
hsa-miR-3159	1127.357143
hsa-miR-3187-5p	391.0714286
hsa-miR-4418	418.6773399
hsa-miR-4443	611.1059113
hsa-miR-4498	490.9630542
hsa-miR-4691-3p	553.1059113
hsa-miR-4755-3p	558.4630542
hsa-miR-5003-3p	334.4630542
hsa-miR-4293	793.0665025
hsa-miR-4700-5p	350.7807882
hsa-miR-4801	355.4236453
hsa-miR-5001-5p	474.7093596
hsa-miR-4307	289.953202
hsa-miR-374b-5p	447.8374384
hsa-miR-603	356.7660099
hsa-miR-940	397.8374384
hsa-miR-1200	476.2192118
hsa-miR-3664-3p	535.5763547
hsa-miR-4685-5p	402.862069
hsa-miR-637	336.362069
hsa-miR-1827	403.5985222
hsa-miR-3156-3p	539.455665
hsa-miR-543	381.5985222
hsa-miR-1911-3p	480.546798
hsa-miR-1976	489.1896552
hsa-miR-3714	392.3054187
hsa-miR-4251	380.1625616
hsa-miR-494	370.3768473
hsa-miR-374c-5p	399.0369458
hsa-miR-655	399.0369458
hsa-miR-378a-5p	479.5418719
hsa-miR-1286	366.544335
hsa-miR-214-5p	661.7586207
hsa-miR-330-5p	281.1871921
hsa-miR-4433-3p	474.044335
hsa-miR-604	595.7586207
hsa-miR-380-3p	554.2561576
hsa-miR-5010-3p	245.5418719
hsa-miR-1305	261.8866995
hsa-miR-300	325.1724138
hsa-miR-3681-3p	284.8152709
hsa-miR-381	325.1724138
hsa-miR-4473	993.2438424
hsa-miR-3155a	509.2339901
hsa-miR-3155b	509.2339901
hsa-miR-3941	349.3054187
hsa-miR-126-5p	352.5788177
hsa-miR-1304-5p	414.9359606
hsa-miR-2467-5p	540.9359606
hsa-miR-3191-5p	238.7931034
hsa-miR-4663	496.7931034
hsa-miR-4742-5p	451.6502463
hsa-miR-128	258.8497537
hsa-miR-2054	630.5640394
hsa-miR-34b-5p	405.3497537
hsa-miR-449c-5p	405.3497537
hsa-miR-4717-3p	288.7068966
hsa-miR-548a-3p	336.6182266
hsa-miR-4665-5p	292.1699507
hsa-miR-4667-5p	291.5985222
hsa-miR-4668-5p	345.8842365
hsa-miR-512-5p	498.7413793
hsa-miR-522-3p	311.3842365
hsa-miR-539-5p	275.8842365
hsa-miR-224-3p	311.7906404
hsa-miR-3975	601.2906404
hsa-miR-3197	598.408867
hsa-miR-4311	260.4802956
hsa-miR-1254	409.8103448
hsa-miR-4329	393.3103448
hsa-miR-4699-3p	379.453202
hsa-miR-486-5p	707.953202
hsa-miR-326	283.8522167
hsa-miR-410	424.2807882
hsa-miR-548aj-5p	284.0665025
hsa-miR-548g-5p	284.0665025
hsa-miR-548x-5p	284.0665025
hsa-miR-1283	316.0344828
hsa-miR-340-5p	352.320197
hsa-miR-3919	276.7487685
hsa-miR-548n	280.320197
hsa-miR-3150a-3p	245.5714286
hsa-miR-4436a	295.2857143
hsa-miR-4519	348.9285714
hsa-miR-4668-3p	239.7857143
hsa-miR-657	314.5
hsa-miR-3173-3p	309.5344828
hsa-miR-4261	287.820197
hsa-miR-1295b-5p	368.4950739
hsa-miR-374a-5p	310.637931
hsa-miR-4435	393.7093596
hsa-miR-4722-3p	308.637931
hsa-miR-4726-3p	343.5665025
hsa-miR-509-3-5p	353.0665025
hsa-miR-509-5p	353.0665025
hsa-miR-873-5p	285.137931
hsa-miR-3619-5p	254.0960591
hsa-miR-4649-3p	335.953202
hsa-miR-4778-5p	236.3103448
hsa-miR-3123	263.2192118
hsa-miR-5093	279.9334975
hsa-miR-766-3p	373.5763547
hsa-miR-885-3p	318.7192118
hsa-miR-143-3p	284.5270936
hsa-miR-203	265.1699507
hsa-miR-3145-3p	337.455665
hsa-miR-4770	284.5270936
hsa-miR-548u	254.7413793
hsa-miR-27a-3p	218.6896552
hsa-miR-27b-3p	218.6896552
hsa-miR-3121-3p	345.2610837
hsa-miR-3180-5p	249.4039409
hsa-miR-484	513.046798
hsa-miR-548ar-3p	274.4039409
hsa-miR-4267	404.2783251
hsa-miR-4476	246.5640394
hsa-miR-4528	268.9211823
hsa-miR-4662b	252.4926108
hsa-miR-4781-3p	432.9926108
hsa-miR-142-5p	315.0073892
hsa-miR-3124-3p	209.864532
hsa-miR-3149	293.864532
hsa-miR-4797-5p	286.364532
hsa-miR-3650	323.1625616
hsa-miR-4701-5p	424.091133
hsa-miR-588	424.091133
hsa-miR-656	339.2339901
hsa-miR-3190-5p	312.9581281
hsa-miR-3678-3p	243.0295567
hsa-miR-4292	307.6009852
hsa-miR-4643	226.4581281
hsa-miR-4795-3p	309.2438424
hsa-miR-4803	329.9581281
hsa-miR-942	255.9581281
hsa-miR-20a-3p	364.3226601
hsa-miR-4723-5p	290.5369458
hsa-miR-4756-3p	257.0369458
hsa-miR-548as-3p	261.0369458
hsa-miR-5572	437.2512315
hsa-miR-5698	290.5369458
hsa-miR-216b	265.4704433
hsa-miR-518c-5p	207.3990148
hsa-miR-5582-3p	269.3275862
hsa-miR-1266	361.544335
hsa-miR-3170	238.8300493
hsa-miR-4269	306.6157635
hsa-miR-4324	301.8300493
hsa-miR-4496	227.7586207
hsa-miR-5008-5p	391.2586207
hsa-miR-875-3p	249.1157635
hsa-miR-32-3p	321.3300493
hsa-miR-4300	393.8300493
hsa-miR-4768-5p	189.9014778
hsa-miR-5591-5p	393.8300493
hsa-miR-1273g-3p	287.0418719
hsa-miR-181a-5p	258.8990148
hsa-miR-181b-5p	258.8990148
hsa-miR-181c-5p	258.8990148
hsa-miR-181d	258.8990148
hsa-miR-19a-5p	268.8990148
hsa-miR-19b-1-5p	268.8990148
hsa-miR-19b-2-5p	268.8990148
hsa-miR-298	236.5418719
hsa-miR-378g	279.0418719
hsa-miR-4747-5p	248.3275862
hsa-miR-5196-5p	248.3275862
hsa-miR-595	349.1847291
hsa-miR-541-5p	286.679803
hsa-miR-5680	254.8940887
hsa-miR-2467-3p	221.7438424
hsa-miR-330-3p	233.2438424
hsa-miR-3944-5p	279.1009852
hsa-miR-4266	411.1009852
hsa-let-7a-3p	251.6625616
hsa-let-7b-3p	251.6625616
hsa-let-7f-1-3p	251.6625616
hsa-miR-4652-3p	200.0197044
hsa-miR-23a-3p	206.2931034
hsa-miR-23b-3p	206.2931034
hsa-miR-23c	206.2931034
hsa-miR-371b-5p	216.5788177
hsa-miR-373-5p	216.5788177
hsa-miR-5001-3p	274.6502463
hsa-miR-552	212.7216749
hsa-miR-593-3p	193.6502463
hsa-miR-616-5p	216.5788177
hsa-miR-759	254.5073892
hsa-miR-143-5p	353.9211823
hsa-miR-221-5p	313.135468
hsa-miR-302b-5p	304.3497537
hsa-miR-302d-5p	304.3497537
hsa-miR-3188	348.4211823
hsa-miR-3926	339.5640394
hsa-miR-520a-5p	273.635468
hsa-miR-525-5p	273.635468
hsa-miR-1270	305.7610837
hsa-miR-130b-5p	176.4039409
hsa-miR-4753-3p	175.6896552
hsa-miR-580	244.6896552
hsa-miR-105-5p	244.5985222
hsa-miR-361-3p	309.1699507
hsa-miR-4291	232.7413793
hsa-miR-513a-5p	173.5985222
hsa-miR-513c-5p	205.0985222
hsa-miR-514b-5p	205.0985222
hsa-miR-1281	566.862069
hsa-miR-148a-3p	286.9334975
hsa-miR-148b-3p	286.9334975
hsa-miR-152	286.9334975
hsa-miR-3143	271.4334975
hsa-miR-4672	216.2906404
hsa-miR-4677-3p	223.862069
hsa-miR-4728-3p	297.362069
hsa-miR-518a-5p	240.9334975
hsa-miR-527	240.9334975
hsa-miR-5693	325.0763547
hsa-miR-1909-5p	359.908867
hsa-miR-3150b-3p	199.3374384
hsa-miR-3665	185.8374384
hsa-miR-4700-3p	211.5517241
hsa-miR-4784	199.3374384
hsa-miR-936	265.1945813
hsa-miR-103a-3p	208.5246305
hsa-miR-107	208.5246305
hsa-miR-1275	258.0960591
hsa-miR-214-3p	225.3817734
hsa-miR-3187-3p	367.6674877
hsa-miR-34a-5p	308.453202
hsa-miR-449a	308.453202
hsa-miR-4516	212.5960591
hsa-miR-922	215.0246305
hsa-miR-4330	247.4236453
hsa-miR-545-3p	197.9950739
hsa-miR-548s	315.9236453
hsa-miR-217	328.1773399
hsa-miR-4472	187.1059113
hsa-miR-4511	193.0344828
hsa-miR-4738-3p	237.4630542
hsa-miR-544b	285.0344828
hsa-miR-766-5p	201.320197
hsa-miR-3154	224.0714286
hsa-miR-3911	207.2857143
hsa-miR-4447	187.2142857
hsa-miR-1253	201.8916256
hsa-miR-130a-3p	272.3916256
hsa-miR-130a-5p	164.3916256
hsa-miR-130b-3p	272.3916256
hsa-miR-1912	315.3916256
hsa-miR-301a-3p	272.3916256
hsa-miR-301b	272.3916256
hsa-miR-3666	272.3916256
hsa-miR-4295	272.3916256
hsa-miR-4757-5p	319.8916256
hsa-miR-548at-5p	248.7487685
hsa-miR-1226-3p	273.7807882
hsa-miR-4656	259.3522167
hsa-miR-642a-3p	200.8522167
hsa-miR-642b-3p	200.8522167
hsa-miR-125a-3p	191.453202
hsa-miR-205-3p	210.453202
hsa-miR-3591-3p	241.0246305
hsa-miR-4441	249.8817734
hsa-miR-4709-5p	190.453202
hsa-miR-1207-3p	262.6945813
hsa-miR-3675-3p	185.9802956
hsa-miR-4310	177.1945813
hsa-miR-4509	239.408867
hsa-miR-466	201.2660099
hsa-miR-4720-5p	258.1945813
hsa-miR-5000-3p	220.408867
hsa-miR-516b-5p	253.5517241
hsa-miR-583	170.408867
hsa-miR-3182	180.6477833
hsa-miR-3925-3p	259.5049261
hsa-miR-4779	231.362069
hsa-miR-548g-3p	220.0763547
hsa-miR-5571-5p	172.9334975
hsa-miR-5580-3p	262.362069
hsa-miR-138-5p	244.8128079
hsa-miR-147a	218.6699507
hsa-miR-1909-3p	186.3128079
hsa-miR-3671	257.6699507
hsa-miR-4422	215.0270936
hsa-miR-4797-3p	232.955665
hsa-miR-548av-3p	223.0270936
hsa-miR-607	191.2413793
hsa-miR-761	186.8128079
hsa-miR-323a-3p	182.2610837
hsa-miR-3622a-5p	251.1896552
hsa-miR-4436b-3p	283.8325123
hsa-miR-4778-3p	218.1182266
hsa-miR-5584-5p	221.6896552
