	miRNA	Genesymbol
0	hsa-miR-1273g-3p	MARCH4
1	hsa-miR-181a-2-3p	MARCH4
2	hsa-miR-5092	MARCH4
26	hsa-miR-3154	SEPT3
27	hsa-miR-4428	SEPT3
62	hsa-miR-497-3p	AADACL2
63	hsa-miR-1283	AADACL2
64	hsa-miR-548aa	AADACL2
65	hsa-miR-548ap-3p	AADACL2
66	hsa-miR-548t-3p	AADACL2
94	hsa-miR-146a-5p	AAK1
95	hsa-miR-146b-5p	AAK1
96	hsa-miR-589-5p	AAK1
97	hsa-miR-580	AAK1
98	hsa-miR-570-3p	AAK1
127	hsa-miR-4651	AATK
128	hsa-miR-4651	AATK
129	hsa-miR-608	AATK
130	hsa-miR-608	AATK
131	hsa-miR-4763-3p	AATK
132	hsa-miR-4763-3p	AATK
133	hsa-miR-1207-5p	AATK
134	hsa-miR-1207-5p	AATK
135	hsa-miR-1909-3p	AATK
136	hsa-miR-1909-3p	AATK
137	hsa-miR-2467-3p	AATK
138	hsa-miR-2467-3p	AATK
185	hsa-miR-1251	ABCC5
186	hsa-miR-517-5p	ABCC5
187	hsa-miR-4684-5p	ABCC5
213	hsa-miR-20b-3p	ABCC5
214	hsa-miR-3137	ABCC5
215	hsa-miR-3686	ABCC5
216	hsa-miR-4778-5p	ABCC5
232	hsa-miR-4769-3p	ACBD7
233	hsa-miR-1287	ACCSL
234	hsa-miR-3135b	ACCSL
235	hsa-miR-3652	ACCSL
236	hsa-miR-4430	ACCSL
237	hsa-miR-4492	ACCSL
238	hsa-miR-4498	ACCSL
239	hsa-miR-5001-5p	ACCSL
240	hsa-miR-762	ACCSL
241	hsa-miR-1587	ACCSL
242	hsa-miR-4741	ACCSL
243	hsa-miR-4656	ACCSL
244	hsa-miR-4675	ACCSL
266	hsa-miR-4657	ACTN2
267	hsa-miR-4491	ACTN2
268	hsa-miR-299-3p	ACTN2
276	hsa-miR-3153	ACVR1C
277	hsa-miR-3153	ACVR1C
278	hsa-miR-3153	ACVR1C
279	hsa-miR-3153	ACVR1C
280	hsa-miR-5584-5p	ACVR1C
281	hsa-miR-5584-5p	ACVR1C
282	hsa-miR-5584-5p	ACVR1C
283	hsa-miR-5584-5p	ACVR1C
284	hsa-miR-335-5p	ACVR1C
285	hsa-miR-335-5p	ACVR1C
286	hsa-miR-335-5p	ACVR1C
287	hsa-miR-335-5p	ACVR1C
367	hsa-miR-3613-3p	ADAMTS16
368	hsa-miR-3148	ADPRH
383	hsa-miR-555	ADRA2B
384	hsa-miR-5589-5p	ADRA2B
385	hsa-miR-4731-5p	ADRA2B
405	hsa-miR-636	ADRA2B
407	hsa-miR-219-2-3p	AIM2
408	hsa-miR-2964a-3p	AIM2
409	hsa-miR-4452	AIM2
410	hsa-miR-183-3p	AIM2
422	hsa-miR-4645-5p	AIRE
423	hsa-miR-4645-5p	AIRE
424	hsa-miR-4673	AIRE
425	hsa-miR-4673	AIRE
426	hsa-miR-5095	AIRE
427	hsa-miR-5095	AIRE
428	hsa-miR-4438	AIRE
429	hsa-miR-4438	AIRE
430	hsa-miR-3180-5p	AIRE
431	hsa-miR-3180-5p	AIRE
464	hsa-miR-548ac	AKT1
465	hsa-miR-548ac	AKT1
466	hsa-miR-548ac	AKT1
467	hsa-miR-548h-3p	AKT1
468	hsa-miR-548z	AKT1
469	hsa-miR-548h-3p	AKT1
470	hsa-miR-548z	AKT1
471	hsa-miR-548h-3p	AKT1
472	hsa-miR-548z	AKT1
473	hsa-miR-548d-3p	AKT1
474	hsa-miR-548d-3p	AKT1
475	hsa-miR-548d-3p	AKT1
476	hsa-miR-548aa	AKT1
477	hsa-miR-548ap-3p	AKT1
478	hsa-miR-548t-3p	AKT1
479	hsa-miR-548aa	AKT1
480	hsa-miR-548ap-3p	AKT1
481	hsa-miR-548t-3p	AKT1
482	hsa-miR-548aa	AKT1
483	hsa-miR-548ap-3p	AKT1
484	hsa-miR-548t-3p	AKT1
545	hsa-miR-4422	AKT1
546	hsa-miR-4422	AKT1
547	hsa-miR-4422	AKT1
552	hsa-miR-4667-3p	AKTIP
553	hsa-miR-4667-3p	AKTIP
554	hsa-miR-4469	AKTIP
555	hsa-miR-4469	AKTIP
556	hsa-miR-660-3p	AKTIP
557	hsa-miR-660-3p	AKTIP
558	hsa-miR-1470	AKTIP
559	hsa-miR-1470	AKTIP
560	hsa-miR-1976	AKTIP
561	hsa-miR-1976	AKTIP
594	hsa-miR-4324	ALOXE3
595	hsa-miR-4324	ALOXE3
596	hsa-miR-661	ALOXE3
597	hsa-miR-661	ALOXE3
598	hsa-miR-4251	ALOXE3
599	hsa-miR-4251	ALOXE3
600	hsa-miR-1292	ALOXE3
601	hsa-miR-1292	ALOXE3
602	hsa-miR-4471	ALOXE3
603	hsa-miR-4471	ALOXE3
