	BreastCarcinoma(WTSI,UK)	Melanoma	Chronic lymphocytic leukaemia	Acute myeloid leukemia	Leukemia/T-ALL	T-cell ALL	BladderUrothelialCarcinoma(TCGA,US)	Myeloid leukemia	Hepatocellular carcinoma	GastricCancer(CCGC,CN)	Colorectal adenocarcinoma	LiverCancer(NCC,JP)	BreastInvasiveCarcinoma(TCGA,US)	Small cell lung cancer	Low_Grade_Glioma	Breast Cancer	RectumAdenocarcinoma(TCGA,US)	Pancreatic	PediatricBrainTumors(DKFZ,DE)	Myeloma	Medulloblastoma	CervicalSquamousCellCarcinoma(TCGA,US)	Hypodiploid_ALL	MalignantMelanoma(WTSI,UK)	Prostate	ColonAdenocarcinoma(TCGA,US)	LiverCancer(RIKEN,JP)	ccRCC	Lung	UterineCorpusEndometrioidCarcinoma(TCGA,US)	ProstateCancer(OICR,CA)	Colorectal
hsa-let-7a-2-3p	0.0	-0.02	0.0	0.0	0.0	0.0	0.0	0.69	0.0	-14.0	0.0	-14.9583333333	0.0	0.0	0.0	-1.03	0.0	0.0	0.0	0.0	0.0	0.0	-0.02	0.0	0.545	0.0	-3.24833333333	0.0	-0.01	0.04	-4.45	0.0
hsa-let-7a-3p	5.01	0.0	0.0	0.23	0.0	0.32	0.0	0.01	0.0	0.66	-11.26	19.573	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.02	0.0	0.465	0.0	-0.01	9.82	16.5116666667	0.0	-5.515	0.04	-0.62	0.0
hsa-let-7a-5p	0.0	-1.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	39.26	0.0	0.0	0.0	0.01	0.01	0.0	0.0	0.0	-7.06	0.0	0.0	0.0	-0.28	0.02	-14.25	0.0	0.0	-0.84	1.175	0.0
hsa-let-7b-3p	5.46	0.0	0.0	0.25	0.0	0.0	0.0	0.01	0.0	2.7	-8.54	11.5266666667	0.0	0.0	0.0	0.39	0.0	0.0	-0.01	0.0	0.01	0.0	0.0	0.0	0.0	1.19	-2.51166666667	0.0	-6.25	1.36	0.15	0.0
hsa-let-7b-5p	0.0	-0.03	0.0	0.0	0.0	0.0	4.79	0.0	0.0	0.0	1.15	48.5475	0.0	0.0	0.0	0.01	0.09	0.0	0.0	0.0	-7.12	0.0	0.0	0.0	0.15	1.4	-25.16	0.0	0.0	-1.873	1.385	0.0
hsa-let-7c	0.0	-0.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	43.8275	0.0	0.0	0.0	0.01	0.12	0.0	0.0	0.0	-5.38	0.0	0.0	0.0	-0.04	0.13	-20.7	0.0	0.0	0.34	2.67	0.0
hsa-let-7d-3p	2.69	8.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.18	0.0	0.0	4.85	0.0	0.0	0.0	0.09	0.0	0.04	0.0	0.0	0.0	0.0	1.4	-3.55733333333	0.0	0.0	0.0	0.9	0.0
hsa-let-7d-5p	0.0	-1.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	35.9675	0.0	0.0	0.0	0.02	0.12	0.0	0.0	0.0	-2.47	0.0	0.0	0.0	1.24	0.13	-30.6	0.0	0.0	3.54	15.19	0.0
hsa-let-7e-3p	1.09	12.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-4.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-13.89	12.155	0.0	0.0	3.71	-2.08	0.0
hsa-let-7e-5p	0.0	-1.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.2	0.0	0.0	0.0	0.01	0.27	0.0	0.0	0.0	0.02	0.0	0.0	0.0	3.35	0.08	-1.96	0.0	0.0	4.16	0.13	0.0
hsa-let-7f-1-3p	4.71	0.0	0.0	0.24	0.0	0.32	0.0	0.05	0.0	-1.15	-19.208	14.2036666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.03	0.0	0.0	8.71	7.43333333333	0.0	-6.775	1.26	0.11	0.0
hsa-let-7f-2-3p	-0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.76	-1.24	4.53	0.0	-3.46	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	2.22333333333	0.0	-0.26	0.591	0.85	0.0
hsa-let-7f-5p	0.0	-1.37	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	24.225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.62	0.0	0.0	0.0	-0.1	0.0	-1.16	0.0	0.0	-0.5	-0.09	0.0
hsa-let-7g-3p	0.0	0.83	0.0	0.06	0.0	0.0	0.0	0.21	0.0	-7.92	1.36	-5.07	0.0	0.0	0.0	-1.03	0.0	0.0	0.0	0.0	0.0	0.0	-5.27	0.0	0.03	0.0	0.68	-0.01	-0.02	0.15	-17.39	0.0
hsa-let-7g-5p	0.0	-0.88	0.0	0.0	-0.756666666667	0.0	0.0	0.0	0.0	0.0	1.8	31.535	0.0	0.0	0.0	0.0	0.29	0.0	0.0	0.0	-4.03	0.0	0.0	0.0	-0.03	0.03	-5.09	0.0	0.0	-4.92	-0.435	0.0
hsa-let-7i-3p	0.0	0.0	0.0	0.0	0.0	0.0	-0.13	0.0	0.0	0.0	0.0	8.885	0.0	0.0	0.0	2.46	0.0	0.0	0.0	0.0	0.0	0.0	-1.71	0.0	0.0	-9.81	-10.669	0.0	0.0	-23.02	0.01	0.0
hsa-let-7i-5p	0.0	-0.09	0.0	0.0	1.18333333333	0.0	0.0	0.0	0.0	0.0	1.87	39.42	0.0	0.0	0.0	0.03	0.46	0.0	0.0	0.0	0.88	0.0	0.0	0.0	1.77	0.03	-13.65	0.0	0.0	-4.61	-1.12	0.0
hsa-miR-1	0.0	-0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.56	-24.63	-0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.37	0.0	0.0	-1.66	9.67666666667	0.0	0.015	15.06	-7.8175	-0.01
hsa-miR-100-3p	0.0	15.18	-0.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-7.04	0.0	-3.07	0.0	-0.08	-0.895	0.0	-2.45	0.0	0.0	0.0	0.0	0.0	0.0	-1.515	-7.915	0.0	0.0	0.9324	-2.55	0.0
hsa-miR-100-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-6.47	0.0	0.0	0.0	-23.628	0.0	0.0	-9.46	5.52	0.0
hsa-miR-101-3p	0.0	-0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.04	2.22	1.168	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.725	19.78	0.0	0.01	-1.55	-13.39	0.0
hsa-miR-101-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	8.00666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.875	-1.31	0.0	0.0	9.11	0.0	0.0
hsa-miR-103a-2-5p	0.0	2.135	0.0	0.0	0.0	0.0	-7.29	0.0	0.0	-0.81	0.71	-4.535	0.0	3.0	0.0	-2.06	0.0	0.0	0.0	0.0	-14.06	0.0	0.0	0.0	10.49	5.19	-12.86	0.0	1.62	4.07333333333	1.03	0.0
hsa-miR-103a-3p	0.0	-2.48	0.0	0.0	0.0	0.0	-0.17	0.0	0.0	12.94	-0.04	-39.02	0.0	-0.9	-0.05	1.95	0.0	-7.85	-1.7	3.51	5.476	-0.4	-6.47	0.0	-0.07	-6.21	11.735	0.0	-0.13	22.53	6.26	0.0
hsa-miR-103b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	15.085	0.0	0.0	0.0	1.16	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.38	0.0	0.0	-20.06	-0.46	0.0
hsa-miR-105-3p	0.21	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	2.85	-5.076	-32.974	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41	0.0	9.63	-8.58	0.0	0.0
hsa-miR-105-5p	0.0	-0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.93	-1.0075	12.215	0.0	0.0	0.0	-1.97	0.0	0.0	0.0	0.0	-0.03	0.0	-0.26	0.0	-0.55	2.05	-7.035	0.0	-1.75	9.38	-2.59	0.0
hsa-miR-106a-3p	0.0	0.0	0.0	0.0	0.0	0.0	-1.76	0.0	0.0	0.0	3.537	12.141	0.0	5.44	0.0	0.0	0.0	0.0	0.0	0.0	-0.03	0.0	1.22	0.0	0.23	4.16	-22.87	0.0	0.27	-4.303	-3.89	0.0
hsa-miR-106a-5p	-0.11	1.56	-0.17	0.0	0.0	0.0	-2.73	0.0	0.0	-0.01	-5.81	-18.035	0.0	0.0	0.24	3.28	6.85	0.0	-0.03	0.0	-0.02	0.0	-0.11	0.0	0.0	-1.33	-10.46	0.0	0.28	-0.41	202.524166667	0.0
hsa-miR-106b-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.54	-9.26	11.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-15.41	0.0	-0.19	5.79	-18.28	0.0
