	BreastCarcinoma(WTSI,UK)	Melanoma	Leukemia/T-ALL	BladderUrothelialCarcinoma(TCGA,US)	GastricCancer(CCGC,CN)	Colorectal adenocarcinoma	LiverCancer(NCC,JP)	Small cell lung cancer	Breast Cancer	RectumAdenocarcinoma(TCGA,US)	Medulloblastoma	Hypodiploid_ALL	Prostate	ColonAdenocarcinoma(TCGA,US)	LiverCancer(RIKEN,JP)	Lung	UterineCorpusEndometrioidCarcinoma(TCGA,US)	ProstateCancer(OICR,CA)
hsa-let-7a-2-3p	-0.00952571822286	0.0252606919694	-0.0183331558696	0.0299698891284	-3.73694664627	-0.0130557202416	-1.02542151296	0.0817957427471	-0.00454182962645	-0.0492228166151	0.0448973686026	0.0380994191926	0.062452293433	-0.0910757991308	0.232884332252	0.0145620542471	0.201057394882	-0.0500396225934
hsa-let-7a-3p	-0.00952571822286	0.0252606919694	-0.0183331558696	0.0299698891284	0.257237791561	-0.00552101476654	1.0640752148	0.0817957427471	-0.00454182962645	-0.0492228166151	0.183847116007	0.31335562885	0.062452293433	-0.0910757991308	0.485718038	-2.73539912496	0.0440233203878	-0.053265807419
hsa-let-7a-5p	-0.00952571822286	-0.5659404444	-0.0183331558696	0.0299698891284	-0.0337292866917	0.0321525126089	1.74583889683	0.0817957427471	-0.00454182962645	-0.0407505843814	-1.31482515957	0.0438942867643	0.062452293433	-0.0847874533323	0.0507958287481	0.0145620542471	0.0440233203878	0.00572728653374
hsa-let-7b-3p	-0.00952571822286	0.0252606919694	-0.0183331558696	0.0299698891284	1.15659057889	-0.00552101476654	0.212960188919	0.0817957427471	-0.00454182962645	-0.0492228166151	0.0448973686026	0.0438942867643	0.062452293433	-0.0910757991308	-0.0163317211088	-2.98085708195	0.0440233203878	-0.053265807419
hsa-let-7b-5p	-0.00952571822286	0.0110718646965	-0.0183331558696	0.0299698891284	-0.0337292866917	0.427724550052	2.38440864695	0.0817957427471	-0.00454182962645	0.0270272734881	-2.01949887855	0.0438942867643	0.062452293433	0.2013322805	0.00617811596897	0.0145620542471	0.0440233203878	0.0223190942079
hsa-let-7c	-0.00952571822286	-0.31527116258	-0.0183331558696	0.0299698891284	-0.0337292866917	0.0585239817718	2.15933323959	0.0817957427471	-0.00454182962645	0.0524439701892	-0.615113931567	0.0438942867643	0.062452293433	-0.0502015514404	0.0085898842273	0.0145620542471	0.0440233203878	-0.00118596666384
hsa-let-7d-3p	-0.00952571822286	3.81367757383	-0.0183331558696	0.0299698891284	-0.0337292866917	-0.00552101476654	0.332813621605	0.0817957427471	-0.00454182962645	-0.0492228166151	0.0448973686026	0.0438942867643	0.062452293433	-0.462088201243	0.393266921431	0.0145620542471	0.0440233203878	0.272117976414
hsa-let-7d-5p	-0.00952571822286	-0.537562789855	-0.0183331558696	0.0299698891284	-0.0337292866917	0.00201369070856	2.56512271883	0.0817957427471	-0.00454182962645	0.0524439701892	-0.133752306631	0.0438942867643	0.062452293433	-0.0502015514404	-2.77700245415	0.0145620542471	0.458022244054	-0.0205430756171
hsa-let-7e-3p	0.621249828567	3.92718819201	-0.0183331558696	0.0299698891284	-0.0337292866917	-0.00552101476654	-0.222870475392	0.0817957427471	-0.00454182962645	-0.0492228166151	0.0448973686026	0.0438942867643	0.062452293433	-4.25081654485	0.369149238848	0.0145620542471	0.0440233203878	-0.0223866098031
hsa-let-7e-5p	-0.00952571822286	-0.778772853493	-0.0183331558696	0.0299698891284	-0.0337292866917	-0.00552101476654	0.895969101419	0.0817957427471	-0.00454182962645	0.179527453695	0.456784119837	0.0438942867643	0.062452293433	-0.0659224159367	0.115913571723	0.0145620542471	0.0440233203878	-0.0491178555004
hsa-let-7f-1-3p	-0.00952571822286	0.0252606919694	-0.0183331558696	0.0299698891284	-0.540717377586	-0.00552101476654	0.845879705785	0.0817957427471	-0.00454182962645	-0.0492228166151	0.154072170135	0.0612788894795	0.062452293433	-0.0910757991308	0.633639824511	-4.02093317091	0.0440233203878	-0.053265807419
hsa-let-7f-2-3p	-0.00952571822286	0.0252606919694	-0.0183331558696	0.0299698891284	0.301323712508	-0.450068637797	1.3760054474	0.0817957427471	-0.00454182962645	-0.0492228166151	0.0448973686026	0.0438942867643	0.062452293433	-0.0910757991308	0.406531646852	-0.0936058590045	-0.290030983536	-0.0117862882335
hsa-let-7f-5p	-0.00952571822286	-0.622695753492	-0.0183331558696	0.0299698891284	-0.0337292866917	-0.00552101476654	1.18315037844	0.0817957427471	-0.00454182962645	-0.0492228166151	-0.922788372248	0.0438942867643	0.062452293433	-0.0910757991308	0.0122075366148	0.0145620542471	0.0440233203878	-0.0546484580585
hsa-let-7g-3p	-0.00952571822286	0.0252606919694	-0.0183331558696	0.0299698891284	-1.44007016491	-0.00552101476654	-0.453549419859	0.0817957427471	-0.00454182962645	-0.0492228166151	0.0448973686026	0.0438942867643	0.062452293433	-0.0910757991308	0.433061097694	0.018722358603	0.224255610432	-0.0574137593375
hsa-let-7g-5p	-0.00952571822286	-0.390944908035	-0.0183331558696	0.0299698891284	-0.0337292866917	0.672602477992	1.51936260519	0.0817957427471	-0.00454182962645	0.196471918162	-0.694513787227	0.0438942867643	0.062452293433	-0.0564898972389	0.0809429319772	0.0145620542471	0.0440233203878	-0.112719784918
hsa-let-7i-3p	-0.00952571822286	0.0252606919694	-0.0183331558696	-0.040414500814	-0.0337292866917	-0.00552101476654	-0.1262094602	0.0817957427471	-0.00454182962645	-0.0492228166151	0.0448973686026	-0.947028068004	0.062452293433	-3.1755094133	-1.60005954408	0.0145620542471	-0.616233583735	-0.053265807419
hsa-let-7i-5p	-0.00952571822286	-0.0173057898492	-0.0183331558696	0.0299698891284	-0.0337292866917	0.698973947155	2.21186640002	0.0817957427471	-0.00454182962645	0.340499866135	1.32025755013	0.0438942867643	0.062452293433	-0.0910757991308	0.00979576835647	0.0145620542471	0.0440233203878	-0.0846058885814
hsa-miR-1	-0.00952571822286	0.0252606919694	-0.0183331558696	0.0299698891284	-0.0337292866917	0.00201369070856	-0.393778357325	0.0817957427471	-0.00454182962645	-0.0492228166151	0.0448973686026	0.0438942867643	0.062452293433	-0.0910757991308	0.849493083632	0.0166422064251	0.0440233203878	-0.436605697225
hsa-miR-100-3p	-0.00952571822286	7.20480729204	-0.0183331558696	0.0299698891284	-0.0337292866917	-0.00552101476654	0.185253810974	0.0817957427471	-0.00454182962645	0.162582989227	0.0448973686026	0.0438942867643	0.062452293433	-0.0910757991308	-0.234998709864	0.0145620542471	0.0440233203878	-0.053265807419
hsa-miR-100-5p	-0.00952571822286	0.0252606919694	-0.0183331558696	0.0299698891284	-0.0337292866917	-0.00552101476654	0.133888054109	0.0817957427471	-0.00454182962645	-0.0492228166151	0.0448973686026	-3.70538503216	0.062452293433	-0.0910757991308	-2.84429078855	0.0145620542471	0.0333164516723	-0.0574137593375
hsa-miR-101-3p	-0.00952571822286	-0.036224226213	-0.0183331558696	0.0299698891284	-0.0337292866917	-0.540485103498	-0.433003117113	0.0817957427471	-0.00454182962645	-0.0492228166151	0.0448973686026	0.0438942867643	0.062452293433	-0.300163296931	1.41223901058	0.0145620542471	-0.253984525527	-0.295690552881
