Genesymbol	miRNA	Cancertype	Targetsiteclass
AKT1	hsa-miR-548ac	Prostate	Disrupted
AKT1	hsa-miR-548ac	Prostate	Disrupted
AKT1	hsa-miR-548ac	Prostate	Disrupted
AKT1	hsa-miR-548h-3p	Prostate	Disrupted
AKT1	hsa-miR-548z	Prostate	Disrupted
AKT1	hsa-miR-548h-3p	Prostate	Disrupted
AKT1	hsa-miR-548z	Prostate	Disrupted
AKT1	hsa-miR-548h-3p	Prostate	Disrupted
AKT1	hsa-miR-548z	Prostate	Disrupted
AKT1	hsa-miR-548d-3p	Prostate	Disrupted
AKT1	hsa-miR-548d-3p	Prostate	Disrupted
AKT1	hsa-miR-548d-3p	Prostate	Disrupted
AKT1	hsa-miR-548aa	Prostate	Disrupted
AKT1	hsa-miR-548ap-3p	Prostate	Disrupted
AKT1	hsa-miR-548t-3p	Prostate	Disrupted
AKT1	hsa-miR-548aa	Prostate	Disrupted
AKT1	hsa-miR-548ap-3p	Prostate	Disrupted
AKT1	hsa-miR-548t-3p	Prostate	Disrupted
AKT1	hsa-miR-548aa	Prostate	Disrupted
AKT1	hsa-miR-548ap-3p	Prostate	Disrupted
AKT1	hsa-miR-548t-3p	Prostate	Disrupted
AKT1	hsa-miR-4422	Prostate	Created
AKT1	hsa-miR-4422	Prostate	Created
AKT1	hsa-miR-4422	Prostate	Created
ARHGAP26	hsa-miR-193b-5p	Prostate	Disrupted
ARHGAP26	hsa-miR-193b-5p	Prostate	Disrupted
ARHGAP26	hsa-miR-5096	Prostate	Disrupted
ARHGAP26	hsa-miR-5096	Prostate	Disrupted
ARHGAP26	hsa-miR-4787-5p	Prostate	Created
ARHGAP26	hsa-miR-4787-5p	Prostate	Created
BCAS3	hsa-miR-338-3p	Melanoma	Disrupted
BCAS3	hsa-miR-338-3p	Melanoma	Disrupted
BCAS3	hsa-miR-4530	Melanoma	Created
BCAS3	hsa-miR-4530	Melanoma	Created
BCAS3	hsa-miR-5193	Melanoma	Disrupted
BCAS3	hsa-miR-5193	Melanoma	Disrupted
BCAS3	hsa-miR-4691-5p	Melanoma	Disrupted
BCAS3	hsa-miR-4691-5p	Melanoma	Disrupted
BCAS3	hsa-miR-361-3p	Melanoma	Created
BCAS3	hsa-miR-361-3p	Melanoma	Created
BCAS3	hsa-miR-766-3p	Melanoma	Disrupted
BCAS3	hsa-miR-766-3p	Melanoma	Disrupted
BCR	hsa-miR-558	Melanoma	Created
BCR	hsa-miR-558	Melanoma	Created
BCR	hsa-miR-3150a-3p	Melanoma	Created
BCR	hsa-miR-3150a-3p	Melanoma	Created
BCR	hsa-miR-939	Melanoma	Created
BCR	hsa-miR-939	Melanoma	Created
BCR	hsa-miR-3175	Melanoma	Created
BCR	hsa-miR-3175	Melanoma	Created
BCR	hsa-miR-612	Melanoma	Disrupted
BCR	hsa-miR-612	Melanoma	Disrupted
BCR	hsa-miR-1285-3p	Melanoma	Disrupted
BCR	hsa-miR-3187-5p	Melanoma	Disrupted
BCR	hsa-miR-5189	Melanoma	Disrupted
BCR	hsa-miR-1285-3p	Melanoma	Disrupted
BCR	hsa-miR-3187-5p	Melanoma	Disrupted
BCR	hsa-miR-5189	Melanoma	Disrupted
BCR	hsa-miR-920	Melanoma	Created
BCR	hsa-miR-920	Melanoma	Created
BCR	hsa-miR-4300	Melanoma	Created
BCR	hsa-miR-4300	Melanoma	Created
BCR	hsa-miR-5591-5p	Melanoma	Created
BCR	hsa-miR-5591-5p	Melanoma	Created
BCR	hsa-miR-4667-5p	Melanoma	Created
BCR	hsa-miR-4700-5p	Melanoma	Created
BCR	hsa-miR-4667-5p	Melanoma	Created
BCR	hsa-miR-4700-5p	Melanoma	Created
FLI1	hsa-miR-20a-3p	Lung	Disrupted
FLI1	hsa-miR-20a-3p	Lung	Disrupted
FLI1	hsa-miR-4520a-5p	Lung	Created
FLI1	hsa-miR-4520b-5p	Lung	Created
FLI1	hsa-miR-4520a-5p	Lung	Created
FLI1	hsa-miR-4520b-5p	Lung	Created
MYH11	hsa-miR-4649-3p	Prostate	Disrupted
MYH11	hsa-miR-4649-3p	Prostate	Disrupted
MYH11	hsa-miR-4649-3p	Prostate	Disrupted
MYH11	hsa-miR-4649-3p	Prostate	Disrupted
