	# mut. causing disruption in proto-oncogene sites	# unique proto-oncogenes mutated, causing disruptions
hsa-miR-548x-3p	45	16
hsa-miR-548aj-3p	45	16
hsa-miR-3613-3p	39	19
hsa-miR-548aa	38	12
hsa-miR-548ap-3p	38	12
hsa-miR-548t-3p	38	12
hsa-miR-548z	35	15
hsa-miR-548d-3p	35	15
hsa-miR-548h-3p	35	15
hsa-miR-548ac	35	15
hsa-miR-4662b	34	7
hsa-miR-362-3p	34	11
hsa-miR-329	34	11
hsa-miR-548ah-3p	32	14
hsa-miR-548ae	32	14
hsa-miR-548am-3p	32	14
hsa-miR-548aq-3p	32	14
hsa-miR-3663-3p	32	5
hsa-miR-130a-3p	31	6
hsa-miR-3666	31	6
hsa-miR-548t-5p	31	11
hsa-miR-4796-3p	31	8
hsa-miR-301b	31	6
hsa-miR-301a-3p	31	6
hsa-miR-106b-5p	31	8
hsa-miR-20a-5p	31	8
hsa-miR-4295	31	6
hsa-miR-130b-3p	31	6
hsa-miR-335-3p	30	16
hsa-miR-5590-3p	30	10
hsa-miR-29b-3p	30	9
hsa-miR-29c-3p	30	9
hsa-miR-4699-5p	30	6
hsa-miR-4729	30	9
hsa-miR-29a-3p	30	9
hsa-miR-3945	29	6
hsa-miR-1305	28	12
hsa-miR-5682	28	8
hsa-miR-501-5p	28	8
hsa-miR-1247-3p	27	7
hsa-miR-454-3p	27	5
hsa-miR-205-3p	27	8
hsa-miR-3934	26	8
hsa-miR-548e	25	9
hsa-miR-20b-5p	25	6
hsa-miR-17-5p	25	6
hsa-miR-889	25	7
hsa-miR-106a-5p	25	9
hsa-miR-3591-3p	25	7
hsa-miR-3609	25	6
hsa-miR-650	25	8
hsa-miR-548ah-5p	25	9
hsa-miR-19a-3p	25	7
hsa-miR-1205	25	8
hsa-miR-520g	25	6
hsa-miR-548f	25	9
hsa-miR-520h	25	6
hsa-miR-4260	25	8
hsa-miR-3612	25	8
hsa-miR-19b-3p	25	7
hsa-miR-93-5p	25	6
hsa-miR-519d	25	6
hsa-miR-521	24	6
hsa-miR-4719	24	5
hsa-miR-4761-3p	24	6
hsa-miR-193a-5p	24	4
hsa-miR-3942-3p	24	9
hsa-miR-637	24	9
hsa-miR-4712-5p	23	6
hsa-miR-770-5p	23	6
hsa-miR-101-3p	23	7
hsa-miR-362-5p	23	6
hsa-miR-4511	23	5
hsa-miR-500b	23	6
hsa-miR-500a-5p	23	6
hsa-miR-30a-3p	22	8
hsa-miR-4731-3p	22	6
hsa-miR-635	22	5
hsa-miR-3202	22	4
hsa-miR-338-5p	22	6
hsa-miR-4426	22	6
hsa-miR-361-3p	22	8
hsa-miR-30e-3p	22	8
hsa-miR-4282	22	10
hsa-miR-4647	22	6
hsa-miR-3179	22	4
hsa-miR-590-3p	22	11
hsa-miR-3944-5p	22	6
hsa-miR-30d-3p	22	8
hsa-miR-4742-5p	21	4
hsa-miR-612	21	6
hsa-miR-4419a	21	6
hsa-miR-1285-3p	21	7
hsa-miR-4510	21	6
hsa-miR-4434	21	6
hsa-miR-372	21	5
hsa-miR-527	21	6
hsa-miR-621	21	5
hsa-miR-16-1-3p	21	5
hsa-miR-526b-3p	21	5
hsa-miR-4680-5p	21	4
hsa-miR-519a-3p	21	5
hsa-miR-548aw	21	6
hsa-miR-518a-5p	21	6
hsa-miR-5189	21	7
hsa-miR-519b-3p	21	5
hsa-miR-4470	21	3
hsa-miR-519c-3p	21	5
hsa-miR-4253	21	6
hsa-miR-561-3p	21	6
hsa-miR-3154	21	3
hsa-miR-4422	21	8
hsa-miR-520b	21	5
hsa-miR-520a-3p	21	5
hsa-miR-520d-3p	21	5
hsa-miR-520e	21	5
hsa-miR-5703	21	6
hsa-miR-520c-3p	21	5
hsa-miR-1207-3p	20	5
hsa-miR-4695-5p	20	6
hsa-miR-548p	20	5
hsa-miR-4761-5p	20	8
hsa-miR-4708-5p	20	6
hsa-miR-300	20	8
hsa-miR-593-3p	20	5
hsa-miR-603	20	4
hsa-miR-381	20	8
hsa-miR-5003-3p	20	5
hsa-miR-384	20	5
hsa-miR-5572	20	7
hsa-miR-1827	20	7
hsa-miR-764	20	8
hsa-miR-1304-5p	19	3
hsa-miR-1470	19	5
hsa-miR-5571-3p	19	4
hsa-miR-452-5p	19	8
hsa-miR-3187-5p	19	6
hsa-miR-5186	19	5
hsa-miR-1253	19	7
hsa-miR-4447	19	9
hsa-miR-4665-5p	19	8
hsa-miR-4715-3p	19	4
hsa-miR-27a-3p	19	6
hsa-miR-1260b	19	5
hsa-miR-4428	19	4
hsa-miR-27b-3p	19	6
hsa-miR-1260a	19	5
hsa-miR-1275	19	9
hsa-miR-2681-5p	19	4
hsa-miR-374b-3p	19	5
hsa-miR-3678-3p	19	6
hsa-miR-4756-3p	19	7
hsa-miR-377-3p	19	5
hsa-miR-4472	19	9
hsa-miR-3665	19	6
hsa-miR-4653-5p	19	6
hsa-miR-4706	19	4
hsa-miR-3921	19	6
hsa-miR-3908	19	2
hsa-miR-4676-3p	18	7
hsa-miR-4677-3p	18	7
hsa-miR-199a-5p	18	5
hsa-miR-3973	18	4
hsa-miR-199b-5p	18	5
hsa-miR-3621	18	2
hsa-miR-4443	18	5
hsa-miR-548g-5p	18	7
hsa-miR-31-5p	18	2
hsa-miR-4781-5p	18	3
hsa-miR-148b-3p	18	4
hsa-miR-3157-5p	18	5
hsa-miR-5692c	18	5
hsa-miR-5692b	18	5
hsa-miR-152	18	4
hsa-miR-548aj-5p	18	7
hsa-miR-561-5p	18	4
hsa-miR-4286	18	5
hsa-miR-3123	18	8
hsa-miR-4291	18	4
hsa-miR-148a-3p	18	4
hsa-miR-3191-5p	18	6
hsa-miR-4735-5p	18	8
hsa-miR-552	18	6
hsa-miR-4789-3p	18	4
hsa-miR-105-5p	18	5
hsa-miR-4733-3p	18	5
hsa-miR-548x-5p	18	7
hsa-miR-518c-5p	17	6
hsa-miR-1182	17	2
hsa-miR-3664-3p	17	6
hsa-miR-4633-5p	17	4
hsa-miR-559	17	5
hsa-miR-3616-3p	17	4
hsa-miR-4528	17	6
hsa-miR-2964a-3p	17	5
hsa-miR-5692a	17	6
hsa-miR-4738-5p	17	5
hsa-miR-3156-5p	17	3
hsa-miR-3197	17	4
hsa-miR-1207-5p	17	8
hsa-miR-4758-3p	17	6
hsa-miR-5698	17	8
hsa-miR-2355-5p	17	5
hsa-miR-142-5p	17	5
hsa-miR-497-3p	17	7
hsa-miR-7-5p	17	6
hsa-miR-4679	17	6
hsa-miR-125a-3p	17	5
hsa-miR-4723-5p	17	8
hsa-miR-320e	17	6
hsa-miR-330-5p	17	6
hsa-miR-524-5p	16	4
hsa-miR-29b-1-5p	16	5
hsa-miR-203	16	8
hsa-miR-25-3p	16	5
hsa-miR-16-5p	16	3
hsa-miR-4436b-3p	16	5
hsa-miR-1909-3p	16	6
hsa-miR-545-3p	16	5
hsa-miR-539-5p	16	7
hsa-miR-195-5p	16	3
hsa-miR-520d-5p	16	4
hsa-miR-4519	16	4
hsa-miR-5197-3p	16	4
hsa-miR-1227	16	4
hsa-miR-593-5p	16	6
hsa-miR-4763-3p	16	8
hsa-miR-1301	16	4
hsa-miR-346	16	4
hsa-miR-582-5p	16	5
hsa-miR-371b-3p	16	3
hsa-miR-126-5p	16	5
hsa-miR-125b-1-3p	16	2
hsa-miR-5006-5p	16	6
hsa-miR-5009-5p	16	5
hsa-miR-503	16	4
hsa-miR-5047	16	4
hsa-miR-499a-5p	16	7
hsa-miR-513c-3p	16	6
hsa-miR-149-3p	16	7
hsa-miR-15b-5p	16	3
hsa-miR-513a-3p	16	6
hsa-miR-15a-5p	16	3
hsa-miR-3141	16	4
hsa-miR-1226-5p	15	4
hsa-miR-4466	15	5
hsa-miR-4756-5p	15	6
hsa-miR-1280	15	4
hsa-miR-296-3p	15	1
hsa-miR-4739	15	6
hsa-miR-1273f	15	5
hsa-miR-634	15	4
hsa-miR-4721	15	4
hsa-miR-4290	15	5
hsa-miR-1224-3p	15	5
hsa-miR-892a	15	6
hsa-miR-1184	15	4
hsa-miR-548n	15	8
hsa-miR-2467-3p	15	7
hsa-miR-4482-5p	15	4
hsa-miR-3976	15	3
hsa-miR-4516	15	5
hsa-miR-4321	15	1
hsa-miR-4662a-3p	15	3
hsa-miR-4270	15	4
hsa-miR-532-5p	15	6
hsa-miR-3656	15	1
hsa-miR-330-3p	15	4
hsa-miR-3152-5p	15	5
hsa-miR-324-5p	15	5
hsa-miR-512-3p	15	3
hsa-miR-4783-3p	15	4
hsa-miR-137	15	5
hsa-miR-583	15	5
hsa-miR-3189-3p	15	4
hsa-miR-1321	15	6
hsa-miR-340-5p	15	5
hsa-miR-4801	15	4
hsa-miR-3173-3p	15	6
hsa-miR-5685	15	6
hsa-miR-1911-3p	15	5
hsa-miR-3130-5p	15	4
hsa-miR-4451	14	4
hsa-miR-4659b-3p	14	7
hsa-miR-4659a-3p	14	7
hsa-miR-3163	14	6
hsa-miR-5197-5p	14	3
hsa-miR-4252	14	3
hsa-miR-4651	14	5
hsa-miR-3169	14	3
hsa-miR-4274	14	3
hsa-miR-2116-3p	14	5
hsa-miR-455-5p	14	5
hsa-miR-519e-3p	14	3
hsa-miR-4660	14	3
hsa-miR-3925-5p	14	7
hsa-miR-4476	14	5
hsa-miR-320a	14	7
hsa-miR-520f	14	3
hsa-miR-4487	14	4
hsa-miR-4707-5p	14	4
hsa-miR-320b	14	7
hsa-miR-320c	14	7
hsa-miR-376c	14	6
hsa-miR-373-3p	14	3
hsa-miR-4423-3p	14	5
hsa-miR-4497	14	4
hsa-miR-4735-3p	14	7
hsa-miR-4753-3p	14	5
hsa-miR-548c-3p	14	9
hsa-miR-29b-2-5p	14	5
hsa-miR-320d	14	7
hsa-miR-4429	14	7
hsa-miR-5700	14	5
hsa-miR-675-5p	14	4
hsa-miR-1226-3p	14	4
hsa-miR-18a-5p	14	7
hsa-miR-18b-5p	14	7
hsa-miR-874	14	5
hsa-miR-141-5p	14	4
hsa-miR-1256	14	2
hsa-miR-548g-3p	14	5
hsa-miR-1273g-3p	14	2
hsa-miR-1303	14	3
hsa-miR-5680	14	7
hsa-miR-205-5p	14	5
hsa-miR-5689	14	4
hsa-miR-1537	14	5
