	Acute myeloid leukemia	BladderUrothelialCarcinoma(TCGA,US)	Breast Cancer	BreastCarcinoma(WTSI,UK)	BreastInvasiveCarcinoma(TCGA,US)	CervicalSquamousCellCarcinoma(TCGA,US)	Chronic lymphocytic leukaemia	ColonAdenocarcinoma(TCGA,US)	Colorectal adenocarcinoma	GastricCancer(CCGC,CN)	Hepatocellular carcinoma	Hypodiploid_ALL	Leukemia/T-ALL	LiverCancer(NCC,JP)	LiverCancer(RIKEN,JP)	Lung	MalignantMelanoma(WTSI,UK)	Medulloblastoma	Melanoma	Myeloid leukemia	Myeloma	Pancreatic	PediatricBrainTumors(DKFZ,DE)	Prostate	ProstateCancer(OICR,CA)	RectumAdenocarcinoma(TCGA,US)	Small cell lung cancer	T-cell ALL	UterineCorpusEndometrioidCarcinoma(TCGA,US)
hsa-let-7a-2-3p	2.0		1.0						6.0	3.0	1.0			39	30.0			1.0	2.0	2.0				3.0	4.0				8.0
hsa-let-7a-3p			1.0	1.0				8.0	6.0			1.0		44	39.0	5.0		1.0		1.0			1.0		57.0				18.0
hsa-let-7a-5p		1.0	3.0					2.0	7.0			1.0	9.0	40	28.0	1.0		3.0		1.0				2.0	16.0	5.0			9.0
hsa-let-7b-3p			1.0	1.0				8.0	6.0			1.0		44	39.0	5.0		1.0		1.0			1.0		57.0				18.0
hsa-let-7b-5p		1.0	3.0					2.0	7.0			1.0	9.0	40	28.0	1.0		3.0		1.0				2.0	16.0	5.0			9.0
hsa-let-7c		1.0	3.0					2.0	7.0			1.0	9.0	40	28.0	1.0		3.0		1.0				2.0	16.0	5.0			9.0
hsa-let-7d-3p														8	21.0		2.0	1.0	1.0				1.0		1.0				1.0
hsa-let-7d-5p			6.0		19.0			2.0	9.0	2.0		1.0	9.0	37	28.0	2.0		2.0						2.0	11.0	5.0			11.0
hsa-let-7e-3p								4.0						8	19.0				2.0				1.0		1.0				8.0
hsa-let-7e-5p		1.0	3.0					2.0	7.0			1.0	9.0	40	28.0	1.0		3.0		1.0				2.0	16.0	5.0			9.0
hsa-let-7f-1-3p			1.0	1.0				8.0	6.0			1.0		44	39.0	5.0		1.0		1.0			1.0		57.0				18.0
hsa-let-7f-2-3p		1.0	3.0					4.0	8.0	3.0		1.0		34	39.0	1.0		1.0		1.0			1.0	1.0	3.0				17.0
hsa-let-7f-5p		1.0	3.0					2.0	7.0			1.0	9.0	40	28.0	1.0		3.0		1.0				2.0	16.0	5.0			9.0
hsa-let-7g-3p	2.0		1.0						6.0	3.0	1.0			39	30.0			1.0	2.0	2.0				3.0	4.0				8.0
hsa-let-7g-5p		1.0	3.0					2.0	7.0			1.0	9.0	40	28.0	1.0		3.0		1.0				2.0	16.0	5.0			9.0
hsa-let-7i-3p		2.0	1.0					2.0	3.0					14	10.0										1.0				3.0
hsa-let-7i-5p		1.0	3.0					2.0	7.0			1.0	9.0	40	28.0	1.0		3.0		1.0				2.0	16.0	5.0			9.0
hsa-miR-1								4.0	5.0			3.0		25	28.0	6.0			4.0						5.0				17.0
hsa-miR-100-3p			1.0	1.0	1.0			5.0	1.0	2.0		1.0		19	29.0	6.0			4.0				1.0			4.0			20.0
hsa-miR-100-5p												3.0		7	4.0										6.0				2.0
hsa-miR-101-3p			1.0	5.0				6.0	3.0	4.0	1.0			49	62.0	3.0		2.0	1.0	1.0		1.0			3.0	4.0			9.0
hsa-miR-101-5p			2.0	1.0				4.0	8.0					27	42.0	1.0			1.0					4.0					13.0
hsa-miR-103a-2-5p		2.0	8.0					4.0	6.0					32	36.0	2.0			2.0					2.0	4.0		2.0		18.0
hsa-miR-103a-3p		2.0	4.0	1.0					7.0	8.0		3.0		44	25.0			4.0	4.0		1.0		1.0		19.0	2.0			18.0
hsa-miR-103b	5.0		1.0						1.0	5.0	1.0			28	36.0			1.0				2.0			10.0				7.0
hsa-miR-105-3p	1.0	1.0	2.0	3.0					2.0	1.0				23	9.0	3.0					2.0	1.0						1.0	13.0
hsa-miR-105-5p		1.0	2.0				1.0	4.0	11.0	3.0	1.0	1.0		34	50.0	1.0		1.0							11.0	8.0	3.0		12.0
hsa-miR-106a-3p			1.0					10.0	8.0			4.0		30	28.0	6.0							1.0	7.0	32.0		3.0		11.0
hsa-miR-106a-5p		2.0	3.0	1.0			3.0	5.0	9.0	5.0		2.0		37	38.0	3.0	2.0	2.0	1.0						310.0	1.0			11.0
hsa-miR-106b-3p		1.0		1.0		1.0		3.0	2.0	2.0				17	8.0			2.0							4.0				3.0
hsa-miR-106b-5p		2.0	6.0				2.0	8.0	11.0	5.0	1.0	2.0		35	30.0	3.0	4.0	6.0	6.0						312.0	1.0			13.0
hsa-miR-107		2.0	4.0	1.0					7.0	8.0		3.0		44	25.0			4.0	4.0		1.0		1.0		19.0	2.0			18.0
hsa-miR-10a-3p				2.0			1.0	20.0	9.0	3.0		1.0		35	50.0								2.0	1.0	1.0		3.0		16.0
hsa-miR-10a-5p			2.0		6.0			3.0	8.0					13	25.0	3.0		3.0				1.0			17.0	2.0		1.0	9.0
hsa-miR-10b-3p		2.0	10.0					11.0	2.0	1.0				39	60.0				3.0				1.0	1.0					8.0
hsa-miR-10b-5p			2.0		6.0			3.0	8.0					13	25.0	3.0		3.0				1.0			17.0	2.0		1.0	9.0
hsa-miR-1178	4.0	1.0	2.0					2.0						26	17.0	3.0			1.0			1.0		1.0	119.0		1.0		11.0
hsa-miR-1179		1.0							4.0			1.0		26	36.0	1.0		2.0						3.0	13.0	6.0	8.0		11.0
hsa-miR-1180			7.0	1.0				4.0		1.0				12	18.0								2.0	1.0			2.0		2.0
hsa-miR-1181									1.0	1.0				5	3.0			1.0							6.0				
hsa-miR-1182			14.0					6.0	5.0					20	10.0	1.0		1.0				1.0						4.0	13.0
hsa-miR-1183				1.0		1.0		2.0	1.0	3.0		1.0		32	37.0	2.0		2.0	2.0					2.0	17.0	8.0			13.0
hsa-miR-1184								5.0	6.0	1.0		1.0		29	42.0			1.0	2.0	2.0	1.0	1.0			6.0				17.0
hsa-miR-1185-1-3p		1.0	3.0					4.0	9.0	3.0		1.0		31	50.0	1.0		2.0		1.0			1.0	1.0	10.0				19.0
hsa-miR-1185-2-3p		1.0	3.0					4.0	9.0	3.0		1.0		31	50.0	1.0		2.0		1.0			1.0	1.0	10.0				19.0
hsa-miR-1185-5p			4.0				1.0	5.0	7.0	2.0				43	32.0	4.0		4.0	5.0	2.0		2.0		4.0	2.0			2.0	14.0
hsa-miR-1193			2.0					6.0	13.0	1.0				34	11.0	1.0		4.0	1.0				6.0	1.0	5.0			8.0	5.0
hsa-miR-1197			3.0	1.0				5.0	2.0	1.0		1.0		62	25.0	1.0			1.0	1.0					2.0				20.0
hsa-miR-1200		3.0	2.0					4.0	7.0	1.0		1.0	1.0	31	61.0	3.0			4.0				1.0		125.0		1.0		7.0
hsa-miR-1202	1.0		21.0					7.0						28	26.0	4.0		3.0					8.0	3.0	14.0				7.0
hsa-miR-1203			2.0						1.0	1.0				9	7.0	1.0		2.0	3.0										1.0
hsa-miR-1204			3.0					1.0	4.0			1.0		23	14.0	23.0		1.0							3.0				8.0
hsa-miR-1205		4.0						4.0	8.0	3.0		1.0		38	41.0	8.0		4.0	2.0	2.0		1.0	1.0		4.0				26.0
hsa-miR-1206			4.0					3.0	7.0		1.0			28	11.0	3.0		8.0	1.0	3.0					2.0		1.0		23.0
hsa-miR-1207-3p		1.0	8.0						3.0	7.0			9.0	40	44.0	1.0		3.0	5.0						39.0				5.0
hsa-miR-1207-5p			2.0					1.0	18.0	2.0		1.0		29	43.0	8.0		5.0	4.0		1.0			14.0	86.0				11.0
hsa-miR-1208		1.0		1.0		1.0		1.0	16.0	1.0	2.0			22	37.0	7.0		4.0							21.0	6.0	1.0		17.0
hsa-miR-122-3p			1.0						4.0			1.0		5	13.0				3.0						19.0				3.0
hsa-miR-122-5p			4.0	2.0				1.0	6.0			1.0		25	14.0	2.0								1.0	99.0				17.0
hsa-miR-1224-3p		1.0	2.0			2.0		6.0	6.0	1.0		1.0		32	33.0	4.0	2.0	3.0	7.0						13.0				6.0
hsa-miR-1224-5p			2.0	4.0					3.0	1.0		1.0		53	15.0	3.0		7.0	8.0					1.0	1.0				16.0
hsa-miR-1225-3p			1.0	1.0				2.0	2.0			1.0	2.0	46	15.0	1.0		3.0			1.0			3.0	102.0				5.0
hsa-miR-1225-5p			4.0	1.0				2.0	3.0			1.0		16	23.0	1.0		8.0	1.0					2.0	6.0			1.0	7.0
hsa-miR-1226-3p			3.0					6.0	17.0	4.0				29	30.0	14.0		4.0	1.0					1.0	93.0				6.0
hsa-miR-1226-5p		1.0	1.0						2.0			1.0		19	20.0			5.0	3.0					3.0					7.0
hsa-miR-1227	2.0	3.0	2.0	1.0				5.0	3.0			1.0		26	16.0			1.0					7.0		24.0			1.0	6.0
hsa-miR-1228-3p		1.0	1.0				1.0	2.0	3.0			1.0	1.0	21	46.0	3.0		1.0					2.0	2.0	54.0		2.0		7.0
hsa-miR-1228-5p		2.0						3.0			2.0			19	4.0	4.0		1.0	2.0						16.0				4.0
hsa-miR-1229		1.0	5.0					4.0	7.0	4.0		3.0		22	52.0	1.0						1.0		3.0	3.0	1.0	4.0		8.0
hsa-miR-1231			4.0	2.0				4.0	3.0					38	28.0	4.0		2.0	1.0						5.0	2.0			13.0
hsa-miR-1233			1.0	1.0								1.0	2.0	25	5.0						1.0				103.0				5.0
hsa-miR-1234		1.0							4.0			1.0		37	3.0	1.0									35.0	1.0			2.0
hsa-miR-1236			8.0	2.0	2.0			2.0	9.0			8.0		39	26.0	3.0		1.0	3.0	1.0			1.0		6.0	4.0			5.0
hsa-miR-1237		5.0	33.0	2.0			2.0	2.0	4.0	2.0			1.0	30	38.0	1.0		1.0	3.0					1.0	4.0		2.0		12.0
hsa-miR-1238			4.0	2.0	3.0			3.0		1.0		3.0		42	27.0	2.0		1.0	1.0	1.0					3.0	4.0	2.0		6.0
hsa-miR-124-3p		2.0	2.0	2.0				5.0	1.0					27	28.0	7.0		10.0	4.0					1.0	7.0				12.0
hsa-miR-124-5p		2.0	4.0					3.0	4.0	1.0	1.0			22	9.0	2.0		5.0	1.0	3.0				3.0	7.0				9.0
hsa-miR-1243			1.0	2.0				4.0	4.0	1.0			6.0	42	15.0			1.0	1.0			1.0		1.0	5.0		3.0		11.0
hsa-miR-1244	2.0		3.0					11.0	4.0	1.0				27	28.0		2.0	1.0	1.0						19.0				4.0
hsa-miR-1245a		1.0	3.0	5.0			2.0	6.0	3.0					33	46.0	2.0		4.0							18.0		1.0		8.0
hsa-miR-1245b-3p		1.0	4.0	1.0			1.0	8.0	2.0	2.0	3.0		2.0	42	24.0	1.0		3.0	1.0			1.0			2.0			1.0	12.0
hsa-miR-1245b-5p		4.0		1.0				12.0	5.0	3.0		2.0		22	18.0				4.0			2.0			3.0				3.0
hsa-miR-1246			9.0						3.0		4.0	2.0		24	25.0	1.0	3.0	1.0	1.0					2.0				1.0	11.0
hsa-miR-1247-3p			1.0							7.0				9	14.0			3.0							10.0				3.0
hsa-miR-1247-5p									1.0			3.0		10	6.0										19.0				7.0
hsa-miR-1248		1.0	32.0	1.0				9.0	3.0	1.0	3.0		1.0	24	35.0	3.0			2.0					3.0	2.0		2.0		6.0
hsa-miR-1249		2.0							1.0					22	16.0										2.0				5.0
hsa-miR-1250		1.0	3.0					4.0	4.0	1.0				18	14.0			2.0		2.0					3.0				7.0
hsa-miR-1251	6.0		1.0	1.0				2.0	4.0	1.0				30	14.0	10.0		1.0							1.0				4.0
hsa-miR-1252		1.0	5.0	3.0		4.0		3.0	12.0	3.0	2.0	3.0		53	35.0			1.0	7.0		1.0		1.0	6.0	7.0	4.0			12.0
hsa-miR-1253			11.0	2.0	1.0				2.0	1.0	2.0	9.0		82	23.0	6.0		3.0	7.0			2.0			8.0		3.0		18.0
hsa-miR-1254		1.0		1.0				1.0	7.0			1.0		37	19.0	3.0		2.0	3.0						97.0				6.0
hsa-miR-1255a			5.0	2.0					5.0					28	21.0	3.0							8.0		4.0			3.0	8.0
hsa-miR-1255b-2-3p			3.0		1.0			4.0		1.0		1.0		19	33.0			11.0	1.0						10.0			1.0	15.0
hsa-miR-1255b-5p			7.0	5.0					2.0					21	15.0	1.0							2.0		2.0			1.0	4.0
hsa-miR-1256		1.0	5.0					10.0	1.0				2.0	29	52.0	3.0				3.0					58.0				16.0
hsa-miR-1257			6.0				2.0	13.0	3.0	2.0		1.0	1.0	31	33.0	3.0		5.0	1.0						9.0		1.0		31.0
hsa-miR-1258			1.0					11.0	3.0				2.0	27	13.0	1.0			5.0	1.0							8.0		2.0
hsa-miR-125a-3p		2.0	7.0	3.0				2.0	4.0	13.0				37	26.0		3.0		2.0		3.0			2.0	65.0	2.0			19.0
hsa-miR-125a-5p		2.0			6.0			2.0	9.0			1.0		36	31.0	1.0			3.0					1.0	18.0				3.0
hsa-miR-125b-1-3p		1.0							3.0					17	15.0	3.0			1.0					1.0	4.0			1.0	4.0
hsa-miR-125b-2-3p	1.0		3.0	1.0			3.0	9.0	7.0			2.0		42	61.0	3.0		2.0						3.0	7.0	1.0			6.0
hsa-miR-125b-5p		2.0			6.0			2.0	9.0			1.0		36	31.0	1.0			3.0					1.0	18.0				3.0
hsa-miR-126-3p			2.0							1.0				4	7.0														8.0
hsa-miR-126-5p		1.0	3.0	1.0				12.0	18.0	1.0		2.0		35	61.0			10.0	7.0			2.0			2.0	4.0	1.0		33.0
